50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.359107,,,,,,,,,,,,,,b2c9cdf6-fe47-4d3c-8f75-41e0cea12cf8,52,,"[42.8, 63.3]",3754020,0,,,,,0.8640236,,Right Foot,,"[50.4, 72.2]",,Ground Pass,,11.703419,,,,James Philip Milner,3473.0,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,3,Liverpool,24,['9564ddf5-02f5-424b-aaa3-dafe1a902087'],49,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:49.313,Pass,
,,,,,,,,,,,,,,,,1.536574,,,,,,,,,,,,,,5cd45877-bddf-4bad-947c-d88aee12c7ba,56,,"[70.9, 72.2]",3754020,0,,,,,-0.55676275,,Right Foot,,"[100.3, 53.9]",,Ground Pass,,34.630188,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,1,From Throw In,James Philip Milner,3473.0,Right Center Midfield,3,Liverpool,24,"['3b8276ef-9245-4ce7-b8aa-7ee9e625fe11', '5a1ccff3-2139-4de4-831a-447fc5404bf0', 'd5154383-6e1f-439e-b66c-d035a1df5d34']",55,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:55.231,Pass,True
,,,,,,,,,,,,,,,,0.73373,,,,,,,,,,,,,,5a1ccff3-2139-4de4-831a-447fc5404bf0,58,,"[19.8, 26.2]",3754020,0,,,,,-0.09966865,,Left Foot,,"[27.8, 25.4]",,Ground Pass,,8.039901,,,,Eunan O''Kane,13248.0,,,,,Recovery,1,Regular Play,Steve Cook,3341.0,Left Center Back,4,AFC Bournemouth,28,"['1165cb91-84e9-426f-9b10-d745aaa79853', '5cd45877-bddf-4bad-947c-d88aee12c7ba']",56,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:56.768,Pass,
,,,,,,,,,,,,,,,,1.503311,,,,,,,,,,,,,,5b861f6f-af47-442f-a4f0-ec36c69a71b4,68,,"[35.8, 40.9]",3754020,1,,,,,0.96122843,,Right Foot,,"[52.0, 64.1]",,Ground Pass,,28.29629,,,,Matt Ritchie,3049.0,,,,,,1,Regular Play,Eunan O''Kane,13248.0,Right Center Midfield,4,AFC Bournemouth,28,['be15a7a2-7d06-4536-a47e-b2072390e8e8'],1,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:01.208,Pass,
,,,,,,,,,,,,,,,,1.428402,,,,,,,,,,,,,,ae356a7f-7536-484b-a567-2f764d913eaf,71,,"[63.9, 72.6]",3754020,1,,,,,-2.9660006,,Left Foot,,"[45.3, 69.3]",,Ground Pass,,18.890474,,,,Simon Francis,3608.0,,,,,,1,Regular Play,Matt Ritchie,3049.0,Right Midfield,4,AFC Bournemouth,28,['47680265-0076-4e0a-98de-7170375b652b'],5,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:05.535,Pass,
,,,,,,,,,,,,,,,,2.465546,,,,,,,,,,,,,,e453de19-9656-4adc-b2df-91d69e434a0e,74,,"[49.5, 74.3]",3754020,1,,,,,-0.3374188,,Right Foot,,"[91.4, 59.6]",,High Pass,,44.403828,,Incomplete,,Joshua King,3346.0,,,,,,1,Regular Play,Simon Francis,3608.0,Right Back,4,AFC Bournemouth,28,"['0bfb87f0-d633-46d6-b9c7-656553f53238', '837aff65-395e-4f93-b37c-ce908e54a148']",10,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:10.155,Pass,
,,,,,,,,,,,,,,,,0.43017,,,,,,,,,,,,,,0bfb87f0-d633-46d6-b9c7-656553f53238,76,,"[28.7, 20.5]",3754020,1,,,,,-0.35144478,,Head,,"[31.7, 19.4]",,Low Pass,,3.1953092,,Incomplete,,Jordan Brian Henderson,3532.0,,,,,Recovery,1,Regular Play,Dejan Lovren,3471.0,Left Center Back,4,AFC Bournemouth,28,"['5e4d2099-59e5-495c-a07c-dbe7b300a542', 'ab474f73-cc39-48c3-9f9f-81633b10b118', 'e453de19-9656-4adc-b2df-91d69e434a0e']",12,,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:12.620,Pass,
,,,,,,,,,,,,,,,,1.419957,,,,,,,,,,,,,,0174e83b-9bcc-4396-90f6-30c6ef153724,79,,"[24.8, 0.1]",3754020,1,,,,,0.22416805,,,,"[49.8, 5.8]",,High Pass,,25.641567,,,,Christian Benteke Liolo,3380.0,,,,,Throw-in,1,From Throw In,Joe Gomez,3495.0,Left Back,5,Liverpool,24,['7acbaf82-23d8-46d4-9945-cafa3eda7e1c'],25,,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:25.434,Pass,
,,,,,,,,,,,,,,,,2.090354,,,,,,,,,,,,,,67d0f579-e650-421c-be00-9bde3f393837,86,,"[61.4, 80.0]",3754020,1,,True,,,-1.5056069,,,,"[63.6, 46.3]",,Low Pass,,33.771732,,,,Andrew Surman,3344.0,,,,,Throw-in,1,From Throw In,Simon Francis,3608.0,Right Back,6,AFC Bournemouth,28,['4a8082b2-15ec-400a-a603-b580f3317aa2'],41,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:41.394,Pass,
,,,,,,,,,,,,,,,,1.094888,,,,,,,,,,,,,,b6d18d83-1ce1-49b7-86c7-e789e0d47cf4,90,,"[63.6, 44.9]",3754020,1,,,,,-0.96872663,,Left Foot,,"[77.0, 25.4]",,Low Pass,,23.660305,,,,Max-Alain Gradel,4416.0,,,,,,1,From Throw In,Andrew Surman,3344.0,Left Defensive Midfield,6,AFC Bournemouth,28,"['95b3fcbf-2f06-4d51-9acb-5c4ee13ca81e', 'fc191210-0d75-4bd3-9212-c8251991be40']",43,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:43.826,Pass,True
,,,,,,,,,,,,,,,,0.080419,,,,,,,,,,,,,,9b4f3f9f-51b7-42dd-ac5f-086e97292516,94,,"[77.6, 24.8]",3754020,1,,,,,-1.6421038,,Right Foot,,"[77.5, 23.4]",,Low Pass,,1.4035668,,Incomplete,,Charlie Daniels,3345.0,,,,,,1,From Throw In,Max-Alain Gradel,4416.0,Left Midfield,6,AFC Bournemouth,28,"['070c6581-8478-45bb-ba68-48d3f9a0703c', '6590bb79-fc2d-4a04-b1bf-53c3dd908d23', '8f7e995b-ac64-466d-8566-645f53ead6c4']",45,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:45.048,Pass,True
,,,,,,,,,,,,,,,,0.720741,,,,,,,,,,,,,,bee8b763-7a52-42c5-b9a7-66801ab6100b,99,,"[97.0, 17.6]",3754020,1,,,,,0.8987316,,Left Foot,True,"[107.9, 31.3]",,Low Pass,,17.507141,,Incomplete,,Callum Wilson,3616.0,,,,,,1,From Throw In,Charlie Daniels,3345.0,Left Back,6,AFC Bournemouth,28,"['7c0dd183-fc8a-4f9e-a464-2f4618e350bf', 'aa14a0bf-18d3-4133-b1d4-bc007f4022c7']",48,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:01:48.758,Pass,
,,,,,,,,,,,,,,,,1.449288,,,,,,,,,,,,,,c48d9aa7-fe46-45c5-aeb1-ebb796efa171,102,,"[120.0, 0.1]",3754020,2,,,,,2.2813346,,Right Foot,,"[97.8, 25.9]",,Ground Pass,,34.03645,,,,Eunan O''Kane,13248.0,,,,,Corner,1,From Corner,Andrew Surman,3344.0,Left Defensive Midfield,7,AFC Bournemouth,28,['8413d3ea-4d1e-4971-98cd-9c8957437fe0'],19,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:02:19.056,Pass,
,,,,,,,,,,,,,,,,1.634583,,,,,,,,,,,,,,6481a87e-8c61-4f21-95f3-5aa5e0bbd3b9,105,,"[95.3, 25.6]",3754020,2,,,,,1.9979638,,Right Foot,,"[82.6, 53.5]",,Low Pass,,30.654526,,,,Simon Francis,3608.0,,,,,,1,From Corner,Eunan O''Kane,13248.0,Right Center Midfield,7,AFC Bournemouth,28,['cd77c098-8dbf-4539-a975-eb3450923e68'],21,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:02:21.247,Pass,
,,,,,,,,,,,,,,,,1.606919,,,,,,,,,,,,,,9d0f365b-2e2c-446c-957a-37557dbae0dd,108,,"[82.6, 53.5]",3754020,2,,,,,-0.62657404,,Right Foot,,"[109.4, 34.1]",,High Pass,,33.08474,,Incomplete,,Joshua King,3346.0,,,,,,1,From Corner,Simon Francis,3608.0,Right Back,7,AFC Bournemouth,28,"['ce1816d2-e0fc-4f9d-b974-e86315e342b4', 'df488307-6e4d-49a0-810c-16120ff253c3']",23,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:02:23.829,Pass,
,,,,,,,,,,,,,,,,1.018175,,,,,,,,,,,,,,af61580b-6143-4b10-b830-53b407d2d4ac,116,,"[20.4, 73.1]",3754020,2,,True,,,0.0,,Right Foot,,"[35.6, 73.1]",,Ground Pass,,15.2,,,,James Philip Milner,3473.0,,,,,Free Kick,1,From Free Kick,Martin Škrtel,18872.0,Right Center Back,8,Liverpool,24,['2197bd11-eb28-4fe0-8262-2782d3582ee6'],46,,,,,,,,,,,,,,,,,,,Liverpool,24,00:02:46.707,Pass,
,,,,,,,,,,,,,,,,1.607661,,,,,,,,,,,,,,8055cdd4-0ba5-4291-bac1-67066a4b0a34,118,,"[35.6, 73.1]",3754020,2,,,,,-3.0537689,,Right Foot,,"[19.7, 71.7]",,Ground Pass,,15.961516,,,,Martin Škrtel,18872.0,,,,,,1,From Free Kick,James Philip Milner,3473.0,Right Center Midfield,8,Liverpool,24,['c85d1eff-c3be-4936-97d6-509139ca4d39'],47,,,,,,,,,,,,,,,,,,,Liverpool,24,00:02:47.790,Pass,
