ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.839277,,,,,,,,,,,744ad520-e535-4f3e-9798-b58f7ef9ef06,80,,"[85.2, 19.0]",3753991,1,,,,,-0.6237768,,Right Foot,,,"[95.9, 11.3]",,Ground Pass,13.182564,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,Recovery,1,From Free Kick,Nathaniel Edwin Clyne,4590.0,Left Back,4,Liverpool,24,"['3bd36a11-bb5e-475f-a584-ccd9be428a64', '9610a9a3-87d9-4c85-9e62-bfb8f7ca874f', 'd7bf678e-372f-4cdf-8151-7bc2e2db2fa9']",37,,,,,,,,,,,,,,,Liverpool,24,00:01:37.953,Pass,True
,,,,,,,,,,,,,,1.80708,,,,,,,,,,,b6297d45-e9c7-4a27-acec-1d3230daec8e,82,,"[95.9, 11.3]",3753991,1,,,,,0.07224248,,Right Foot,,,"[111.1, 12.4]",,Ground Pass,15.239751,,,,Adam David Lallana,4090.0,,,,,,1,From Free Kick,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,4,Liverpool,24,['495369cb-630b-4b6c-adc4-fc78ec213beb'],40,,,,,,,,,,,,,,,Liverpool,24,00:01:40.792,Pass,
,,,,,,,,,,,,,,0.954121,,,,,,,,,,,672af729-12ad-44e2-a79c-88b12f9561b6,86,,"[114.9, 13.0]",3753991,1,,,,,1.658074,,Left Foot,True,,"[112.8, 37.0]",,High Pass,24.0917,,Incomplete,,Divock Okoth Origi,4747.0,,,,,,1,From Free Kick,Adam David Lallana,4090.0,Left Midfield,4,Liverpool,24,"['19a0924e-e887-4923-a47e-87517345eeef', '259a7707-8129-4117-851f-3b06d6d0d41a', '97a51275-6afd-4e9a-8ddd-bc77d9f5f973']",43,,,,,,,,,,,,,,,Liverpool,24,00:01:43.548,Pass,True
,,,,,,,,,,,,,,0.240907,,,,,,,,,,,302af766-0590-450b-b6b4-f0e7e4b8fa2d,95,,"[28.9, 55.1]",3753991,1,,,,,0.9707461,,Right Foot,,,"[30.2, 57.0]",,Ground Pass,2.302173,,,,Pablo Javier Zabaleta Girod,3052.0,,,,,,1,From Free Kick,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,4,Liverpool,24,"['706f35c0-ef46-4eec-929d-2991232b5d1f', 'c02352b8-40b8-44bd-8dca-e1a5c9dba983']",50,,,,,,,,,,,,,,,Manchester City,36,00:01:50.152,Pass,True
,,,,,,,,,,,,,,1.438091,,,,,,,,,,,6b65b277-1ccb-4ff2-bc12-371f8980ed49,101,,"[57.8, 17.7]",3753991,1,,,,,0.31475767,,Left Foot,,,"[66.4, 20.5]",,Ground Pass,9.044335,,,,Emre Can,3493.0,,,,,Recovery,1,From Free Kick,Dejan Lovren,3471.0,Left Center Back,4,Liverpool,24,['8a3caf00-4a5f-4506-b414-6cd8068c36ec'],54,,,,,,,,,,,,,,,Liverpool,24,00:01:54.044,Pass,
,,,,,,,,,,,,,,0.864278,,,,,,,,,,,e731415a-f90e-426b-8317-090e681c3f8d,105,,"[65.1, 18.1]",3753991,1,,,,,-2.1893394,,Right Foot,,,"[57.2, 7.0]",,Ground Pass,13.624243,,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Free Kick,Emre Can,3493.0,Left Center Midfield,4,Liverpool,24,"['8ec1cc60-2cc8-4687-be34-1731313926a1', 'c8c27b40-3fd6-4f2c-aa29-74c27c5e3f13']",57,,,,,,,,,,,,,,,Liverpool,24,00:01:57.345,Pass,True
,,,,,,,,,,,,,,2.719216,,,,,,,,,,,6a28cc4c-2292-4954-9610-3ccf9342e4d3,109,,"[56.7, 6.8]",3753991,1,,,,,2.9135478,,Right Foot,,,"[27.4, 13.6]",,Ground Pass,30.07873,,,,Dejan Lovren,3471.0,,,,,,1,From Free Kick,Nathaniel Edwin Clyne,4590.0,Left Back,4,Liverpool,24,"['1a88856d-96cb-4ab8-b82a-482ef46d6864', '7bc4fa04-3340-4d1d-99f0-c59383514b67']",59,,,,,,,,,,,,,,,Liverpool,24,00:01:59.532,Pass,True
,,,,,,,,,,,,,,2.610349,,,,,,,,,,,a6933f73-c95c-42f5-a5ba-8f0b43328d7c,111,,"[25.9, 13.9]",3753991,2,,,,,2.2971084,,Right Foot,,,"[9.2, 32.7]",,Ground Pass,25.146173,,,,Simon Mignolet,3539.0,,,,,,1,From Free Kick,Dejan Lovren,3471.0,Left Center Back,4,Liverpool,24,['999ccfda-35c3-4581-8712-4db82687a0e0'],2,,,,,,,,,,,,,,,Liverpool,24,00:02:02.251,Pass,
,,,,,,,,,,,,,,1.556208,,,,,,,,,,,3bdc9c65-7eb5-4f71-8e95-cf62fc4345d6,114,,"[10.5, 33.3]",3753991,2,,,,,1.0754851,,Right Foot,,,"[24.6, 59.4]",,Ground Pass,29.66513,,,,Kolo Habib Touré,38412.0,,,,,,1,From Free Kick,Simon Mignolet,3539.0,Goalkeeper,4,Liverpool,24,['58224966-8d62-422c-92e3-2d75cd57ab2c'],5,,,,,,,,,,,,,,,Liverpool,24,00:02:05.570,Pass,
,,,,,,,,,,,,,,1.945799,,,,,,,,,,,0ab5c88c-e9b5-4832-a1ad-c0f7468fe5f8,117,,"[24.6, 59.4]",3753991,2,,,,,-2.3990724,,Right Foot,,,"[8.8, 44.9]",,Ground Pass,21.445045,,,,Simon Mignolet,3539.0,,,,,,1,From Free Kick,Kolo Habib Touré,38412.0,Right Center Back,4,Liverpool,24,['04b370f1-1b2b-4a86-a487-1ac04d8c2fa4'],9,,,,,,,,,,,,,,,Liverpool,24,00:02:09.184,Pass,
