50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,8d8c9ae7-c298-4e4a-956c-2fd8febe85ac,56,,"[70.8, 53.0]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,4,Liverpool,24,['319140e0-570f-457a-9bc9-4b9afd33d62b'],17,,,,,,,,,,,,,,,,,Liverpool,24,00:01:17.490,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,f7ce2136-3467-4875-ab5c-5f08b9682a9a,59,,"[65.0, 53.6]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adam David Lallana,4090.0,Left Wing,4,Liverpool,24,['b9a1e8ff-d1a9-464d-b80c-14dae253b93c'],18,,,,,,,,,,,,,,,,,Liverpool,24,00:01:18.520,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,4ae87be9-2a1e-4ab7-ba50-fe8d1a12ac54,62,,"[91.3, 66.8]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordan Brian Henderson,3532.0,Right Center Midfield,4,Liverpool,24,['65f7452b-a065-4048-b82d-1a01c3aae606'],23,,,,,,,,,,,,,,,,,Liverpool,24,00:01:23.505,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,c2b255be-6351-4e4f-b376-763ac8e53b4b,65,,"[25.6, 17.4]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daley Blind,3311.0,Left Center Back,5,Manchester United,39,['d8d4c977-b3b9-4f8e-b11e-a18d419b4a9a'],33,,,,,,,,,,,,,,,,,Manchester United,39,00:01:33.137,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,4376b6b2-82e6-4f48-a05d-2e7a47ab7a7c,67,,"[32.5, 40.4]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Morgan Schneiderlin,3600.0,Right Defensive Midfield,5,Manchester United,39,['b7c2a59c-29ef-45c2-8824-7931b539d3a6'],35,,,,,,,,,,,,,,,,,Manchester United,39,00:01:35.662,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,fba05acd-847a-42e0-bb0e-ffe4837ecfaf,70,,"[34.1, 19.2]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daley Blind,3311.0,Left Center Back,5,Manchester United,39,['edc80ebf-18b4-48d6-9f89-2b3d2b49a13f'],39,,,,,,,,,,,,,,,,,Manchester United,39,00:01:39.238,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,3cdfcc8d-d863-4db7-adf1-ce2f793fff2c,73,,"[34.1, 35.7]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Morgan Schneiderlin,3600.0,Right Defensive Midfield,5,Manchester United,39,['348ebd36-d08e-471a-ba7a-f89d02253588'],43,,,,,,,,,,,,,,,,,Manchester United,39,00:01:43.040,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,5f0a3c4a-9fbf-401d-8ae5-a26954aee279,76,,"[38.7, 68.1]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Chris Smalling,10958.0,Right Center Back,5,Manchester United,39,['d3a8d41a-e29a-47db-95c7-37e5c963c5ec'],45,,,,,,,,,,,,,,,,,Manchester United,39,00:01:45.386,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,4d3572e4-1009-4e0b-9e3f-5159f3cdb74e,79,,"[79.6, 0.7]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anthony Martial,20039.0,Left Wing,5,Manchester United,39,['c1ef1295-8253-4368-b248-ca62e4c41e2a'],50,,,,,,,,,,,,,,,,,Manchester United,39,00:01:50.226,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,b82e8352-e039-4398-b0d1-ad17c619884d,83,,"[92.7, 2.4]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marouane Fellaini-Bakkioui,3296.0,Left Defensive Midfield,5,Manchester United,39,['471327a2-9d24-45c0-b7da-5f1cabd0c952'],53,,,,,,,,,,,,,,,,,Manchester United,39,00:01:53.574,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,d395c26c-ad6d-486a-92d0-b3a372b23a70,85,,"[44.0, 57.7]",3754345,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,5,Manchester United,39,['e6c94c63-34c2-4a63-beb4-8d10caa8de8f'],56,,,,,,,,,,,,,,,,,Liverpool,24,00:01:56.713,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,7b5a9e7e-73b2-4ecc-9eee-a2c36a9b2b7b,89,,"[55.6, 55.8]",3754345,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,5,Manchester United,39,['2e2f9e4b-256d-464a-b4f4-1dd32dd72909'],1,,,,,,,,,,,,,,,,,Liverpool,24,00:02:01.178,Ball Receipt*,
