50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b857198f-9b8d-4781-a07d-ce94ba70a338,920,,"[51.0, 33.8]",3754216,20,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Max-Alain Gradel,4416.0,Left Midfield,63,Liverpool,24,,37,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:20:37.206,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c2540c57-392a-48ad-bcfd-8c945df09983,1017,,"[62.7, 57.3]",3754216,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dan Gosling,3343.0,Right Center Midfield,68,Liverpool,24,['15063fbb-49ff-42fc-b4ba-7cb2d5cde300'],6,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:23:06.957,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3b020bdf-b5fd-4a57-8bd0-6d5cfddf5e06,1023,,"[43.8, 35.3]",3754216,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Joe Allen,10931.0,Left Center Midfield,68,Liverpool,24,['aba24fd5-3355-40a0-b2e2-e228f2dcc817'],10,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:23:10.471,Ball Recovery,True
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1bb5d418-7b6d-4868-ba63-4de5086604f7,1065,,"[115.3, 48.5]",3754216,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Oluwaseyi Babajide Ojo,13200.0,Right Midfield,68,Liverpool,24,,53,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:23:53.495,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a0dc5fe5-4649-4de6-880e-b2972f8c6c55,1075,,"[108.7, 49.9]",3754216,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Connor Steven Randall,22058.0,Right Back,68,Liverpool,24,,57,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:23:57.604,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,22cff63d-a3cc-40dd-bb7d-596fe89a6871,1115,,"[90.2, 10.7]",3754216,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Charlie Daniels,3345.0,Left Back,76,Liverpool,24,"['42deec00-b489-48ae-a0b7-a2e2078848d7', '9a62d694-5213-4472-b36a-f7053a95c707']",46,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:24:46.296,Ball Recovery,True
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ba94e6b-54c7-4637-a1b9-9f1e286fc234,1140,,"[55.0, 54.8]",3754216,25,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kolo Habib Touré,38412.0,Right Center Back,78,Liverpool,24,['876e0431-c146-4dfe-aba2-3280f48e4e42'],15,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:25:15.631,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce2f6ad7-9540-4649-aea1-edb6923172c5,1194,,"[90.2, 1.7]",3754216,26,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jordon Ibe,3635.0,Left Midfield,80,Liverpool,24,,53,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:26:53.502,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2b72eca1-43e6-49d8-83ec-81565e9aa534,1201,,"[16.9, 60.3]",3754216,27,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Matt Ritchie,3049.0,Right Midfield,80,Liverpool,24,,1,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:27:01.540,Ball Recovery,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5dffe1e4-d06b-4cef-af65-d61e4f4eb0ff,1319,,"[33.1, 24.9]",3754216,29,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dan Gosling,3343.0,Right Center Midfield,86,AFC Bournemouth,28,['214b4100-a759-4785-83ff-0a7ff2a67804'],26,,,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:29:26.591,Ball Recovery,
