50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.085472,,,,,,,,,,,,,b80e7964-8845-4da8-9571-ed0eef00bf86,45,,"[81.0, 43.0]",3754275,1,,,,-2.3412702,,Head,,,,"[71.1, 32.8]",,Low Pass,,14.214429,,,,Shinji Okazaki,3810.0,,,,,,1,Regular Play,Jamie Vardy,10960.0,Left Center Forward,5,Leicester City,22,['80fba0fd-ddd1-4bc0-bdb4-9621923e1104'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:01:00.320,Pass,
,,,,,,,,,,,,,,,,0.898677,,,,,,,,,,,,,6d4ef8cb-f43d-419e-a507-cee5f6d87750,48,,"[78.7, 37.0]",3754275,1,,,,1.0871514,e282fe9a-5473-48db-9f0b-ce5da660b7e3,Right Foot,,,,"[83.9, 46.9]",,Ground Pass,,11.182576,,,,Riyad Mahrez,3814.0,True,,,,,1,Regular Play,Shinji Okazaki,3810.0,Right Center Forward,5,Leicester City,22,['5f430e86-81f9-4cf0-96f0-5908c84979c0'],2,,,,,,,,,,,,,,,,,Leicester City,22,00:01:02.528,Pass,
,,,,,,,,,,,,,,,,4.236501,,,,,,,,,,,,,64100b43-1c23-460a-99fe-66cae4a69bde,53,,"[7.0, 44.1]",3754275,1,True,,,-1.1008528,,Right Foot,,,,"[26.3, 6.1]",,High Pass,,42.6203,,Incomplete,,,,,,,,Goal Kick,1,From Goal Kick,Simon Mignolet,3539.0,Goalkeeper,6,Liverpool,24,['2dec9233-6956-49f6-8adf-162ed7aa495b'],28,,,,,,,,,,,,,,,,,Liverpool,24,00:01:28.733,Pass,
,,,,,,,,,,,,,,,,0.842068,,,,,,,,,,,,,3993d97a-c87d-4137-9da1-d5d0a6a62aaa,55,,"[24.7, 0.1]",3754275,1,,,,0.7801072,,,,,,"[34.2, 9.5]",,Low Pass,,13.364505,,,,Emre Can,3493.0,,,,,Throw-in,1,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,7,Liverpool,24,['c21096da-8e2f-4cfa-8e50-cdf0ca9c896d'],46,,,,,,,,,,,,,,,,,Liverpool,24,00:01:46.608,Pass,
,,,,,,,,,,,,,,,,0.799944,,,,,,,,,,,,,56b3816f-013e-4224-b63e-f831b1b9eb1b,58,,"[32.9, 9.1]",3754275,1,,,,-2.7489552,,Right Foot,,,,"[23.0, 5.0]",,Low Pass,,10.715409,,,,Alberto Moreno Pérez,3515.0,,,,,,1,From Throw In,Emre Can,3493.0,Left Defensive Midfield,7,Liverpool,24,"['49effdec-da85-4c18-859d-cf219d5549fa', '69bedc1b-1888-4f9e-92ea-00129d94045e']",47,,,,,,,,,,,,,,,,,Liverpool,24,00:01:47.450,Pass,True
,,,,,,,,,,,,,,,,0.800392,,,,,,,,,,,,,1fb70502-7ad7-4b84-8414-cd1b6aa615b4,62,,"[18.6, 7.4]",3754275,1,,,,2.5806918,,Left Foot,,,,"[10.8, 12.3]",,Ground Pass,,9.211406,,,,Mamadou Sakho,3483.0,,,,,,1,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,7,Liverpool,24,"['0478fe41-b086-4d51-b6cb-001529214ebc', 'a3dd738f-21ea-4de3-a872-a4a32e41974e']",50,,,,,,,,,,,,,,,,,Liverpool,24,00:01:50.356,Pass,True
,,,,,,,,,,,,,,,,2.317591,,,,,,,,,,,,,f6a2a8fb-7cd5-4386-aa14-ca9a541c23a9,64,,"[10.8, 12.3]",3754275,1,,,,0.35602814,,Left Foot,,,,"[42.8, 24.2]",,High Pass,,34.14103,,,,Adam David Lallana,4090.0,,,,,,1,From Throw In,Mamadou Sakho,3483.0,Left Center Back,7,Liverpool,24,['89f618f2-55db-4df9-8555-431be56c9e2c'],51,,,,,,,,,,,,,,,,,Liverpool,24,00:01:51.157,Pass,
,,,,,,,,,,,,,,,,1.617293,,,,,,,,,,,,,6baa0822-b6f2-4b52-941e-6b3dc6ec7543,66,,"[42.8, 24.2]",3754275,1,,,,0.305125,,Head,,,,"[55.5, 28.2]",,High Pass,,13.315029,,Incomplete,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,1,From Throw In,Adam David Lallana,4090.0,Center Attacking Midfield,7,Liverpool,24,"['0e59f1ce-3b79-4162-820e-535730836877', '7d7430aa-1745-42f3-87e9-1b957b4c63ae']",53,,,,,,,,,,,,,,,,,Liverpool,24,00:01:53.474,Pass,
,,,,,,,,,,,,,,,,0.882301,,,,,,,,,,,,,21e73f18-e133-4618-812a-31e33ae234f1,70,,"[30.2, 32.4]",3754275,1,,,,1.0020684,,Head,,,,"[36.4, 42.1]",,High Pass,,11.512168,,,,Lucas Pezzini Leiva,7780.0,,,,,Recovery,1,From Throw In,Emre Can,3493.0,Left Defensive Midfield,7,Liverpool,24,['c6b84509-3bc7-46c3-b915-3ce5ae1a3c8f'],57,,,,,,,,,,,,,,,,,Liverpool,24,00:01:57.193,Pass,
,,,,,,,,,,,,,,,,2.186088,,,,,,,,,,,,,096b36c2-13b7-44b8-a521-bdf401d87ce7,72,,"[36.4, 42.1]",3754275,1,,,,-2.9627547,,Right Foot,,,,"[10.4, 37.4]",,Ground Pass,,26.421392,,,,Simon Mignolet,3539.0,,,,,,1,From Throw In,Lucas Pezzini Leiva,7780.0,Right Defensive Midfield,7,Liverpool,24,['2986ce93-cad7-4563-af81-5193ef77ae7d'],58,,,,,,,,,,,,,,,,,Liverpool,24,00:01:58.075,Pass,
