bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.03663,,,,,,,,,,,,,8fb70b40-6401-4347-85bd-5cf2a3310916,3078,,"[54.5, 6.0]",3754047,75,,,,,0.6192424,,Left Foot,,,,"[63.9, 12.7]",Low Pass,,11.543396,,,,Gylfi Þór Sigurðsson,3944.0,,,,,,,2,From Free Kick,Neil Taylor,9627.0,Left Back,143,Swansea City,26,['ba3b2064-6108-4a5b-8f91-284747c79d66'],44,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:44.179,Pass,
,,,,,,,,,,,,,,,,,1.748026,,,,,,,,,,,,,f7f44706-6188-49e2-af63-9a11b582dc9e,3081,,"[63.4, 12.7]",3754047,75,,,,,2.9641678,,Left Foot,,,,"[34.4, 17.9]",Ground Pass,,29.462519,,,,Ashley Williams,3644.0,,,,,,,2,From Free Kick,Gylfi Þór Sigurðsson,3944.0,Right Center Midfield,143,Swansea City,26,['50db6622-6d6c-4797-b2aa-333ae184ee47'],46,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:46.390,Pass,
,,,,,,,,,,,,,,,,,1.260882,,,,,,,,,,,,,ce93181b-0d45-4e54-b778-5900ede25b57,3084,,"[41.2, 16.4]",3754047,75,,,,,1.0081582,,Right Foot,,,,"[48.2, 27.5]",Ground Pass,,13.122881,,,,Jack Frank Porteous Cork,3462.0,,,,,,,2,From Free Kick,Ashley Williams,3644.0,Left Center Back,143,Swansea City,26,['71fbea97-5d57-4db2-a78e-bc12f95dfc14'],49,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:49.163,Pass,
,,,,,,,,,,,,,,,,,2.215903,,,,,,,,,,,,,23996019-9581-4389-b21c-98c9ce82e88c,3087,,"[43.1, 30.4]",3754047,75,,,,,1.8518454,,Right Foot,,,,"[33.4, 64.0]",Ground Pass,,34.972134,,,,Kyle Bartley,4726.0,,,,,,,2,From Free Kick,Jack Frank Porteous Cork,3462.0,Center Defensive Midfield,143,Swansea City,26,['9ad145db-546e-4c8a-b791-da6af67b1fa3'],51,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:51.454,Pass,
,,,,,,,,,,,,,,,,,1.109067,,,,,,,,,,,,,795baf22-1fd7-4b06-ac87-87525aafe917,3090,,"[37.0, 69.7]",3754047,75,,,,,-0.28583044,,Right Foot,,,,"[61.5, 62.5]",Ground Pass,,25.536053,,,,André Ayew Pelé,3347.0,,,,,,,2,From Free Kick,Kyle Bartley,4726.0,Right Center Back,143,Swansea City,26,['18afc6ad-49ab-4b0d-ab66-901ee8772b29'],55,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:55.618,Pass,
,,,,,,,,,,,,,,,,,1.52026,,,,,,,,,,,,,f3cb9911-973a-4692-8558-60bce6315f09,3093,,"[61.5, 62.5]",3754047,75,,,,,1.3789012,,Left Foot,,,,"[64.9, 80.0]",High Pass,,17.827227,,Out,,Kyle Naughton,3340.0,,,,,,,2,From Free Kick,André Ayew Pelé,3347.0,Left Midfield,143,Swansea City,26,['2db9ea70-50e4-4f7a-a777-0a1f6a8d05ef'],56,,,,,,,,,,,,,,,,,,Swansea City,26,00:30:56.767,Pass,
,,,,,,,,,,,,,,,,,1.414907,,,,,,,,,,,,,ad791eaf-c360-4f51-a32b-84ab466ebc9d,3096,,"[56.0, 0.1]",3754047,76,,,,,0.16820677,,,,,,"[71.9, 2.8]",High Pass,,16.127617,,,,Adam David Lallana,4090.0,,,,,,Throw-in,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,144,Liverpool,24,['d4c972c9-f3e3-4e49-ae57-6d82261cc327'],16,,,,,,,,,,,,,,,,,,Liverpool,24,00:31:16.284,Pass,
,,,,,,,,,,,,,,,,,0.749162,,,,,,,,,,,,,2229dbe5-f744-4476-b609-2efcc86d456d,3099,,"[71.6, 2.8]",3754047,76,,,,,-0.48166367,,Right Foot,,,,"[76.0, 0.5]",Low Pass,,4.9648767,,,,James Philip Milner,3473.0,,,,,,,2,From Throw In,Adam David Lallana,4090.0,Left Midfield,144,Liverpool,24,['76e85400-4c04-4e75-9629-7c19e1b08e37'],17,,,,,,,,,,,,,,,,,,Liverpool,24,00:31:17.928,Pass,
,,,,,,,,,,,,,,,,,1.980748,,,,,,,,,,,,,e5bd2350-9393-4725-a520-85f3f837de88,3106,,"[42.2, 10.1]",3754047,76,,,,,3.0139127,,Head,,,,"[27.4, 12.0]",High Pass,,14.921461,,Incomplete,,,,,,,,,Recovery,2,From Throw In,Emre Can,3493.0,Center Defensive Midfield,144,Liverpool,24,['fdfab4ab-c82d-45f3-b7be-622ace887f0d'],24,,,,,,,,,,,,,,,,,,Liverpool,24,00:31:24.615,Pass,
,,,,,,,,,,,,,,,,,0.72889,,,,,,,,,,,,,c1a1c2e8-beca-4c32-8803-0508eeac4766,3110,,"[106.5, 62.7]",3754047,76,,,,,-1.6835239,,Right Foot,True,,,"[104.7, 46.8]",Ground Pass,,16.001562,,,,Gylfi Þór Sigurðsson,3944.0,,,,,,,2,Regular Play,Bafétimbi Gomis,20521.0,Center Forward,145,Swansea City,26,"['66d80e7c-c2b4-4476-8d17-1c931eb1dba3', 'cd138010-7893-47d6-a089-93efb1ed7ff4']",27,,,,,,,,,,,,,,,,,,Swansea City,26,00:31:27.735,Pass,True
,,,,,,,,,,,,,,,,,0.214994,,,,,,,,,,,,,7ad41fc5-36fd-450b-ad9f-0ed54ce2ea10,3124,,"[119.0, 22.9]",3754047,76,,,,,1.7761917,,Left Foot,,,,"[118.5, 25.3]",Low Pass,,2.4515302,,Incomplete,,,,,,,,,,2,Regular Play,Jefferson Antonio Montero Vite,7063.0,Left Wing,145,Swansea City,26,['cb02ddbc-8cc7-4e0d-8953-9664706b0e55'],36,,,,,,,,,,,,,,,,,,Swansea City,26,00:31:36.029,Pass,
