ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.155024,,,,,,,,,,,,,d7a322d5-08d3-4038-b79f-b4ac5abbf9ed,57,,,"[33.7, 5.1]",3754251,1,,,,2.3799994,,Left Foot,,,"[20.8, 17.4]",,Ground Pass,,17.82414,,,Angelo Obinze Ogbonna,3843.0,,,,,,,1,From Goal Kick,Aaron Cresswell,3062.0,Left Back,4,West Ham United,40,"['8adb2097-a187-48aa-afe1-2c5ba5065f54', 'e86835f5-cb43-4566-b13d-fcca9a17a233']",9,,,,,,,,,,,,,,,,West Ham United,40,00:01:09.456,Pass,True
,,,,,,,,,,,,,,,,,,0.991772,,,,,,,,,,,,,e92544b3-db14-461d-8122-1cd4271aa2ce,61,,,"[22.0, 15.8]",3754251,1,,,,-0.37316558,,Left Foot,,,"[43.2, 7.5]",,High Pass,,22.766861,,,Manuel Lanzini,3595.0,,,,,,,1,From Goal Kick,Angelo Obinze Ogbonna,3843.0,Left Center Back,4,West Ham United,40,"['677f6144-a937-400b-9a28-3b1a17de0555', 'a6c476a3-cb5f-4ee9-adda-75b6bd8bd315']",11,,,,,,,,,,,,,,,,West Ham United,40,00:01:11.772,Pass,True
,,,,,,,,,,,,,,,,,,5.480443,,,,,,,,,,,,,2cfd6e27-3c29-4a0e-b040-03f0f7df38ad,65,,,"[49.3, 11.2]",3754251,1,,,,-0.18088686,,Right Foot,,,"[108.9, 0.3]",,Low Pass,,60.58853,Out,,Enner Remberto Valencia Lastra,28559.0,,,,,,,1,From Goal Kick,Manuel Lanzini,3595.0,Left Midfield,4,West Ham United,40,"['8d2d6fde-dae4-4512-82eb-abb5068087ee', 'fcb314d9-353b-4105-ad29-cbb28d3a62f6']",13,,,,,,,,,,,,,,,,West Ham United,40,00:01:13.984,Pass,True
,,,,,,,,,,,,,,,,,,2.047178,,,,,,,,,,,,,ed3e34dd-3e0e-4e4c-bd59-1aab0d7e79f4,67,,,"[14.7, 80.0]",3754251,1,,,,-0.2895706,,,,,"[43.9, 71.3]",,High Pass,,30.468508,Incomplete,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,5,Liverpool,24,"['8aec7386-157e-45c9-9ce4-e12e569bb37e', 'bed7c4ad-f328-44f3-ad87-889df83511c3']",42,,,,,,,,,,,,,,,,Liverpool,24,00:01:42.462,Pass,
,,,,,,,,,,,,,,,,,,0.997972,,,,,,,,,,,,,8aec7386-157e-45c9-9ce4-e12e569bb37e,69,,,"[76.2, 8.8]",3754251,1,,,,-3.0903554,,Head,,,"[68.4, 8.4]",,High Pass,,7.81025,,,Angelo Obinze Ogbonna,3843.0,,,,,,Recovery,1,Regular Play,Cheikhou Kouyaté,3684.0,Right Center Midfield,6,West Ham United,40,"['ed3e34dd-3e0e-4e4c-bd59-1aab0d7e79f4', 'f4f34a37-9cd3-4d2e-ad82-2a4879b8d349']",44,,,,,,,,,,,,,,,,West Ham United,40,00:01:44.509,Pass,
,,,,,,,,,,,,,,,,,,2.815848,,,,,,,,,,,,,af9d4898-fc22-4a27-93be-f6dd7ba03af0,72,,,"[68.4, 8.4]",3754251,1,,,,0.6156801,,Left Foot,,,"[95.4, 27.5]",,High Pass,,33.0728,Incomplete,,Michail Antonio,3349.0,,,,,,,1,Regular Play,Angelo Obinze Ogbonna,3843.0,Left Center Back,6,West Ham United,40,"['9fa26193-6ed5-45be-9f37-31e398d02304', 'ce221e87-727a-49db-b4ab-39a4361dc3ac']",45,,,,,,,,,,,,,,,,West Ham United,40,00:01:45.627,Pass,
,,,,,,,,,,,,,,,,,,0.740307,,,,,,,,,,,,,7d5a7162-3480-4ba7-89e6-4573ad90aa6b,76,,,"[85.7, 21.3]",3754251,1,,,,-0.14531001,,Left Foot,,,"[98.0, 19.5]",,Low Pass,,12.431009,,,Enner Remberto Valencia Lastra,28559.0,,,,,,Recovery,1,Regular Play,Andy Carroll,4271.0,Right Center Forward,6,West Ham United,40,['20e3c27f-4cd5-4eb0-baed-c1de018e419a'],49,,,,,,,,,,,,,,,,West Ham United,40,00:01:49.530,Pass,
,,,,,,,,,,,,,,,,,,0.843434,,,,,,,,,,,,,735d0d75-ad7b-4d46-87f5-5d5f172ccda1,80,,,"[92.7, 18.6]",3754251,1,,,,-1.4276383,,Right Foot,,,"[94.3, 7.5]",,Ground Pass,,11.214723,,,Manuel Lanzini,3595.0,,,,,,,1,Regular Play,Enner Remberto Valencia Lastra,28559.0,Left Center Forward,6,West Ham United,40,"['8773e84f-737d-4258-a660-cbc2c0d25c00', 'ae050fa6-914d-475b-a9b8-20e2437803db']",52,,,,,,,,,,,,,,,,West Ham United,40,00:01:52.127,Pass,True
,,,,,,,,,,,,,,,,,,0.456383,,,,,,,,,,,,,62669b71-d130-4ed1-8cf4-ce33a3fc1b16,84,,,"[106.7, 6.1]",3754251,1,,,,-3.024484,,Right Foot,,,"[98.2, 5.1]",,Ground Pass,,8.558621,,,Cheikhou Kouyaté,3684.0,,,,,,,1,Regular Play,Manuel Lanzini,3595.0,Left Midfield,6,West Ham United,40,"['988f157a-067c-47db-b83c-b7cef4612ae5', 'c5e08673-5876-4231-9afe-f4228bbe2ecf']",57,,,,,,,,,,,,,,,,West Ham United,40,00:01:57.359,Pass,True
,,,,,,,,,,,,,,,,,,1.85147,,,,,,,,,,,,,bedea418-8d51-405e-8e24-44de5f7b1512,87,,,"[98.2, 5.1]",3754251,1,,,,2.55359,,Left Foot,,,"[87.1, 12.5]",,Ground Pass,,13.34054,,,Mark Noble,3874.0,,,,,,,1,Regular Play,Cheikhou Kouyaté,3684.0,Right Center Midfield,6,West Ham United,40,['752acc1a-667c-4e2f-997a-19c988c37902'],58,,,,,,,,,,,,,,,,West Ham United,40,00:01:58.665,Pass,
