ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.993333,,,,,,,,,,,,c2efb377-d2d3-47d2-a31a-6b69910522a0,47,,"[44.0, 58.9]",3754018,0,,,,1.3797836,,Right Foot,,,,"[47.5, 77.0]",,Ground Pass,,18.435291,,,,,Àngel Rangel Zaragoza,3973.0,,,,,,,1,Regular Play,Jordi Amat Maas,6652.0,Right Center Back,3,Swansea City,26,['7d21a230-f5c2-4d33-b2d4-ecad86561312'],33,,,,,,,,,,,,,,,,,Swansea City,26,00:00:33.249,Pass,
,,,,,,,,,,,,,,,,,1.105674,,,,,,,,,,,,4e81cfda-ba77-4c79-bbda-117b3314b38a,51,,"[48.2, 77.3]",3754018,0,,,,0.09325392,,Right Foot,,,,"[62.1, 78.6]",,Ground Pass,,13.960659,,,,,Wayne Routledge,3449.0,,,,,,,1,Regular Play,Àngel Rangel Zaragoza,3973.0,Right Back,3,Swansea City,26,"['200f14d3-32a6-49d2-ac3d-1ff7398247c7', 'cb5ae3fa-7c92-449a-a1f8-433bf1805efa']",35,,,,,,,,,,,,,,,,,Swansea City,26,00:00:35.776,Pass,True
,,,,,,,,,,,,,,,,,1.959861,,,,,,,,,,,,9cda77ab-7785-4976-a1ec-d5081fd3c115,54,,"[61.5, 77.9]",3754018,0,,,,-1.7942729,,Right Foot,,,,"[57.5, 60.3]",,Ground Pass,,18.048822,,,Incomplete,,Jack Frank Porteous Cork,3462.0,,,,,,,1,Regular Play,Wayne Routledge,3449.0,Right Wing,3,Swansea City,26,"['7068e1e0-f2ae-49e9-996f-3cb0968d6e86', 'b50ab49b-3806-445b-a02b-1c76a74cf6f1']",36,,,,,,,,,,,,,,,,,Swansea City,26,00:00:36.882,Pass,
,,,,,,,,,,,,,,,,,0.193966,,,,,,,,,,,,7068e1e0-f2ae-49e9-996f-3cb0968d6e86,57,,"[62.6, 19.8]",3754018,0,,,,-1.2329181,,Right Foot,,,,"[63.9, 16.1]",,Ground Pass,,3.9217343,,,Incomplete,,Jordon Ibe,3635.0,,,,,,Interception,1,Regular Play,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,3,Swansea City,26,"['5e31ca7d-94b5-45b7-8fed-64c392392b9e', '9cda77ab-7785-4976-a1ec-d5081fd3c115', 'a126737d-fd73-42d1-aea5-74b43c469891', 'facec475-00ec-4c25-b975-0fd684f3783b']",38,,,,,,,,,,,,,,,,,Liverpool,24,00:00:38.841,Pass,True
,,,,,,,,,,,,,,,,,2.045983,,,,,,,,,,,,909ea229-6211-4858-9d5c-b3c95811634c,62,,"[45.1, 41.3]",3754018,0,,,,-1.2842358,,Right Foot,,,,"[54.5, 9.4]",,Ground Pass,,33.256126,,,,,Neil Taylor,9627.0,,,,,,,1,Regular Play,Ashley Williams,3644.0,Left Center Back,3,Swansea City,26,['6ac754f7-afbd-4ec2-8da9-31de57f3ed61'],42,,,,,,,,,,,,,,,,,Swansea City,26,00:00:42.249,Pass,
,,,,,,,,,,,,,,,,,1.439071,,,,,,,,,,,,9868ffac-63b6-4133-9261-150315070847,65,,"[57.0, 11.6]",3754018,0,,,,1.5874615,,Left Foot,,,,"[56.6, 35.6]",,Ground Pass,,24.003334,,,,,Leon Britton,4631.0,,,,,,,1,Regular Play,Neil Taylor,9627.0,Left Back,3,Swansea City,26,['e49ffd39-9cc5-4c19-b314-022b9f52ae47'],44,,,,,,,,,,,,,,,,,Swansea City,26,00:00:44.331,Pass,
,,,,,,,,,,,,,,,,,2.124445,,,,,,,,,,,,9e007cd1-0073-407b-861b-2e47b8fbfdf3,70,,"[58.4, 49.8]",3754018,0,,,,1.3654009,,Right Foot,,,,"[63.9, 76.2]",,Ground Pass,,26.966831,,,,,Àngel Rangel Zaragoza,3973.0,,,,,,,1,Regular Play,Jack Frank Porteous Cork,3462.0,Right Defensive Midfield,3,Swansea City,26,['58196638-50ac-41e8-b159-44d8f6dd49ab'],49,,,,,,,,,,,,,,,,,Swansea City,26,00:00:49.804,Pass,
,,,,,,,,,,,,,,,,,4.077059,,,,,,,,,,,,5b41ce01-ec38-4317-b7cc-2daf2a53d1c8,73,,"[68.9, 77.3]",3754018,0,,,,-0.32116336,,Right Foot,,,,"[120.0, 60.3]",,High Pass,,53.8536,,,Out,,Wayne Routledge,3449.0,,,,,,,1,Regular Play,Àngel Rangel Zaragoza,3973.0,Right Back,3,Swansea City,26,['216cbba0-7bb2-4204-86e3-6fbf0f5abbbc'],52,,,,,,,,,,,,,,,,,Swansea City,26,00:00:52.792,Pass,
,,,,,,,,,,,,,,,,,3.272388,,,,,,,,,,,,d5d496c1-b884-4696-b1ca-cbb2f2910e52,75,,"[6.0, 44.0]",3754018,1,,,,-0.030602688,,Right Foot,,,,"[74.6, 41.9]",,High Pass,,68.63213,,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,Goal Kick,1,From Goal Kick,Danny Ward,9914.0,Goalkeeper,4,Liverpool,24,"['a5db06cb-8bc2-434b-b525-e610836b0557', 'a71c4c1f-1f82-4d64-9596-ce5f35fbb324']",25,,,,,,,,,,,,,,,,,Liverpool,24,00:01:25.283,Pass,
,,,,,,,,,,,,,,,,,0.118353,,,,,,,,,,,,a5db06cb-8bc2-434b-b525-e610836b0557,77,,"[45.5, 38.2]",3754018,1,,,,0.19739556,,Head,,,,"[49.0, 38.9]",,Low Pass,,3.5693138,,,Incomplete,,,,,,,,,Recovery,1,From Goal Kick,Jordi Amat Maas,6652.0,Right Center Back,4,Liverpool,24,"['2719ffc0-f420-4b43-8391-0a5e0f2a6aa0', 'd5d496c1-b884-4696-b1ca-cbb2f2910e52']",28,,,,,,,,,,,,,,,,,Swansea City,26,00:01:28.555,Pass,
