ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.26961,,,,,,,,,,,,,0ed59bea-ad6f-4fd0-9c94-0094a487407c,2214,,"[63.3, 67.1]",3754055,50,,,,,2.965071,,Right Foot,,,,"[44.8, 70.4]",,Ground Pass,,18.792019,,,Gary Cahill,3645.0,,,,,,2,From Goal Kick,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,119,Chelsea,33,['4e2d874b-b7f2-4b0b-9449-f6e96909803a'],59,,,,,,,,,,,,,,,,,,,Chelsea,33,00:05:59.447,Pass,
,,,,,,,,,,,,,,,,,,1.92091,,,,,,,,,,,,,2c0080bc-7f4c-434c-b6e7-c5cc3c4a0ef9,2217,,"[44.8, 70.4]",3754055,51,,,,,0.5414845,,Left Foot,,,,"[58.6, 78.7]",,Ground Pass,,16.103725,,,César Azpilicueta Tanco,3957.0,,,,,,2,From Goal Kick,Gary Cahill,3645.0,Right Center Back,119,Chelsea,33,['7c7c1663-67c9-411b-a602-d8fadb5d0ac4'],1,,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:01.394,Pass,
,,,,,,,,,,,,,,,,,,0.869818,,,,,,,,,,,,,1548c62c-5f60-419a-9821-0ec9ab244115,2219,,"[58.6, 78.7]",3754055,51,,,,,-0.31475767,,Right Foot,,,,"[71.5, 74.5]",,Ground Pass,,13.566503,Incomplete,,Eden Hazard,3621.0,,,,,,2,From Goal Kick,César Azpilicueta Tanco,3957.0,Right Back,119,Chelsea,33,"['a6efbc42-e9a1-410c-9fd0-79d801e6d50d', 'b2d01c52-f091-4aa7-b66c-26bfaa4a4d8e']",3,,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:03.314,Pass,
,,,,,,,,,,,,,,,,,,1.59476,,,,,,,,,,,,,c5416d5a-31a1-4944-963b-c15d554fad2b,2222,,"[65.3, 71.4]",3754055,51,,,,,1.069532,,Left Foot,,,,"[69.3, 78.7]",,Ground Pass,,8.324061,,,Willian Borges da Silva,3472.0,,,,,Recovery,2,From Goal Kick,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,119,Chelsea,33,['9a05dfea-8506-465d-9988-a814cc8c9562'],4,,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:04.897,Pass,
,,,,,,,,,,,,,,,,,,1.096569,,,,,,,,,,,,,4ee50f24-5bb2-432b-bac9-bb2b3859082e,2225,,"[71.5, 78.4]",3754055,51,,,,,-0.69044644,,Right Foot,,,,"[80.7, 70.8]",,Ground Pass,,11.933147,,,Bertrand Isidore Traoré,2956.0,,,,,,2,From Goal Kick,Willian Borges da Silva,3472.0,Right Wing,119,Chelsea,33,['2aea22fb-aafb-477a-84e1-b98267f49940'],6,,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:06.830,Pass,
,,,,,,,,,,,,,,,,,,2.299989,,,,,,,,,,,,,7adbe573-5db7-4d4a-b253-40b01b3f90b4,2233,,"[80.5, 56.6]",3754055,51,,,,,-2.3032138,,Left Foot,,,,"[68.0, 42.7]",,Ground Pass,,18.69385,,,Nemanja Matić,3381.0,,,,,,2,From Goal Kick,Bertrand Isidore Traoré,2956.0,Center Forward,119,Chelsea,33,['1f357d3b-df8f-4fa7-aa0c-62a366130d5c'],12,,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:12.546,Pass,
,,,,,,,,,,,,,,,,,,1.887992,,,,,,,,,,,,,e281a4c5-da8a-4343-99b8-58c4cd073323,2235,,"[65.6, 38.2]",3754055,51,,,,,-1.6568367,,Left Foot,,,,"[62.4, 1.1]",,Low Pass,,37.23775,Out,,Abdul Rahman Baba,12325.0,,,,,,2,From Goal Kick,Nemanja Matić,3381.0,Left Defensive Midfield,119,Chelsea,33,['15527d4a-208c-4f26-bb19-00ff7aef2e4a'],14,,,,,,,,,,,,,,,,,,,Chelsea,33,00:06:14.846,Pass,
,,,,,,,,,,,,,,,,,,1.482031,,,,,,,,,,,,,50da3c01-3f70-4816-ad16-db08d70af6f4,2237,,"[62.3, 80.0]",3754055,51,,True,,,-1.3285878,,,,,,"[64.4, 71.5]",,Low Pass,,8.755569,,,Adam David Lallana,4090.0,,,,,Throw-in,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,120,Liverpool,24,['114c3cc8-268b-44b7-93c6-b0df31a45e83'],28,,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:28.526,Pass,
,,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,,,,38cced5e-63c2-4651-855f-14c7f3cac0c6,2239,,"[66.0, 71.2]",3754055,51,,True,,,-1.2843252,,Right Foot,,,,"[69.8, 58.3]",,Ground Pass,,13.448049,,,Philippe Coutinho Correia,3501.0,,,,,,2,From Throw In,Adam David Lallana,4090.0,Right Midfield,120,Liverpool,24,['405ff6d5-5c74-4661-a826-07f88a967637'],31,,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:31.430,Pass,
,,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,,,,8cad4971-c95a-4f36-829c-a572f1071e25,2241,,"[61.2, 33.5]",3754055,51,,True,,,2.9312668,,Right Foot,,,,"[52.3, 35.4]",,Ground Pass,,9.10055,,,James Philip Milner,3473.0,,,,,,2,From Throw In,Philippe Coutinho Correia,3501.0,Left Midfield,120,Liverpool,24,['86aa265d-b884-4dba-b7c5-54bbb0a26d5f'],33,,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:33.358,Pass,
