ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8cd6964f-4a2c-4711-9eb5-290bdea9a1b3,2213,,"[25.5, 1.5]",3749253,61,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Robert Pirès,19312.0,Left Midfield,150,Arsenal,1,['6b6996ad-4d03-40e5-a624-67721e0b0af7'],1,,,,,,,,,,,,,,,,,,Arsenal,1,00:16:01.796,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7472f973-4e50-4468-bd33-32bcd3a4e7e6,2218,,"[105.2, 68.1]",3749253,61,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,El-Hadji Ousseynou Diouf,40257.0,Right Midfield,151,Liverpool,24,['3658d085-ad9f-4221-9962-4cec035198c6'],21,,,,,,,,,,,,,,,,,,Liverpool,24,00:16:21.703,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44113991-b53f-4eb1-8bb3-ab427c534ee3,2229,,"[111.2, 70.4]",3749253,63,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,El-Hadji Ousseynou Diouf,40257.0,Right Midfield,152,Arsenal,1,['aaf20db3-b243-4fd7-a3e0-7b143b9a2017'],20,,,,,,,,,,,,,,,,,,Liverpool,24,00:18:20.503,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8678d1c2-d208-40e4-a1be-49c1a7286a04,2233,,"[97.8, 68.4]",3749253,63,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Steven Gerrard,19109.0,Left Defensive Midfield,153,Liverpool,24,['45754a3a-afe7-46ef-8ef1-9fbd1131f6a9'],29,,,,,,,,,,,,,,,,,,Liverpool,24,00:18:29.780,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46321225-9ba3-4417-8618-3a12e41ccdda,2235,,"[106.9, 58.7]",3749253,63,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Harry Kewell,34391.0,Right Center Forward,153,Liverpool,24,['abe137e2-a682-481e-9798-d168794adbbd'],31,,,,,,,,,,,,,,,,,,Liverpool,24,00:18:31.433,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf8aa5ec-f84f-4519-a7d8-46688081eb84,2242,,"[63.1, 6.1]",3749253,63,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,John Arne Semundseth Riise,34386.0,Left Back,153,Liverpool,24,['e016bf1e-99d9-4a64-a1cc-e27df07a4f48'],44,,,,,,,,,,,,,,,,,,Liverpool,24,00:18:44.604,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c9d884cb-62cf-44be-8f59-9dd9502ea15b,2246,,"[75.7, 5.2]",3749253,63,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Anthony Le Tallec,7814.0,Left Midfield,153,Liverpool,24,['0034fcc9-09fa-4207-ba83-f2d07ec9d97c'],47,,,,,,,,,,,,,,,,,,Liverpool,24,00:18:47.737,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7d5c4e2-8a75-4f7e-ad8b-7332f1f5d07b,2250,,"[14.7, 75.9]",3749253,63,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Laureano Bisan-Etame Mayer,40222.0,Right Back,154,Arsenal,1,['d702de3f-98ca-4682-9b31-3a3b1b60d4c7'],51,,,,,,,,,,,,,,,,,,Arsenal,1,00:18:51.825,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba9103e-fa91-47c8-bc56-588edcf4e1c9,2252,,"[42.3, 42.1]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gilberto Aparecido da Silva,40221.0,Left Defensive Midfield,154,Arsenal,1,['19080842-61a9-4fb0-be56-a49bfe6cc847'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:00.244,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349655ea-fc11-4c6d-87ae-4c0d2de12197,2254,,"[50.2, 14.2]",3749253,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Robert Pirès,19312.0,Left Midfield,154,Arsenal,1,['ccf25210-de86-454b-bd55-5cfafabe8013'],2,,,,,,,,,,,,,,,,,,Arsenal,1,00:19:02.884,Ball Receipt*,
