ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.247614,,,,,,,,,,,,afe63c16-d1bd-442e-807d-759e464208a5,39,,"[49.2, 12.1]",3754040,0,,,,,0.47456762,,Right Foot,,,,"[74.7, 25.2]",,High Pass,,28.6681,,,Christian Benteke Liolo,3380.0,,,,,,1,From Counter,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,5,Liverpool,24,['759c9128-d58a-43a1-a54e-fd3a2ccdf4b5'],40,,,,,,,,,,,,,,,,,Liverpool,24,00:00:40.115,Pass,
,,,,,,,,,,,,,,,,2.022465,,,,,,,,,,,,81dd5aa6-dc72-4ffc-9216-35c95fcfd00c,45,,"[83.9, 26.3]",3754040,1,,,,,-0.8836721,,Right Foot,,,,"[99.9, 6.8]",,Ground Pass,,25.223997,,,Alberto Moreno Pérez,3515.0,,,,,Free Kick,1,From Free Kick,James Philip Milner,3473.0,Right Defensive Midfield,6,Liverpool,24,['49a3589c-7801-4391-acc9-01fc30f4357e'],27,,,,,,,,,,,,,,,,,Liverpool,24,00:01:27.051,Pass,
,,,,,,,,,,,,,,,,1.830788,,,,,,,,,,,,3e5dcae1-1814-4132-9fed-63c0e68b6abc,48,,"[100.1, 6.8]",3754040,1,,,,,1.2454997,,Left Foot,True,,,"[111.5, 40.6]",,High Pass,,35.670715,Incomplete,,,,,,,,,1,From Free Kick,Alberto Moreno Pérez,3515.0,Left Wing Back,6,Liverpool,24,['a53e80fc-540a-42b7-882d-ab8de93b1f0d'],30,,,,,,,,,,,,,,,,,Liverpool,24,00:01:30.138,Pass,
,,,,,,,,,,,,,,,,1.095602,,,,,,,,,,,,3a68e5a7-aa3d-4086-8e8c-d1283752a3dc,50,,"[89.7, 26.5]",3754040,1,,,,,1.5120405,,Right Foot,,,,"[90.1, 33.3]",,Low Pass,,6.8117547,,,Lucas Pezzini Leiva,7780.0,,,,,Recovery,1,From Free Kick,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,6,Liverpool,24,['9f324f14-5464-477a-9fca-988eaec4f473'],33,,,,,,,,,,,,,,,,,Liverpool,24,00:01:33.847,Pass,
,,,,,,,,,,,,,,,,2.398924,,,,,,,,,,,,31bdf4bb-9d76-434d-b48e-e30ac8ec968d,53,,"[86.5, 30.5]",3754040,1,,,,,-1.8442574,,Right Foot,,,,"[79.6, 5.9]",,Ground Pass,,25.549364,,,Alberto Moreno Pérez,3515.0,,,,,,1,From Free Kick,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,6,Liverpool,24,['9c1e3700-0207-4c7f-8b69-5f9b1fd600e8'],35,,,,,,,,,,,,,,,,,Liverpool,24,00:01:35.339,Pass,
,,,,,,,,,,,,,,,,1.599181,,,,,,,,,,,,c5a56d5b-eb00-49b8-a81e-8aff90db3134,56,,"[78.8, 6.6]",3754040,1,,,,,2.7314653,,Left Foot,,,,"[62.7, 13.6]",,Ground Pass,,17.55591,,,Mamadou Sakho,3483.0,,,,,,1,From Free Kick,Alberto Moreno Pérez,3515.0,Left Wing Back,6,Liverpool,24,['83fc974b-e6be-4d28-8020-19690ff5656f'],38,,,,,,,,,,,,,,,,,Liverpool,24,00:01:38.525,Pass,
,,,,,,,,,,,,,,,,0.87429,,,,,,,,,,,,e9193363-a0c7-4872-a7c4-16eba2e7ae73,59,,"[62.7, 13.6]",3754040,1,,,,,1.1995367,,Left Foot,,,,"[67.8, 26.7]",,Ground Pass,,14.057738,,,Lucas Pezzini Leiva,7780.0,,,,,,1,From Free Kick,Mamadou Sakho,3483.0,Left Center Back,6,Liverpool,24,['2993d109-d365-43f2-882f-2c069bdc31e1'],40,,,,,,,,,,,,,,,,,Liverpool,24,00:01:40.587,Pass,
,,,,,,,,,,,,,,,,1.494722,,,,,,,,,,,,5b76e9e1-de33-41e4-ae3a-2d6657994689,62,,"[64.0, 30.3]",3754040,1,,,,,1.8589734,,Right Foot,,,,"[55.7, 58.3]",,Ground Pass,,29.20428,,,Emre Can,3493.0,,,,,,1,From Free Kick,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,6,Liverpool,24,['fc0c8596-4bdf-41e2-8708-005da4df9fc2'],42,,,,,,,,,,,,,,,,,Liverpool,24,00:01:42.275,Pass,
,,,,,,,,,,,,,,,,1.744027,,,,,,,,,,,,12166c1d-9111-4de2-a60b-5d2585035f71,65,,"[55.2, 57.7]",3754040,1,,,,,-2.17187,,Right Foot,,,,"[43.2, 40.2]",,Ground Pass,,21.219095,,,Martin Škrtel,18872.0,,,,,,1,From Free Kick,Emre Can,3493.0,Right Center Back,6,Liverpool,24,['10299ad9-cf7c-4618-a471-0a04df59143a'],44,,,,,,,,,,,,,,,,,Liverpool,24,00:01:44.425,Pass,
,,,,,,,,,,,,,,,,1.551296,,,,,,,,,,,,cba64300-67cb-45f3-b0f7-ac998e567938,68,,"[44.5, 37.8]",3754040,1,,,,,-1.4216965,,Right Foot,,,,"[48.0, 14.5]",,Ground Pass,,23.561409,,,Mamadou Sakho,3483.0,,,,,,1,From Free Kick,Martin Škrtel,18872.0,Center Back,6,Liverpool,24,['21689102-84c9-44fe-9e1f-fdb6c0a09580'],46,,,,,,,,,,,,,,,,,Liverpool,24,00:01:46.174,Pass,
