ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.926628,,,,,,,,,,,,,55f161c5-f8f8-4d23-bb56-c594aa426449,51,,"[55.6, 46.7]",3754212,0,,,,1.2039752,,Right Foot,,,"[62.9, 65.7]",,Ground Pass,,20.354115,,,,Emre Can,3493.0,,,,,,,1,From Kick Off,Martin Škrtel,18872.0,Center Back,2,Liverpool,24,['4a174211-53a4-4d27-bd6f-27a8fab48a52'],44,,,,,,,,,,,,,,,,,Liverpool,24,00:00:44.233,Pass,
,,,,,,,,,,,,,,,,1.525616,,,,,,,,,,,,,fb508030-9a04-4a7c-8286-3ed6a3a0d762,54,,"[51.2, 55.3]",3754212,0,,,,-1.2330354,,Left Foot,,,"[58.4, 34.8]",,Ground Pass,,21.727633,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Kick Off,Emre Can,3493.0,Right Center Back,2,Liverpool,24,['7c859fec-da25-42a5-bcd3-75354f64f05d'],47,,,,,,,,,,,,,,,,,Liverpool,24,00:00:47.404,Pass,
,,,,,,,,,,,,,,,,1.202143,,,,,,,,,,,,,44118c59-8a95-476a-9edb-9c2b16e0b470,57,,"[60.7, 33.9]",3754212,0,,,,-1.1778966,,Right Foot,,,"[71.6, 7.6]",,Ground Pass,,28.469282,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,2,Liverpool,24,['61d21e01-b111-461d-9f9c-d747152b618a'],49,,,,,,,,,,,,,,,,,Liverpool,24,00:00:49.857,Pass,
,,,,,,,,,,,,,,,,1.523188,,,,,,,,,,,,,71c656a4-fce0-4169-b061-0e003b7aba4a,60,,"[73.4, 11.7]",3754212,0,,,,-0.08808318,,Right Foot,,,"[111.9, 8.3]",,Low Pass,,38.649837,,,,Alberto Moreno Pérez,3515.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,['3190d835-fbb0-49e6-944e-7775305d64ce'],52,,,,,,,,,,,,,,,,,Liverpool,24,00:00:52.803,Pass,
,,,,,,,,,,,,,,,,1.499948,,,,,,,,,,,,,e30b3e25-ae72-4cb4-ae62-0edd5df6c2d8,63,,"[112.9, 10.5]",3754212,0,,,,-3.1117508,,Left Foot,,,"[86.1, 9.7]",,Ground Pass,,26.811937,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Alberto Moreno Pérez,3515.0,Left Wing Back,2,Liverpool,24,['775b2f97-56bc-483d-bd79-847f13daaf1a'],58,,,,,,,,,,,,,,,,,Liverpool,24,00:00:58.391,Pass,
,,,,,,,,,,,,,,,,0.550772,,,,,,,,,,,,,0c507e47-1619-49be-94f9-ccf741ca8f21,66,,"[86.1, 32.4]",3754212,1,,,,0.93521065,b23f9acd-88e3-4be9-b050-7788ae534eef,Right Foot,,,"[95.1, 44.6]",True,Low Pass,,15.160475,,,,James Philip Milner,3473.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,2,Liverpool,24,['c8f5d9f4-0e5d-4b57-8f0b-15678b46beb1'],3,,,,,,,,,,,,,,,,,Liverpool,24,00:01:03.343,Pass,
,,,,,,,,,,,,,,,,1.999999,,,,,,,,,,,,,682de693-79d9-48bd-ae86-d68f1194c74f,71,,"[60.0, 40.0]",3754212,2,True,,,-3.0492632,,Left Foot,,,"[43.8, 38.5]",,Ground Pass,,16.269297,,,,Jack Grealish,9638.0,,,,,,Kick Off,1,From Kick Off,Rudy Gestede,19362.0,Center Forward,3,Aston Villa,59,['08125eb7-ba85-4232-9584-a9d3ec0e72aa'],4,,,,,,,,,,,,,,,,,Aston Villa,59,00:02:04.586,Pass,
,,,,,,,,,,,,,,,,1.601601,,,,,,,,,,,,,8fcb2a37-a0f4-4d95-a6e7-fbadff9fbe53,73,,"[41.3, 39.9]",3754212,2,True,,,0.36282334,,Right Foot,,,"[95.3, 60.4]",,High Pass,,57.76028,,Unknown,,Rudy Gestede,19362.0,,,,,,,1,From Kick Off,Jack Grealish,9638.0,Left Wing,3,Aston Villa,59,['4d852e0f-85ca-4c70-9a39-79edc7d75057'],12,,,,,,,,,,,,,,,,,Aston Villa,59,00:02:12.175,Pass,
,,,,,,,,,,,,,,,,3.9422,,,,,,,,,,,,,af27cbb2-f01d-4a8a-8d23-33274fd6b670,77,,"[41.2, 16.3]",3754212,2,True,,,1.3289856,,Right Foot,,,"[52.2, 60.9]",,High Pass,,45.936478,,,,Nathaniel Edwin Clyne,4590.0,,,True,,,Free Kick,1,From Free Kick,Mamadou Sakho,3483.0,Left Center Back,4,Liverpool,24,['033de962-574c-45cc-926d-ee2f1f56ec62'],30,,,,,,,,,,,,,,,,,Liverpool,24,00:02:30.292,Pass,
,,,,,,,,,,,,,,,,1.252014,,,,,,,,,,,,,006f38f4-36b9-4858-93c7-46ee63c21c2d,79,,"[52.9, 59.4]",3754212,2,True,,,-1.332052,,Right Foot,,,"[57.5, 40.5]",,Ground Pass,,19.451735,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Free Kick,Nathaniel Edwin Clyne,4590.0,Right Wing Back,4,Liverpool,24,['d99aaa0c-0438-47c1-9e4f-e0707d598773'],34,,,,,,,,,,,,,,,,,Liverpool,24,00:02:34.496,Pass,
,,,,,,,,,,,,,,,,1.208673,,,,,,,,,,,,,a31ada89-e036-4722-858e-ea93e827c85b,81,,"[56.8, 40.5]",3754212,2,,,,-1.3045443,,Right Foot,,,"[63.4, 16.3]",,Ground Pass,,25.083858,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Free Kick,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,4,Liverpool,24,['6129bf97-6787-4b44-84b8-edb2fdc67811'],36,,,,,,,,,,,,,,,,,Liverpool,24,00:02:36.674,Pass,
,,,,,,,,,,,,,,,,0.859109,,,,,,,,,,,,,901c448c-1b2a-4e81-b814-aafd61fc45f9,84,,"[70.4, 27.8]",3754212,2,,,,2.6665819,,Right Foot,,,"[63.4, 31.4]",,Ground Pass,,7.8714676,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Free Kick,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,4,Liverpool,24,['bcd70513-d74b-4303-a518-f475acd1a762'],42,,,,,,,,,,,,,,,,,Liverpool,24,00:02:42.537,Pass,
,,,,,,,,,,,,,,,,1.700072,,,,,,,,,,,,,fba8829a-6963-419e-af08-ecc6ed9259a8,87,,"[63.9, 31.2]",3754212,2,,,,-1.1956267,,Right Foot,,,"[74.1, 5.3]",,Ground Pass,,27.836128,,,,Alberto Moreno Pérez,3515.0,,,,,,,1,From Free Kick,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,4,Liverpool,24,['489b276d-f508-4fa4-a4de-b4e38f417d98'],44,,,,,,,,,,,,,,,,,Liverpool,24,00:02:44.075,Pass,
,,,,,,,,,,,,,,,,0.961077,,,,,,,,,,,,,bbc2e70d-0800-409b-baf2-4177aa5888a3,90,,"[71.6, 15.8]",3754212,2,,,,1.5707964,,Left Foot,,,"[71.6, 26.5]",,Ground Pass,,10.7,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Free Kick,Alberto Moreno Pérez,3515.0,Left Wing Back,4,Liverpool,24,['27155d18-92e2-4408-80ce-d05f0df43611'],47,,,,,,,,,,,,,,,,,Liverpool,24,00:02:47.987,Pass,
,,,,,,,,,,,,,,,,1.706736,,,,,,,,,,,,,98bc3728-8d55-4e63-89de-5d060bd6ce4c,93,,"[71.6, 26.5]",3754212,2,,,,3.000599,,Right Foot,,,"[56.1, 28.7]",,Ground Pass,,15.655351,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Free Kick,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,4,Liverpool,24,['11889b1d-1583-476f-94c7-e024b02c4014'],48,,,,,,,,,,,,,,,,,Liverpool,24,00:02:48.985,Pass,
,,,,,,,,,,,,,,,,1.433802,,,,,,,,,,,,,b4de699f-31d9-4271-b690-da5202e142dd,96,,"[63.1, 37.5]",3754212,2,,,,-1.5420272,,Right Foot,,,"[63.9, 9.7]",,Ground Pass,,27.811508,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Free Kick,Lucas Pezzini Leiva,7780.0,Left Defensive Midfield,4,Liverpool,24,['d509e078-f43c-42b2-b495-ca4c9c381994'],54,,,,,,,,,,,,,,,,,Liverpool,24,00:02:54.699,Pass,
,,,,,,,,,,,,,,,,2.436132,,,,,,,,,,,,,47fb1bd2-3e06-454c-8ae7-0fc4a2d2ae18,99,,"[64.8, 29.6]",3754212,2,,,,0.87916213,,Right Foot,,,"[99.0, 70.9]",,High Pass,,53.622105,,,,Nathaniel Edwin Clyne,4590.0,,,True,,,,1,From Free Kick,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,4,Liverpool,24,['9303c21d-b09f-40c8-be2f-45d64d3b129e'],59,,,,,,,,,,,,,,,,,Liverpool,24,00:02:59.783,Pass,
,,,,,,,,,,,,,,,,1.460118,,,,,,,,,,,,,4c16fc38-b7be-4853-aa77-306e1a15f13c,102,,"[98.5, 69.1]",3754212,3,,,,-0.14189705,,Right Foot,,,"[109.7, 67.5]",,Ground Pass,,11.313708,,,,James Philip Milner,3473.0,,,,,,,1,From Free Kick,Nathaniel Edwin Clyne,4590.0,Right Wing Back,4,Liverpool,24,['c02ce1c3-a639-46e9-b9dd-7975a4e16b82'],3,,,,,,,,,,,,,,,,,Liverpool,24,00:03:03.765,Pass,
,,,,,,,,,,,,,,,,0.796662,,,,,,,,,,,,,c25a324d-f81f-4b1b-9159-35ff27e99eaa,108,,"[112.9, 75.5]",3754212,3,,,,-1.5320227,ea98e6c6-883d-47b7-a3ef-c74383a10810,Left Foot,,,"[113.8, 52.3]",,High Pass,,23.217451,,,,Emre Can,3493.0,True,,,,,Free Kick,1,From Free Kick,Alberto Moreno Pérez,3515.0,Left Wing Back,5,Liverpool,24,['1df8d97e-d0d4-49e8-b8a2-7c1540be7166'],59,,,,,,,,,,,,,,,,,Liverpool,24,00:03:59.706,Pass,
,,,,,,,,,,,,,,,,0.924936,,,,,,,,,,,,,44272b85-5f63-468a-9e44-fcf3c103326e,112,,"[4.3, 37.1]",3754212,4,True,,,0.72617894,,Keeper Arm,,,"[44.5, 72.8]",,High Pass,,53.76365,,,,Alan Hutton,9642.0,,,,,,,1,From Keeper,Bradley Guzan,12608.0,Goalkeeper,7,Aston Villa,59,['71f16183-570f-4ce5-ad1b-d5bf3eaf1972'],11,,,,,,,,,,,,,,,,,Aston Villa,59,00:04:11.930,Pass,
,,,,,,,,,,,,,,,,0.781773,,,,,,,,,,,,,c5ac56a9-6456-4fe9-ab87-c94235dfa2ec,114,,"[43.6, 72.3]",3754212,4,,,,0.0,,Right Foot,,,"[53.5, 72.3]",,Ground Pass,,9.9,,,,Ashley Westwood,3583.0,,,,,,,1,Regular Play,Alan Hutton,9642.0,Right Back,8,Aston Villa,59,['7a1e2877-c821-48e7-99ba-a468cfed65ba'],13,,,,,,,,,,,,,,,,,Aston Villa,59,00:04:13.157,Pass,
