ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.539397,,,,,,,,,,,,,,8b4a9135-0730-487f-b6a8-86e1c017b406,1814,,"[51.2, 44.7]",3754342,45,,,,,-1.3604704,,Left Foot,,,,"[53.1, 35.8]",,Low Pass,,9.10055,,,,,Joe Allen,10931.0,,,,,,Recovery,2,Regular Play,Kevin Linford Stewart,11992.0,Right Defensive Midfield,79,Liverpool,24,['359c2a54-0797-418c-b8ae-321085ff97b0'],39,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:39.641,Pass,
,,,,,,,,,,,,,,,1.797345,,,,,,,,,,,,,,18602d69-5c99-414a-a1d3-41fd34b45d23,1817,,"[52.6, 34.9]",3754342,45,,,,,-1.1781267,,Right Foot,,,,"[63.7, 8.1]",,Ground Pass,,29.007757,,,,,Alberto Moreno Pérez,3515.0,,,,,,,2,Regular Play,Joe Allen,10931.0,Left Defensive Midfield,79,Liverpool,24,['ba872c1d-230d-4644-82cc-4b8f01192c9e'],41,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:41.266,Pass,
,,,,,,,,,,,,,,,1.024228,,,,,,,,,,,,,,6ae4e340-de7a-47e4-8af2-713bd1d9f323,1821,,"[86.8, 10.2]",3754342,45,,,,,1.1950443,,Left Foot,,,True,"[91.1, 21.1]",,Ground Pass,,11.717508,,,,,Philippe Coutinho Correia,3501.0,,,,,,,2,Regular Play,Alberto Moreno Pérez,3515.0,Left Back,79,Liverpool,24,"['110ff085-f595-4e2b-9c7d-9f97f035927d', '878b6fa2-c9c1-4e37-baf2-941b9450d154']",45,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:45.863,Pass,True
,,,,,,,,,,,,,,,1.774224,,,,,,,,,,,,,,326b5405-5e0e-4887-8fd9-f2b126a88d55,1828,,"[100.7, 0.1]",3754342,45,,,,,2.3662276,,,,,,"[85.6, 14.9]",,Low Pass,,21.143557,,,,,Joe Allen,10931.0,,,,,,Throw-in,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,80,Liverpool,24,['7b863971-49ee-4e35-b516-13291893d395'],55,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:55.434,Pass,
,,,,,,,,,,,,,,,0.820706,,,,,,,,,,,,,,f2039326-87bf-4dad-a2ea-6d6aeb4a0e4d,1831,,"[85.6, 14.9]",3754342,45,,,,,-0.11065722,,Right Foot,,,,"[92.8, 14.1]",,Ground Pass,,7.244308,,,,,Philippe Coutinho Correia,3501.0,,,,,,,2,From Throw In,Joe Allen,10931.0,Left Defensive Midfield,80,Liverpool,24,['0fcdb23c-7029-4690-9b8c-53bf950b4464'],58,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:58.576,Pass,
,,,,,,,,,,,,,,,1.799722,,,,,,,,,,,,,,28503812-ccfe-4350-a178-8e24742aa49a,1836,,"[84.3, 44.7]",3754342,46,,,,,1.1115218,,Right Foot,,,,"[97.9, 72.2]",,Low Pass,,30.679146,,,,,Jon Flanagan,10007.0,,,,,,,2,From Throw In,Philippe Coutinho Correia,3501.0,Left Wing,80,Liverpool,24,['0391725e-0865-4611-9a3c-8d4b8598c673'],4,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:04.058,Pass,
,,,,,,,,,,,,,,,1.447839,,,,,,,,,,,,,,5f88ad16-3ca2-4bd9-a849-d39fa0bd590d,1839,,"[115.1, 72.2]",3754342,46,,,,,-2.9955804,,Right Foot,,,,"[101.5, 70.2]",,Ground Pass,,13.746272,,,,,Oluwaseyi Babajide Ojo,13200.0,,,,,,,2,From Throw In,Jon Flanagan,10007.0,Right Back,80,Liverpool,24,['d6f2ae1a-f44d-4a7c-96f1-555a680d8b77'],8,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:08.837,Pass,
,,,,,,,,,,,,,,,1.165215,,,,,,,,,,,,,,7b464631-827b-4b38-aa8d-aac9e44e8077,1842,,"[101.5, 70.2]",3754342,46,,,,,-1.3497144,,Left Foot,True,,,"[108.4, 39.5]",,High Pass,,31.465855,,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,,2,From Throw In,Oluwaseyi Babajide Ojo,13200.0,Right Wing,80,Liverpool,24,"['6b0be3b6-95e2-42de-a2fc-6bc544d05263', 'dd894d45-2c07-43ab-b296-667710e22574']",11,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:11.485,Pass,
,,,,,,,,,,,,,,,0.933525,,,,,,,,,,,,,,7406a1bd-e494-48f8-8d88-c64dede52d96,1847,,"[91.8, 18.8]",3754342,46,,,,,-0.6602282,,Left Foot,,,,"[100.3, 12.2]",,Ground Pass,,10.761505,,,,,Jordon Ibe,3635.0,,,,,,,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,80,Liverpool,24,['06b2c7ba-8f38-413e-9d86-00332bf734ba'],15,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:15.744,Pass,
,,,,,,,,,,,,,,,0.900084,,,,,,,,,,,,,,f30d9ff6-3caf-49a1-adcc-3f925a9c3079,1851,,"[117.6, 19.5]",3754342,46,,,,,2.0096557,,Left Foot,True,True,,"[110.7, 34.2]",,Ground Pass,,16.238842,,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,,2,From Throw In,Jordon Ibe,3635.0,Center Attacking Midfield,80,Liverpool,24,"['0c0a7486-6d60-4985-8675-76383c803828', '1ad7afe5-275e-4052-8bc1-887ae2f28bee']",21,,,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:21.644,Pass,
