ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,1.309726,,,,,,,,,,,,,,,353e9f81-d750-4300-a087-4d7cc2a1a270,46,,"[23.6, 5.4]",3753985,0,,,,,-0.15991312,,Right Foot,,,,"[39.1, 2.9]",,Ground Pass,,15.700318,,,,Erik Pieters,3467.0,,,,,,,1,Regular Play,Glen Johnson,4724.0,Right Back,3,Stoke City,30,['d139e9cf-b920-4056-8287-544ecf678620'],39,,,,,,,,,,,,,,,,,Stoke City,30,00:00:39.162,Pass,
,,,,,,,,,,,,,1.182242,,,,,,,,,,,,,,,e16fed8d-381c-41b8-a2ae-0f184f574d0a,52,,"[42.2, 0.1]",3753985,0,,,,,2.8670173,,,,,,"[28.0, 4.1]",,Low Pass,,14.752626,,,,Marc Muniesa Martínez,6560.0,,,,,,Throw-in,1,From Throw In,Erik Pieters,3467.0,Left Back,4,Stoke City,30,['0b8656c2-fd31-41e1-81ab-993be6fb797e'],53,,,,,,,,,,,,,,,,,Stoke City,30,00:00:53.908,Pass,
,,,,,,,,,,,,,3.922324,,,,,,,,,,,,,,,051e5794-499c-443f-a80b-e12202dbcf20,55,,"[26.5, 3.9]",3753985,0,,,,,0.36454555,,Left Foot,,,,"[85.2, 26.3]",,High Pass,,62.828735,,Incomplete,,,,,,,,,,1,From Throw In,Marc Muniesa Martínez,6560.0,Left Center Back,4,Stoke City,30,"['544bffd6-4513-42ef-9203-79c9b4b7fe92', '937471e3-f387-4c84-93f5-9869380ac231']",55,,,,,,,,,,,,,,,,,Stoke City,30,00:00:55.090,Pass,True
,,,,,,,,,,,,,3.197566,,,,,,,,,,,,,,,544bffd6-4513-42ef-9203-79c9b4b7fe92,56,,"[34.9, 53.8]",3753985,0,,,,,-0.9803685,,Left Foot,,,,"[54.0, 25.3]",,Low Pass,,34.308308,,,,Adam David Lallana,4090.0,,,,,,Recovery,1,Regular Play,Dejan Lovren,3471.0,Left Center Back,5,Liverpool,24,"['051e5794-499c-443f-a80b-e12202dbcf20', '46cf7b57-46db-49fa-9e18-5720322dc6db']",59,,,,,,,,,,,,,,,,,Liverpool,24,00:00:59.012,Pass,
,,,,,,,,,,,,,1.661614,,,,,,,,,,,,,,,91b8a399-deba-4dc7-b788-6d65cffc8344,59,,"[78.3, 7.2]",3753985,1,,,,,1.2279673,,Left Foot,,,,"[89.9, 39.7]",,High Pass,,34.508114,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,,1,Regular Play,Adam David Lallana,4090.0,Left Wing,5,Liverpool,24,"['70805c50-4671-49d6-bd51-90a3725a0665', 'd3497152-bb66-478d-9a94-2fd7cd4b9129']",5,,,,,,,,,,,,,,,,,Liverpool,24,00:01:05.993,Pass,
,,,,,,,,,,,,,1.26049,,,,,,,,,,,,,,,d3497152-bb66-478d-9a94-2fd7cd4b9129,61,,"[30.2, 40.4]",3753985,1,,,,,-0.45031506,,Head,,,,"[45.3, 33.1]",,Low Pass,,16.772001,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Marc Muniesa Martínez,6560.0,Left Center Back,5,Liverpool,24,"['130c1858-d13c-4384-8903-14a653f47e7b', '91b8a399-deba-4dc7-b788-6d65cffc8344']",7,,,,,,,,,,,,,,,,,Stoke City,30,00:01:07.654,Pass,
,,,,,,,,,,,,,0.684437,,,,,,,,,,,,,,,130c1858-d13c-4384-8903-14a653f47e7b,62,,"[74.8, 47.0]",3753985,1,,,,,0.08984754,,Right Foot,,,,"[85.9, 48.0]",,Ground Pass,,11.144954,,,,Christian Benteke Liolo,3380.0,,,,,,Recovery,1,Regular Play,James Philip Milner,3473.0,Right Defensive Midfield,5,Liverpool,24,"['d3497152-bb66-478d-9a94-2fd7cd4b9129', 'fb0391d8-60af-46af-a13b-2d02df38c4a4']",8,,,,,,,,,,,,,,,,,Liverpool,24,00:01:08.915,Pass,
,,,,,,,,,,,,,1.629624,,,,,,,,,,,,,,,b2d2230f-7908-4443-8820-923aed7f7212,64,,"[85.9, 48.0]",3753985,1,,,,,2.1953323,,Left Foot,,,,"[74.8, 63.4]",,Ground Pass,,18.983414,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,Regular Play,Christian Benteke Liolo,3380.0,Center Forward,5,Liverpool,24,['cf1617c9-9672-43b0-b9f0-78d18b6d6dcd'],9,,,,,,,,,,,,,,,,,Liverpool,24,00:01:09.599,Pass,
,,,,,,,,,,,,,1.566385,,,,,,,,,,,,,,,05b32288-8e76-4925-bc74-8a27ae6b508c,67,,"[75.4, 64.5]",3753985,1,,,,,0.789923,,Right Foot,,,,"[86.4, 75.6]",,Ground Pass,,15.62722,,,,Jordon Ibe,3635.0,,,,,,,1,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,5,Liverpool,24,['860c9316-fcd5-4a14-b560-6891a61f5fff'],11,,,,,,,,,,,,,,,,,Liverpool,24,00:01:11.816,Pass,
,,,,,,,,,,,,,0.442616,,,,,,,,,,,,,,,e68d52bd-fcec-4947-b35e-9efae48709d6,71,,"[116.6, 60.7]",3753985,1,,,,,-2.1335335,,Right Foot,,True,,"[112.5, 54.2]",,Low Pass,,7.6850505,,Incomplete,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,Regular Play,Jordon Ibe,3635.0,Right Wing,5,Liverpool,24,"['5be0b90e-ae6a-4ab0-8d9f-0ea85b798557', 'cc5d373d-6d7b-4ba2-acd5-a07487202643', 'ecee548a-e4cc-4111-991b-5c3f04280558']",19,,,,,,,,,,,,,,,,,Liverpool,24,00:01:19.581,Pass,True
,,,,,,,,,,,,,2.587522,,,,,,,,,,,,,,,02e04a12-7d9c-43bf-8361-4910cd415198,74,,"[120.0, 80.0]",3753985,1,,,,,-1.7880898,,Right Foot,,,,"[109.8, 33.8]",,High Pass,,47.312576,,,True,Christian Benteke Liolo,3380.0,,,True,Outswinging,,Corner,1,From Corner,Jordan Brian Henderson,3532.0,Left Defensive Midfield,6,Liverpool,24,['5c021bf6-ed12-4dab-9942-a20442371fd6'],41,,,,,,,,,,,,,,,,,Liverpool,24,00:01:41.999,Pass,
,,,,,,,,,,,,,3.500443,,,,,,,,,,,,,,,1e2f8d51-15e0-49f7-9fa1-5f26f41878be,79,,"[10.5, 46.3]",3753985,2,,,,,0.1502826,,Right Foot,,,,"[77.2, 56.4]",,High Pass,,67.46036,,Incomplete,,Mame Biram Diouf,3603.0,,,,,,Free Kick,1,From Free Kick,Jack Butland,3537.0,Goalkeeper,7,Stoke City,30,"['a1f75b6d-ea14-49be-988f-04097fe6ae54', 'da329b7f-a73d-48fe-a77c-5b4adf875fdb']",17,,,,,,,,,,,,,,,,,Stoke City,30,00:02:17.567,Pass,
,,,,,,,,,,,,,2.238094,,,,,,,,,,,,,,,a1f75b6d-ea14-49be-988f-04097fe6ae54,81,,"[42.9, 23.7]",3753985,2,,,,,0.6776378,,Left Foot,,,,"[63.9, 40.6]",,High Pass,,26.955704,,Incomplete,,Jordon Ibe,3635.0,,,,,,Recovery,1,From Free Kick,Martin Škrtel,18872.0,Right Center Back,7,Stoke City,30,"['06e38bc2-cc6f-411a-b614-1a83c4c82c85', '1e2f8d51-15e0-49f7-9fa1-5f26f41878be', 'bf5f8db9-99ec-4ce5-b9f8-f3dcbdd7c960']",21,,,,,,,,,,,,,,,,,Liverpool,24,00:02:21.067,Pass,
,,,,,,,,,,,,,1.856782,,,,,,,,,,,,,,,bf5f8db9-99ec-4ce5-b9f8-f3dcbdd7c960,83,,"[56.2, 39.5]",3753985,2,,,,,-0.4676396,,Head,,,,"[76.2, 29.4]",,Low Pass,,22.40558,,Incomplete,,Ibrahim Afellay,4891.0,,,,,,Recovery,1,From Free Kick,Erik Pieters,3467.0,Left Back,7,Stoke City,30,"['65e7d2a0-bb28-42a6-93b2-f9d91b24e3a9', 'a1f75b6d-ea14-49be-988f-04097fe6ae54', 'b1474e8c-f988-46b5-88c9-f90ddaa51e70']",23,,,,,,,,,,,,,,,,,Stoke City,30,00:02:23.306,Pass,
,,,,,,,,,,,,,2.933935,,,,,,,,,,,,,,,65e7d2a0-bb28-42a6-93b2-f9d91b24e3a9,85,,"[43.9, 50.7]",3753985,2,,,,,0.7201004,,Right Foot,,,,"[77.3, 80.0]",,High Pass,,44.430283,,Out,,Jordon Ibe,3635.0,,,,,,Recovery,1,From Free Kick,Nathaniel Edwin Clyne,4590.0,Right Back,7,Stoke City,30,"['9b566e65-775b-4299-80f6-089a4f1ca6ac', 'bf5f8db9-99ec-4ce5-b9f8-f3dcbdd7c960']",25,,,,,,,,,,,,,,,,,Liverpool,24,00:02:25.162,Pass,
,,,,,,,,,,,,,1.406802,,,,,,,,,,,,,,,23aa6e8a-d6d6-4fd8-a8da-7a2f0a82737d,87,,"[45.5, 0.1]",3753985,2,,,,,0.14373867,,,,,,"[75.9, 4.5]",,High Pass,,30.71677,,Incomplete,,Mame Biram Diouf,3603.0,,,,,,Throw-in,1,From Throw In,Erik Pieters,3467.0,Left Back,8,Stoke City,30,"['2f4a97c6-8537-4968-8e4a-80e8cb019160', '43ef37f4-632f-4c4d-a57e-1158f07fcfe8']",45,,,,,,,,,,,,,,,,,Stoke City,30,00:02:45.869,Pass,
,,,,,,,,,,,,,1.070615,,,,,,,,,,,,,,,40c78d72-8fb7-43bb-9e79-d0d14a15e63d,90,,"[74.5, 0.1]",3753985,2,,,,,2.674282,,,,,,"[63.6, 5.6]",,Low Pass,,12.209013,,,,Ibrahim Afellay,4891.0,,,,,,Throw-in,1,From Throw In,Erik Pieters,3467.0,Left Back,9,Stoke City,30,['24637e80-4790-47ea-b0ae-0655415e83bf'],55,,,,,,,,,,,,,,,,,Stoke City,30,00:02:55.465,Pass,
,,,,,,,,,,,,,0.873875,,,,,,,,,,,,,,,7acd3913-5734-45ba-917a-fbec0e6c3d40,93,,"[63.6, 5.6]",3753985,2,,,,,0.9568816,,Right Foot,,,,"[71.0, 16.1]",,Ground Pass,,12.845622,,,,Glenn Whelan,9625.0,,,,,,,1,From Throw In,Ibrahim Afellay,4891.0,Left Wing,9,Stoke City,30,['e2058646-ac30-4feb-82ed-6ae38e9a1f7b'],57,,,,,,,,,,,,,,,,,Stoke City,30,00:02:57.855,Pass,
,,,,,,,,,,,,,1.12247,,,,,,,,,,,,,,,9ac70e1c-0edd-4a10-a669-13d8e1248fa4,96,,"[57.0, 15.8]",3753985,3,,,,,2.231444,,Right Foot,,,,"[43.4, 33.3]",,Low Pass,,22.163258,,,,Marco van Ginkel,8251.0,,,,,,,1,From Throw In,Glenn Whelan,9625.0,Left Defensive Midfield,9,Stoke City,30,['a2f5970f-3d20-4074-89aa-5ec4bb00aeab'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:03:00.044,Pass,
