50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.187667,,,,,,,,,,,,,,c19df4df-c4cc-436d-afe0-c02ec1a39f3b,50,,"[65.1, 73.3]",3754003,0,,,,,0.4098276,,Right Foot,,,,"[77.3, 78.6]",,Ground Pass,,13.301504,,,,James Philip Milner,3473.0,,,,,,,1,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,4,Liverpool,24,['594b662d-551a-4fb9-ace9-4a12ccc766e7'],48,,,,,,,,,,,,,,,,Liverpool,24,00:00:48.625,Pass,
,,,,,,,,,,,,,,,1.072464,,,,,,,,,,,,,,1ba2084c-1167-40ef-8e25-3cf160377b5c,53,,"[77.7, 76.4]",3754003,0,,,,,-0.7464568,,Left Foot,,,,"[85.7, 69.0]",,Ground Pass,,10.897706,,Incomplete,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Center Midfield,4,Liverpool,24,"['86b2ed18-dde6-45d0-94e0-1bb7be533f10', '907bbdb5-4db4-4c0b-af36-c295fe29b32b']",51,,,,,,,,,,,,,,,,Liverpool,24,00:00:51.097,Pass,
,,,,,,,,,,,True,,,,0.377506,,,,,,,,,,,,,,907bbdb5-4db4-4c0b-af36-c295fe29b32b,55,,"[34.4, 11.1]",3754003,0,,,,,-0.47212198,,Left Foot,,,,"[39.1, 8.7]",,Ground Pass,,5.27731,,,,Bastian Schweinsteiger,18414.0,,,,,,Interception,1,Regular Play,Michael Carrick,4751.0,Right Defensive Midfield,5,Manchester United,39,"['1ba2084c-1167-40ef-8e25-3cf160377b5c', '70ca03da-13e2-42db-8f91-3d6e47299abe']",52,,,,,,,,,,,,,,,,Manchester United,39,00:00:52.169,Pass,
,,,,,,,,,,,,,,,1.160802,,,,,,,,,,,,,,eda7a823-d299-42e8-a2b4-164c4a90a997,64,,"[82.0, 80.0]",3754003,1,,True,,,-0.9360341,,,,,,"[91.5, 67.1]",,High Pass,,16.02061,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,6,Liverpool,24,['4df9a311-038f-459d-810a-d911348c234f'],5,,,,,,,,,,,,,,,,Liverpool,24,00:01:05.876,Pass,
,,,,,,,,,,,,,,,1.23191,,,,,,,,,,,,,,43444a4c-426d-45a6-b9a8-43e5fcbe4614,66,,"[91.5, 67.1]",3754003,1,,,,,-1.7581465,,Right Foot,,,,"[87.5, 46.0]",,High Pass,,21.4758,,,,Emre Can,3493.0,,,,,,,1,From Throw In,Roberto Firmino Barbosa de Oliveira,3535.0,Right Wing,6,Liverpool,24,['4dd5bfdc-388c-41e8-ba01-67e5e6e97821'],7,,,,,,,,,,,,,,,,Liverpool,24,00:01:07.087,Pass,
,,,,,,,,,,,,,,,1.625187,,,,,,,,,,,,,,4d793224-1d7e-4357-8edf-30731ae1dba7,68,,"[87.5, 46.0]",3754003,1,,,,,0.16076274,,Head,,,,"[98.6, 47.8]",,High Pass,,11.244999,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,,1,From Throw In,Emre Can,3493.0,Left Center Midfield,6,Liverpool,24,"['5b39e17c-928f-41b3-8f76-bea46c685039', '686cf30a-3a87-4c4b-9194-8f2d523e5a10']",8,,,,,,,,,,,,,,,,Liverpool,24,00:01:08.359,Pass,
,,,,,,,,,,,,,,,3.735281,,,,,,,,,,,,,,a035b592-f120-49e1-9052-8bfed994683b,73,,"[49.8, 27.4]",3754003,1,,,,,-1.7732098,,Head,,,,"[44.3, 0.6]",,High Pass,,27.358545,,,,Luke Shaw,3382.0,,,,,,Recovery,1,Regular Play,Marouane Fellaini-Bakkioui,3296.0,Center Forward,7,Manchester United,39,['60a086b9-9ffa-4849-bed3-3423a2aa3e1e'],14,,,,,,,,,,,,,,,,Manchester United,39,00:01:14.182,Pass,
,,,,,,,,,,,,,,,0.80498,,,,,,,,,,,,,,f3d230e4-dfd2-48f7-8f63-56fbc1c6a8c0,76,,"[44.3, 0.6]",3754003,1,,,,,0.30036345,,Left Foot,,,,"[55.6, 4.1]",,Ground Pass,,11.829624,,,,Memphis Depay,2988.0,,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Back,7,Manchester United,39,['410165f8-78a7-4e73-9c1f-0ce55db03aec'],17,,,,,,,,,,,,,,,,Manchester United,39,00:01:17.991,Pass,
,,,,,,,,,,,,,,,0.72144,,,,,,,,,,,,,,54604ef1-07c4-48d2-8323-5333a4922248,85,,"[44.3, 5.2]",3754003,1,,,,,1.5707964,,Right Foot,,,,"[44.3, 22.8]",,Ground Pass,,17.6,,,,Ander Herrera Agüera,3606.0,,,,,,,1,Regular Play,Memphis Depay,2988.0,Left Wing,7,Manchester United,39,['d3cd2775-cacd-47bf-bc9f-f6a06c6cb4f8'],23,,,,,,,,,,,,,,,,Manchester United,39,00:01:23.724,Pass,
,,,,,,,,,,,,,,,1.742029,,,,,,,,,,,,,,7db471e5-df00-4f26-8107-3d8326a08ec3,88,,"[50.2, 24.7]",3754003,1,,,,,2.0964627,,Left Foot,,,,"[39.7, 42.8]",,Ground Pass,,20.925104,,,,Michael Carrick,4751.0,,,,,,,1,Regular Play,Ander Herrera Agüera,3606.0,Center Attacking Midfield,7,Manchester United,39,['617b7dcb-72c4-45cb-adad-3d326feeaff6'],26,,,,,,,,,,,,,,,,Manchester United,39,00:01:26.678,Pass,
,,,,,,,,,,,,,,,1.144952,,,,,,,,,,,,,,0c146008-3228-463e-a9f9-224c546c9c17,92,,"[40.0, 44.0]",3754003,1,,,,,0.48803303,,Right Foot,,,,"[56.2, 52.6]",,Ground Pass,,18.341211,,,,Juan Manuel Mata García,3294.0,,,,,,,1,Regular Play,Michael Carrick,4751.0,Right Defensive Midfield,7,Manchester United,39,"['13231078-8ad5-4236-9a47-5eb0d6c313ad', '7083b1a3-7b7e-4276-a289-00d1a407751a']",29,,,,,,,,,,,,,,,,Manchester United,39,00:01:29.423,Pass,True
,,,,,,,,,,,,,,,1.377329,,,,,,,,,,,,,,616dcc79-8958-4e9f-88b2-01505caf02f9,96,,"[52.9, 39.3]",3754003,1,,,,,-1.9533415,,Right Foot,,,,"[46.1, 22.4]",,Ground Pass,,18.216751,,,,Bastian Schweinsteiger,18414.0,,,,,,,1,Regular Play,Juan Manuel Mata García,3294.0,Right Wing,7,Manchester United,39,"['0dfe646f-a255-41a8-b0a2-867c3127d9f5', 'beeab7c8-c2b2-4217-9c17-868fa00ee421']",32,,,,,,,,,,,,,,,,Manchester United,39,00:01:32.774,Pass,True
,,,,,,,,,,,,,,,1.369291,,,,,,,,,,,,,,4c22ddfe-c3c7-4a30-a6e5-8e289f9d757f,99,,"[48.2, 21.8]",3754003,1,,,,,-1.2215298,,Right Foot,,,,"[54.1, 5.6]",,Ground Pass,,17.24094,,,,Luke Shaw,3382.0,,,,,,,1,Regular Play,Bastian Schweinsteiger,18414.0,Left Defensive Midfield,7,Manchester United,39,['603d6c77-3b88-431e-9efc-1921fd75ea59'],34,,,,,,,,,,,,,,,,Manchester United,39,00:01:34.906,Pass,
,,,,,,,,,,,,,,,2.795726,,,,,,,,,,,,,,2dcf76de-24dc-4881-b2bd-abf4f72bdbab,102,,"[54.1, 5.6]",3754003,1,,,,,0.053218465,,Left Foot,,,,"[95.4, 7.8]",,High Pass,,41.358555,,Incomplete,,,,,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Back,7,Manchester United,39,['731e369c-1cf2-417c-b67a-067dedaa0998'],37,,,,,,,,,,,,,,,,Manchester United,39,00:01:37.521,Pass,
,,,,,,,,,,,,,,,2.02616,,,,,,,,,,,,,,3ab0575e-aa81-497e-b3ea-c0e1f0f338d1,105,,"[21.4, 74.9]",3754003,1,,,,,-0.3694118,,Right Foot,,,,"[57.3, 61.0]",,High Pass,,38.497013,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,,1,Regular Play,Martin Škrtel,18872.0,Right Center Back,8,Liverpool,24,"['3f5c3a4f-12a3-4709-84ac-a1d7562beced', '64fb53e4-8ef3-4d03-8679-6b81b2865229']",42,,,,,,,,,,,,,,,,Liverpool,24,00:01:42.699,Pass,
,,,,,,,,,,,,,,,1.835681,,,,,,,,,,,,,,3f5c3a4f-12a3-4709-84ac-a1d7562beced,107,,"[62.8, 19.1]",3754003,1,,,,,-0.15264933,,Head,,,,"[78.4, 16.7]",,High Pass,,15.783536,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Bastian Schweinsteiger,18414.0,Left Defensive Midfield,8,Liverpool,24,"['3ab0575e-aa81-497e-b3ea-c0e1f0f338d1', '5de646c3-d1d9-446a-b584-a1516097e0a4']",44,,,,,,,,,,,,,,,,Manchester United,39,00:01:44.725,Pass,
,,,,,,,,,,,,,,,0.90426,,,,,,,,,,,,,,5de646c3-d1d9-446a-b584-a1516097e0a4,108,,"[41.7, 63.4]",3754003,1,,,,,1.4793093,,Head,,,,"[42.7, 74.3]",,Low Pass,,10.945775,,,,Nathaniel Edwin Clyne,4590.0,,,,,,Recovery,1,Regular Play,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,8,Liverpool,24,"['3f5c3a4f-12a3-4709-84ac-a1d7562beced', '40948d21-c6b5-4189-bc0d-d4fe31149951']",46,,,,,,,,,,,,,,,,Liverpool,24,00:01:46.561,Pass,
,,,,,,,,,,,,,,,2.050995,,,,,,,,,,,,,,948cfdf7-9fce-409d-83e5-c09d400e3cab,111,,"[40.1, 76.6]",3754003,1,,,,,-0.62319934,,Right Foot,,,,"[72.1, 53.6]",,High Pass,,39.40812,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,,1,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,8,Liverpool,24,"['47ccd3ab-41d3-4d75-8186-0a2d11055840', 'ff5c1f44-1c34-4057-af0b-baea836d1960']",49,,,,,,,,,,,,,,,,Liverpool,24,00:01:49.400,Pass,
