50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.319723,,,,,,,,,caaaf580-0ef1-4be7-b73e-e0b11c0a0adc,1808,,"[29.3, 7.5]",3754051,52,,True,,,0.4292482,,Left Foot,,,"[49.4, 16.7]",,Ground Pass,,22.105429,,,,Adam David Lallana,4090.0,,,,,,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,117,Liverpool,24,['0360ad19-6d3c-404c-946f-ba1cbd7cd1d1'],26,,,,,,,,,,,,,,,,,,Liverpool,24,00:07:26.224,Pass,
,,,,,,,,,,,,,,,,1.474505,,,,,,,,,b2e49295-dbb1-4a29-a90e-82cd92eff18f,1810,,"[57.6, 17.1]",3754051,52,,,,,1.5707964,,Left Foot,,,"[57.6, 36.6]",,Ground Pass,,19.5,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,2,From Throw In,Adam David Lallana,4090.0,Left Center Midfield,117,Liverpool,24,['af36f4ed-f5a1-481b-8850-b3bb8e566599'],28,,,,,,,,,,,,,,,,,,Liverpool,24,00:07:28.915,Pass,
,,,,,,,,,,,,,,,,1.147564,,,,,,,,,40bfc3ec-b34b-4264-88be-0c908a7434e9,1813,,"[60.9, 37.2]",3754051,52,,,,,0.65634835,,Right Foot,,,"[75.7, 48.6]",,Ground Pass,,18.681541,,,,Philippe Coutinho Correia,3501.0,,,,,,2,From Throw In,Roberto Firmino Barbosa de Oliveira,3535.0,Right Center Forward,117,Liverpool,24,['8dd8c579-c40c-4d97-b5e6-79daeac01bff'],30,,,,,,,,,,,,,,,,,,Liverpool,24,00:07:30.734,Pass,
,,,,,,,,,,,,,,,,2.677873,,,,,,,,,c05ee533-53de-45b7-a208-a528e1cc58f6,1817,,"[78.5, 48.9]",3754051,52,,,,,0.70119876,,Right Foot,,,"[99.7, 66.8]",,Ground Pass,,27.74617,,,,Jordan Brian Henderson,3532.0,,,,,,2,From Throw In,Philippe Coutinho Correia,3501.0,Center Attacking Midfield,117,Liverpool,24,"['1f531d51-5319-4b87-baec-ff413b3a812a', 'c43f698e-ee21-4eac-812f-12a75f7cc4a6']",32,,,,,,,,,,,,,,,,,,Liverpool,24,00:07:32.435,Pass,True
,,,,,,,,,,,,,,,,0.895063,,,,,,,,,b6897b88-ae4b-4878-8726-50f9549fc446,1820,,"[110.3, 60.2]",3754051,52,,,,,-1.296296,,Right Foot,True,,"[115.2, 42.8]",,High Pass,,18.07678,,Incomplete,,,,,,,,,2,From Throw In,Jordan Brian Henderson,3532.0,Right Center Midfield,117,Liverpool,24,['9fe04234-9a94-4087-96df-257266a588f4'],36,,,,,,,,,,,,,,,,,,Liverpool,24,00:07:36.807,Pass,
,,,,,,,,,,,,,,,,1.354259,,,,,,,,,61f638d1-cac8-4ecb-9037-4a652df53ee7,1822,,"[11.5, 35.4]",3754051,52,,True,,,-0.49289915,,Keeper Arm,,,"[57.3, 10.8]",,High Pass,,51.98846,,,,José Manuel Jurado Marín,6870.0,,,,,,2,Regular Play,Heurelho da Silva Gomes,3522.0,Goalkeeper,118,Watford,23,['55f079c1-1e88-434c-8fc3-3cda95ee123b'],54,,,,,,,,,,,,,,,,,,Watford,23,00:07:54.495,Pass,
,,,,,,,,,,,,,,,,2.642621,,,,,,,,,4bd2d436-448e-40e0-84cd-9996b0b1cf83,1824,,"[57.3, 10.8]",3754051,52,,True,,,2.7307415,,Right Foot,,,"[37.1, 19.6]",,Ground Pass,,22.033611,,,,Miguel Ángel Britos Cabrera,3288.0,,,,,,2,Regular Play,José Manuel Jurado Marín,6870.0,Left Midfield,118,Watford,23,['eee71788-eeec-4eb3-82bf-0042f106c434'],56,,,,,,,,,,,,,,,,,,Watford,23,00:07:56.952,Pass,
,,,,,,,,,,,,,,,,1.383943,,,,,,,,,7e4758c3-c4fb-4843-8e08-16400af91081,1826,,"[37.1, 19.6]",3754051,52,,,,,-0.36692378,,Left Foot,,,"[63.9, 9.3]",,High Pass,,28.711147,,,,Troy Deeney,3454.0,,,,,,2,Regular Play,Miguel Ángel Britos Cabrera,3288.0,Left Center Back,118,Watford,23,['49a2d38f-57b8-416e-9a30-d7454d856a99'],59,,,,,,,,,,,,,,,,,,Watford,23,00:07:59.595,Pass,
,,,,,,,,,,,,,,,,2.008719,,,,,,,,,fc50645f-497b-48d2-ac14-b4075d0cdb23,1828,,"[63.4, 9.3]",3754051,53,,,,,0.36314702,,Head,,,"[83.4, 16.9]",,High Pass,,21.395327,,Incomplete,,Odion Jude Ighalo,5458.0,,,,,,2,Regular Play,Troy Deeney,3454.0,Right Center Forward,118,Watford,23,"['67338eea-5985-476b-a6ac-e6f6e8f1ad0a', '6a84d1d6-edf6-49c7-b409-c04ad8735c84']",0,,,,,,,,,,,,,,,,,,Watford,23,00:08:00.979,Pass,
,,,,,,,,,,,,,,,,1.792536,,,,,,,,,67338eea-5985-476b-a6ac-e6f6e8f1ad0a,1831,,"[36.7, 63.2]",3754051,53,,,,,2.4572978,,Left Foot,,,"[32.9, 66.3]",,Ground Pass,,4.90408,,,,Lucas Pezzini Leiva,7780.0,,,,,Recovery,2,Regular Play,Mamadou Sakho,3483.0,Left Center Back,119,Liverpool,24,"['62ff6ae2-193b-4f92-a5a5-8995f9832d7b', '7c1b4ee5-937f-4a67-9a90-38e989f78185', 'fc50645f-497b-48d2-ac14-b4075d0cdb23']",2,,,,,,,,,,,,,,,,,,Liverpool,24,00:08:02.988,Pass,True
