50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.168623,,,,,,,,,,,,,,,84838292-e1cd-4016-a9a2-6c07384d7e3b,54,,"[62.5, 80.0]",3754348,1,,,,,-0.2931869,,,,,"[73.1, 76.8]",,Low Pass,,11.072489,,,James Philip Milner,3473.0,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,6,Liverpool,24,['c36bd08c-70db-4f69-952f-f4cfbf013df4'],28,,,,,,,,,,,,,,,,Liverpool,24,00:01:28.070,Pass,
,,,,,,,,,,,,,,,,,,1.500894,,,,,,,,,,,,,,,704c5214-6127-492e-91a0-c6f717c76f0e,60,,"[40.5, 5.5]",3754348,1,,,,,0.9186815,,Left Foot,,,"[56.0, 25.8]",,High Pass,,25.540947,,Incomplete,Nathan Redmond,3286.0,,,,,Recovery,1,From Throw In,Robert Brady,10967.0,Left Back,6,Liverpool,24,"['9a0c4dd9-1397-4f49-b5c1-531128a2e97a', 'b442d4a6-e8a2-4499-915a-5d668b1686f0', 'f1ad66e4-9b4b-475a-bdae-7794ccdc1429']",30,,,,,,,,,,,,,,,,Norwich City,56,00:01:30.381,Pass,True
,,,,,,,,,,,,,,,,,,1.579332,,,,,,,,,,,,,,,9a0c4dd9-1397-4f49-b5c1-531128a2e97a,62,,"[64.1, 54.3]",3754348,1,,,,,3.0824027,,Right Foot,,,"[50.6, 55.1]",,Low Pass,,13.523683,,Incomplete,Lucas Pezzini Leiva,7780.0,,,,,Recovery,1,From Throw In,Emre Can,3493.0,Left Center Midfield,6,Liverpool,24,"['19de31f2-c031-4e08-8ac9-6b3ebcfaa940', '6a24b730-f231-45e7-b172-3ad0bb9a55e6', '704c5214-6127-492e-91a0-c6f717c76f0e']",31,,,,,,,,,,,,,,,,Liverpool,24,00:01:31.882,Pass,
,,,,,,,,,,,,,,,,,,2.152074,,,,,,,,,,,,,,,dcf850ec-1864-4554-a606-46267574c670,72,,"[63.8, 35.1]",3754348,2,,,,,-1.1566268,,Right Foot,,,"[76.9, 5.3]",,Ground Pass,,32.552265,,,Robert Brady,10967.0,,,,,Free Kick,1,From Free Kick,Russell Martin,21212.0,Right Center Back,8,Norwich City,56,['51859fa5-3fff-44cf-878d-e3f41ce87bd3'],12,,,,,,,,,,,,,,,,Norwich City,56,00:02:12.181,Pass,
,,,,,,,,,,,,,,,,,,3.509241,,,,,,,,,,,,,,,526fde63-0692-4558-8499-271969649abd,75,,"[76.9, 5.3]",3754348,2,,,,,-0.08426863,,Left Foot,,,"[113.6, 2.2]",,Ground Pass,,36.830692,,,Wes Hoolahan,10966.0,,,,,,1,From Free Kick,Robert Brady,10967.0,Left Back,8,Norwich City,56,['243347d4-5f9b-4ece-9eab-f2b3188b2fd6'],14,,,,,,,,,,,,,,,,Norwich City,56,00:02:14.413,Pass,
,,,,,,,,,,,,,,,,,,1.316687,,,,,,,,,,,,,,,62cfeb9b-7312-415c-b59c-57b3a6a27b04,79,,"[118.4, 3.0]",3754348,2,,,,,2.2876,,Left Foot,,,"[106.2, 17.0]",,Ground Pass,,18.569868,,Incomplete,Jonathan Howson,9578.0,,,,,,1,From Free Kick,Wes Hoolahan,10966.0,Left Midfield,8,Norwich City,56,"['35412981-5ee5-4585-af0c-053b3d0124b5', '94e265e2-76c5-41d4-ac27-7fcc3e668c77']",20,,,,,,,,,,,,,,,,Norwich City,56,00:02:20.792,Pass,
,,,,,,,,,,,,,,,,,,1.510278,,,,,,,,,,,,,,,35412981-5ee5-4585-af0c-053b3d0124b5,82,,"[13.9, 63.1]",3754348,2,,,,,1.4265069,,Left Foot,,,"[15.6, 74.8]",,Ground Pass,,11.822859,,,James Philip Milner,3473.0,,,,,Recovery,1,Regular Play,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,9,Liverpool,24,"['153941f2-6ec0-4ede-9dd3-c9c98b24da17', '62cfeb9b-7312-415c-b59c-57b3a6a27b04']",22,,,,,,,,,,,,,,,,Liverpool,24,00:02:22.109,Pass,
,,,,,,,,,,,,,,,,,,1.157442,,,,,,,,,,,,,,,52bf3891-6fea-4ed6-aa58-70d20da91283,85,,"[21.0, 76.2]",3754348,2,,,,,0.006060532,,Right Foot,,,"[37.5, 76.3]",,Ground Pass,,16.500303,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Wing,9,Liverpool,24,['7b0a1443-55a9-40b7-ac63-bf6ac6dfad9c'],24,,,,,,,,,,,,,,,,Liverpool,24,00:02:24.428,Pass,
,,,,,,,,,,,,,,,,,,0.786695,,,,,,,,,,,,,,,7e750a36-4d0a-4031-aa1d-1f29debe7aa6,92,,"[35.8, 80.0]",3754348,2,,,,,-0.45037407,,,,,"[44.9, 75.6]",,Low Pass,,10.107918,,,James Philip Milner,3473.0,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,10,Liverpool,24,['76639ab5-bf8e-46ee-a296-67caec35b0d8'],37,,,,,,,,,,,,,,,,Liverpool,24,00:02:37.256,Pass,
,,,,,,,,,,,,,,,,,,1.716779,,,,,,,,,,,,,,,dc382381-f786-4798-b85a-131275df8f24,95,,"[44.9, 75.6]",3754348,2,,,,,-2.9023612,,Right Foot,,,"[32.6, 72.6]",,Low Pass,,12.660568,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Throw In,James Philip Milner,3473.0,Right Wing,10,Liverpool,24,['24a50208-60c6-499b-bb0b-fa9b604620c3'],38,,,,,,,,,,,,,,,,Liverpool,24,00:02:38.163,Pass,
,,,,,,,,,,,,,,,,,,0.694549,,,,,,,,,,,,,,,d2971736-3bcb-4115-90bf-b09f53efb9eb,99,,"[31.4, 71.8]",3754348,2,,,,,0.66596925,,Right Foot,,,"[37.0, 76.2]",,Ground Pass,,7.1217976,,,James Philip Milner,3473.0,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,10,Liverpool,24,"['53b36aa6-b8ac-4682-9db2-053c028b78c3', '9775e5ec-ff18-4610-bed7-b1020cf132d3']",40,,,,,,,,,,,,,,,,Liverpool,24,00:02:40.485,Pass,True
,,,,,,,,,,,,,,,,,,2.771927,,,,,,,,,,,,,,,ef97ba50-2db7-4f7c-ba9b-ac63510f8281,103,,"[45.2, 76.5]",3754348,2,,,,,0.05787521,,Right Foot,,,"[91.8, 79.2]",,High Pass,,46.678154,,Out,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,1,From Throw In,James Philip Milner,3473.0,Right Wing,10,Liverpool,24,"['cfba99a6-e3ea-43dd-93b7-aa56c6f9fb4b', 'e50a14f6-a62b-4789-af3e-507eb045f0f3']",43,,,,,,,,,,,,,,,,Liverpool,24,00:02:43.455,Pass,True
,,,,,,,,,,,,,,,,,,3.341833,,,,,,,,,,,,,,,ba615261-fd14-4db7-b0bd-da77037c23ce,105,,"[34.3, 0.1]",3754348,3,,,,,0.3980143,,,,,"[69.5, 14.9]",,High Pass,,38.184814,,Incomplete,Steven Naismith,9528.0,,,,,Throw-in,1,From Throw In,Robert Brady,10967.0,Left Back,11,Norwich City,56,"['975ff6a3-ddaa-4efe-845c-2d8741cbd94c', 'bb656ede-3381-46a6-a675-300274989567']",0,,,,,,,,,,,,,,,,Norwich City,56,00:03:00.359,Pass,
