bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.173202,,,,,,,,,,,,,85b59e0b-f06e-43c5-9604-1c1a26a032e9,43,,,"[63.9, 15.6]",3753984,0,,,,,2.7538226,,Right Foot,,,,"[42.6, 24.3]",,Ground Pass,23.008259,,,,Dejan Lovren,3471.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,2,Liverpool,24,['d8f53fdc-3661-424b-8217-cbbad561b770'],37,,,,,,,,,,,,,,,,Liverpool,24,00:00:37.967,Pass,
,,,,,,,,,,,,,,3.128623,,,,,,,,,,,,,66b2235f-0071-4ae0-9feb-9cd6c2146786,46,,,"[47.5, 27.0]",3753984,0,,,,,1.0023899,,Right Foot,,,,"[79.5, 77.1]",,High Pass,59.44754,,,,Nathaniel Edwin Clyne,4590.0,,,True,,,,1,From Kick Off,Dejan Lovren,3471.0,Left Center Back,2,Liverpool,24,['4a4ebbee-c45c-4a28-b654-23488ffa4eb0'],40,,,,,,,,,,,,,,,,Liverpool,24,00:00:40.625,Pass,
,,,,,,,,,,,,,,1.226477,,,,,,,,,,,,,9a4bcb1a-7f36-4c61-9caa-22a7552dfef7,49,,,"[76.7, 72.6]",3753984,0,,,,,-2.383965,,Right Foot,,,,"[65.6, 62.1]",,Ground Pass,15.279398,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Kick Off,Nathaniel Edwin Clyne,4590.0,Right Back,2,Liverpool,24,['a09ee55f-749a-4d19-9d66-394cb562f0c1'],46,,,,,,,,,,,,,,,,Liverpool,24,00:00:46.217,Pass,
,,,,,,,,,,,,,,1.107944,,,,,,,,,,,,,64bc1853-0280-4491-a5bd-831ac0cb839e,52,,,"[70.4, 62.0]",3753984,0,,,,,-0.778988,,Right Foot,,,,"[86.1, 46.5]",,Ground Pass,22.062185,,,,Christian Benteke Liolo,3380.0,,,,,,,1,From Kick Off,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,2,Liverpool,24,['83308c76-1383-499b-90ae-5e2072fd5882'],48,,,,,,,,,,,,,,,,Liverpool,24,00:00:48.721,Pass,
,,,,,,,,,,,,,,0.424456,,,,,,,,,,,,,39f8f945-8bfd-476d-adc5-645566b22d33,54,,,"[86.1, 46.5]",3753984,0,,,,,-1.2757456,,No Touch,,,,"[89.2, 36.3]",,Ground Pass,10.660675,True,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Christian Benteke Liolo,3380.0,Center Forward,2,Liverpool,24,['1b7d7b8f-2511-4bc2-8a66-c5c012059766'],49,,,,,,,,,,,,,,,,Liverpool,24,00:00:49.829,Pass,
,,,,,,,,,,,,,,0.630339,,,,,,,,,,,,,42ca27db-ea36-41c3-b5b1-a750de59a303,57,,,"[91.9, 39.6]",3753984,0,,,,,0.47501075,,Right Foot,,,,"[98.9, 43.2]",,Ground Pass,7.8714676,,Incomplete,,Christian Benteke Liolo,3380.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Wing,2,Liverpool,24,"['4eb32407-8602-4728-ac8e-ebe0a3a968b0', 'af41c10f-0c2c-4844-80a3-5c7aea955c5d']",50,,,,,,,,,,,,,,,,Liverpool,24,00:00:50.978,Pass,
,,,,,,,,,,,,,,2.610733,,,,,,,,,,,,,b010b0a4-ca83-4b1d-9a86-4f86401e8cfe,61,,,"[19.7, 39.5]",3753984,0,,,,,0.03439503,,Right Foot,,,,"[66.2, 41.1]",,High Pass,46.52752,,Incomplete,,Diafra Sakho,3962.0,,,,,,,1,Regular Play,Winston Reid,4280.0,Right Center Back,3,West Ham United,40,"['127fa676-e3d8-42ed-a610-05bdf4276859', '382301d5-f010-4f37-8cca-4ffe3a508303']",52,,,,,,,,,,,,,,,,West Ham United,40,00:00:52.827,Pass,
,,,,,,,,,,,,,,1.932916,,,,,,,,,,,,,127fa676-e3d8-42ed-a610-05bdf4276859,64,,,"[53.9, 39.0]",3753984,0,,,,True,-0.15264933,,,,,,"[73.4, 36.0]",,High Pass,19.72942,,Incomplete,,James Philip Milner,3473.0,,,,,,Recovery,1,Regular Play,Dejan Lovren,3471.0,Left Center Back,3,West Ham United,40,"['228c41bb-c0ab-4c78-a8e1-f785b94a28f3', '3625dd91-089f-47de-8534-33d434979157', '5d793817-f79d-422a-a610-166d1cc059e3', 'b010b0a4-ca83-4b1d-9a86-4f86401e8cfe']",55,,,,,,,,,,,,,,,,Liverpool,24,00:00:55.438,Pass,True
,,,,,,,,,,,,,,3.814943,,,,,,,,,,,,,2e024353-7903-43e0-a9f7-7df2565ab859,68,,,"[53.2, 39.1]",3753984,0,,,,,-0.49287316,,Right Foot,,,,"[92.3, 18.1]",,High Pass,44.38254,,Incomplete,,Dimitri Payet,3491.0,,,,,,,1,Regular Play,Cheikhou Kouyaté,3684.0,Right Center Midfield,3,West Ham United,40,"['6aaf4c52-c316-4f15-83ae-858fbfa24373', '77c84e9f-6328-4b32-b50f-0c87147e5017']",58,,,,,,,,,,,,,,,,West Ham United,40,00:00:58.104,Pass,
,,,,,,,,,,,,,,2.185334,,,,,,,,,,,,,77c84e9f-6328-4b32-b50f-0c87147e5017,70,,,"[27.8, 62.0]",3753984,1,,,,,-2.6716821,,Head,,,,"[8.7, 52.3]",,Low Pass,21.421951,,,,Simon Mignolet,3539.0,,,,,,Recovery,1,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,4,Liverpool,24,"['2e024353-7903-43e0-a9f7-7df2565ab859', '848b5dd2-7be0-47ef-8123-1c6ad8ca0010']",1,,,,,,,,,,,,,,,,Liverpool,24,00:01:01.919,Pass,
