ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.795889,,,,,,,,,,,,da23030c-fe5a-4f3f-99e5-963f406a9fd4,1709,,"[76.1, 48.6]",3754230,39,,,,,2.89059,,Left Foot,,,"[56.6, 53.6]",,Ground Pass,,20.130821,,,,Martin Škrtel,18872.0,,,,,,,1,From Free Kick,Emre Can,3493.0,Left Center Midfield,94,Liverpool,24,['a5129907-41ef-4a9a-b66f-625a4436915b'],49,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:49.641,Pass,
,,,,,,,,,,,,,,,,2.360788,,,,,,,,,,,,01738f21-599f-4a3a-9570-f565af95ae40,1712,,"[56.6, 53.6]",3754230,39,,,,,-1.6003081,,Right Foot,,,"[55.8, 26.5]",,Ground Pass,,27.111805,,,,Mamadou Sakho,3483.0,,,,,,,1,From Free Kick,Martin Škrtel,18872.0,Right Center Back,94,Liverpool,24,['9633cefc-9c1a-41e7-9823-a01082bd66f9'],51,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:51.506,Pass,
,,,,,,,,,,,,,,,,1.596665,,,,,,,,,,,,8abb96b2-1a8c-4303-b2a0-6218e597cea2,1715,,"[57.2, 19.8]",3754230,39,,,,,-0.7618335,,Left Foot,,,"[72.4, 5.3]",,Ground Pass,,21.006903,,,,Alberto Moreno Pérez,3515.0,,,,,,,1,From Free Kick,Mamadou Sakho,3483.0,Left Center Back,94,Liverpool,24,['f76fe05f-d1d5-468d-b154-311a5e1c6847'],54,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:54.943,Pass,
,,,,,,,,,,,,,,,,1.243859,,,,,,,,,,,,98c418b9-7bbb-4ef7-b0f3-b9603aa8bfb1,1718,,"[72.4, 5.3]",3754230,39,,,,,1.4077821,,Left Foot,,,"[74.9, 20.5]",,Ground Pass,,15.404221,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Free Kick,Alberto Moreno Pérez,3515.0,Left Back,94,Liverpool,24,['959cbf8a-e207-4228-ae70-c9825b53fb23'],57,,,,,,,,,,,,,,,,,,Liverpool,24,00:39:57.509,Pass,
,,,,,,,,,,,,,,,,1.133741,,,,,,,,,,,,4d22838e-a1ca-4e60-abe4-d5f707239844,1724,,"[28.4, 58.8]",3754230,40,,,,,2.1788855,,Right Foot,,,"[21.3, 69.0]",,Ground Pass,,12.427792,,,,Cédric Ricardo Alves Soares,3329.0,,,,,,,1,From Free Kick,Victor Wanyama,3098.0,Left Center Midfield,94,Liverpool,24,['ee3e5309-3977-4af3-8eb9-f433b3377cb3'],2,,,,,,,,,,,,,,,,,,Southampton,25,00:40:02.829,Pass,
,,,,,,,,,,,,,,,,2.691055,,,,,,,,,,,,9a835eb1-608f-4340-9741-0a6c7fccc8a9,1727,,"[21.4, 73.8]",3754230,40,,,,,-0.2832352,,Right Foot,,,"[69.5, 59.8]",,High Pass,,50.09601,,Incomplete,,Graziano Pellè,11062.0,,,,,,,1,From Free Kick,Cédric Ricardo Alves Soares,3329.0,Right Back,94,Liverpool,24,"['bc47b726-8be7-49e7-9197-f5d7cd3350f4', 'c57da2e5-3766-41ca-8e4d-dde4b5954254']",4,,,,,,,,,,,,,,,,,,Southampton,25,00:40:04.614,Pass,
,,,,,,,,,,,,,,,,2.422246,,,,,,,,,,,,be4f2d37-431f-4f72-9ecd-2340ecbbdf65,1731,,"[56.3, 22.3]",3754230,40,,,,,-0.75819397,,Left Foot,,,"[71.4, 8.0]",,Ground Pass,,20.796635,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Free Kick,Mamadou Sakho,3483.0,Left Center Back,94,Liverpool,24,['51b01309-30da-4273-919a-bc37569f51f0'],8,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:08.667,Pass,
,,,,,,,,,,,,,,,,0.669354,,,,,,,,,,,,6dc33e48-484e-4a33-8a47-8b57b22f11b7,1734,,"[88.7, 8.5]",3754230,40,,,,,-2.2945442,,Right Foot,,,"[84.9, 4.2]",,Ground Pass,,5.7384667,,,,Emre Can,3493.0,,,,,,,1,From Free Kick,Philippe Coutinho Correia,3501.0,Left Attacking Midfield,94,Liverpool,24,['562a901f-04f3-4479-8eff-144ab9ba7ebf'],12,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:12.970,Pass,
,,,,,,,,,,,,,,,,1.893182,,,,,,,,,,,,d653610d-3d30-4218-9023-b5a6df144a40,1737,,"[84.9, 3.9]",3754230,40,,,,,1.6013991,,Left Foot,,,"[84.3, 23.5]",,Ground Pass,,19.609182,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Free Kick,Emre Can,3493.0,Left Center Midfield,94,Liverpool,24,['9e14e6ff-d840-423e-8004-ccdf5dbc419b'],14,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:14.721,Pass,
,,,,,,,,,,,,,,,,1.162213,,,,,,,,,,,,69a61c34-e25a-46dc-a944-00434498fc82,1740,,"[84.3, 23.5]",3754230,40,,,,,2.5967288,,Right Foot,,,"[71.1, 31.5]",,Ground Pass,,15.435025,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Free Kick,Philippe Coutinho Correia,3501.0,Left Attacking Midfield,94,Liverpool,24,['d06da5bf-4ccc-4105-b9ae-a90695e84454'],16,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:16.884,Pass,
