ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.344111,,,,,,,,,,,,e87a8bb3-a2bb-4f73-87ff-c5aa1d80b5a6,1536,,,"[76.0, 24.6]",3754351,45,,,,,-1.9941071,,Right Foot,,,,"[67.8, 6.4]",,Low Pass,,19.961964,,,,,Alberto Moreno Pérez,3515.0,,,,,,1,From Keeper,Emre Can,3493.0,Right Center Midfield,87,Liverpool,24,['aa2a2944-24ff-4d25-92ee-6f5a40e00609'],46,,,,,,,,,,,,,,,,,Liverpool,24,00:45:46.629,Pass,
,,,,,,,,,,,,,,,,0.971443,,,,,,,,,,,,60f2c242-cca2-4e30-8656-1f2a0766fbf0,1539,,,"[68.8, 6.7]",3754351,45,,,,,1.3968952,,Left Foot,,,,"[71.4, 21.5]",,Ground Pass,,15.026643,,,,,Emre Can,3493.0,,,,,,1,From Keeper,Alberto Moreno Pérez,3515.0,Left Back,87,Liverpool,24,['6e7b7b94-84b4-4dc5-92df-3c4e73622059'],49,,,,,,,,,,,,,,,,,Liverpool,24,00:45:49.857,Pass,
,,,,,,,,,,,,,,,,2.299188,,,,,,,,,,,,05032e80-cf1e-4189-88e4-bfb0a1017ce9,1542,,,"[80.9, 39.7]",3754351,45,,,,,0.95022947,,Right Foot,,,,"[102.2, 69.5]",,High Pass,,36.62963,,,Incomplete,,Nathaniel Edwin Clyne,4590.0,,,,,,1,From Keeper,Emre Can,3493.0,Right Center Midfield,87,Liverpool,24,"['1d73771b-644d-457e-ac95-5079db39ada8', '6cac7f36-56ac-4577-93e0-f3b2f8e13f0c']",54,,,,,,,,,,,,,,,,,Liverpool,24,00:45:54.762,Pass,
,,,,,,,,,,,,,,,,2.875415,,,,,,,,,,,,089bab8e-55ec-402d-b88e-bfcd33ea1a1c,1546,,,"[102.7, 80.0]",3754351,46,,,,,-3.0166857,,,,,,"[80.4, 77.2]",,Low Pass,,22.475098,,,,,Lucas Pezzini Leiva,7780.0,,,,,Throw-in,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,88,Liverpool,24,['4d040a49-c093-409b-a91b-f69ccaeaf1d2'],4,,,,,,,,,,,,,,,,,Liverpool,24,00:46:04.621,Pass,
,,,,,,,,,,,,,,,,1.934233,,,,,,,,,,,,b3f30b84-f7bc-4786-aeaf-f5ceb39d841c,1548,,,"[79.8, 77.2]",3754351,46,,,,,-2.75571,,Right Foot,,,,"[60.6, 69.4]",,Ground Pass,,20.7239,,,,,Martin Škrtel,18872.0,,,,,,1,From Throw In,Lucas Pezzini Leiva,7780.0,Left Center Midfield,88,Liverpool,24,['eaf126a1-bd5b-44b8-bce3-5d00fa5bb767'],7,,,,,,,,,,,,,,,,,Liverpool,24,00:46:07.497,Pass,
,,,,,,,,,,,,,,,,0.772669,,,,,,,,,,,,c4f5aa18-94db-4acf-ab61-46b24d4ea31d,1551,,,"[67.3, 75.6]",3754351,46,,,,,-0.08245724,,Right Foot,,,,"[79.4, 74.6]",,Ground Pass,,12.141252,,,,,Jordon Ibe,3635.0,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,88,Liverpool,24,['37851bda-fa23-47a0-a7db-b76c01879f2e'],11,,,,,,,,,,,,,,,,,Liverpool,24,00:46:11.075,Pass,
,,,,,,,,,,,,,,,,0.843712,,,,,,,,,,,,6c6306c8-18bd-423e-bca1-c7fea8cc0448,1556,,,"[38.7, 6.5]",3754351,46,,,,,0.81241864,,Right Foot,,,,"[44.1, 12.2]",,Ground Pass,,7.8517513,,,,,Bakary Sako,3469.0,,,,,Recovery,1,Regular Play,Jason Puncheon,19688.0,Center Attacking Midfield,89,Crystal Palace,31,['d5f4b82a-3a7a-49a7-ac41-e0ab92b7221d'],12,,,,,,,,,,,,,,,,,Crystal Palace,31,00:46:12.777,Pass,
,,,,,,,,,,,,,,,,0.860352,,,,,,,,,,,,f7876180-00b5-485d-b3e6-a55259fd1e66,1559,,,"[45.1, 12.0]",3754351,46,,,,,-1.1383885,,Left Foot,,,,"[48.7, 4.2]",,Ground Pass,,8.5906925,,,,,Jason Puncheon,19688.0,,,,,,1,Regular Play,Bakary Sako,3469.0,Center Forward,89,Crystal Palace,31,['9083c5b7-5048-4420-9a16-27780fde1208'],14,,,,,,,,,,,,,,,,,Crystal Palace,31,00:46:14.177,Pass,
,,,,,,,,,,,,,,,,1.318259,,,,,,,,,,,,f83d6163-c947-4672-ad47-07d97c6d50a0,1563,,,"[84.0, 9.6]",3754351,46,,,,,-1.5943214,,Left Foot,,,,"[83.8, 1.1]",,Ground Pass,,8.502353,,,,,Yannick Bolasie Yala,3589.0,,,,,,1,Regular Play,Jason Puncheon,19688.0,Center Attacking Midfield,89,Crystal Palace,31,"['11836d28-ad70-4854-a2f9-3bb43a2420fe', 'fb1cfbcc-4449-4a10-9b00-dee3ffade9b9']",19,,,,,,,,,,,,,,,,,Crystal Palace,31,00:46:19.185,Pass,True
,,,,,,,,,,,,,,,,0.808233,,,,,,,,,,,,c66d0ede-d636-482b-a0f7-0cc76c95b0a6,1572,,,"[111.9, 0.1]",3754351,46,,,,,1.2306992,,,,,,"[114.2, 6.6]",,Low Pass,,6.8949256,,,,,Bakary Sako,3469.0,,,,,Throw-in,1,From Throw In,Pape N''Diaye Souaré,4884.0,Left Back,90,Crystal Palace,31,['55a7d79e-cc12-494a-8812-f044e1b90668'],46,,,,,,,,,,,,,,,,,Crystal Palace,31,00:46:46.044,Pass,
