50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.083509,,,,,,,,,,,,,3321914d-4378-4717-9d62-020313c3af22,44,,"[57.8, 72.2]",3753986,0,,,,-1.54494,,Right Foot,,"[58.1, 60.6]",,Ground Pass,,11.603879,,,,,Geoff Cameron,3480.0,,,,,,1,From Throw In,Phil Bardsley,3643.0,Right Back,4,Stoke City,30,['acf8cd57-efef-4d86-ba1d-646f2836a46e'],38,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:38.710,Pass,
,,,,,,,,,,,,,,,,,,4.523893,,,,,,,,,,,,,61cfe644-5ee8-43d3-9e99-c2ce35101b4e,47,,"[58.1, 60.6]",3753986,0,,,,-0.18708664,,Right Foot,,"[106.7, 51.4]",,High Pass,,49.463116,,,Incomplete,,Peter Crouch,4040.0,,,,,,1,From Throw In,Geoff Cameron,3480.0,Right Defensive Midfield,4,Stoke City,30,"['2d184675-8383-4ec0-a6f2-243d56beb3c5', '584e776f-bd84-47ce-a465-fa9376425ed0']",39,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:39.861,Pass,
,,,,,,,,,,,,,,,,,,0.967712,,,,,,,,,,,,,62e863a1-e9f4-4713-9d49-e1db0b59135b,51,,"[12.2, 37.3]",3753986,0,,,,1.169773,,Right Foot,,"[17.5, 49.8]",,Ground Pass,,13.577187,,,,,Martin Škrtel,18872.0,,,,,,1,Regular Play,Simon Mignolet,3539.0,Goalkeeper,5,Liverpool,24,['2fa89b04-ef85-403e-81bc-f5d574a58305'],47,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:47.161,Pass,
,,,,,,,,,,,,,,,,,,1.75627,,,,,,,,,,,,,3d9b5b96-8e0a-4540-a907-ec01e71e1dd0,54,,"[19.8, 53.4]",3753986,0,,,,0.92603654,,Right Foot,,"[38.9, 78.8]",,Ground Pass,,31.780025,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,Regular Play,Martin Škrtel,18872.0,Right Center Back,5,Liverpool,24,['3f73be4f-05fe-45e4-89a3-ec412cfe1ba0'],49,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:49.822,Pass,
,,,,,,,,,,,,,,,,,,0.842495,,,,,,,,,,,,,e95cdca3-960e-4ec6-a12b-c194d2502b24,57,,"[38.4, 79.0]",3753986,0,,,,-1.677532,,Right Foot,,"[37.5, 70.6]",,Ground Pass,,8.448076,,,,,James Philip Milner,3473.0,,,,,,1,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,5,Liverpool,24,['f47abf07-9e08-460a-b0ca-4d766b04504d'],52,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:52.257,Pass,
,,,,,,,,,,,,,,,,,,0.885363,,,,,,,,,,,,,ec7d2bd6-4c33-4395-ae8d-de07d659180f,60,,"[35.8, 71.3]",3753986,0,,,,1.9428641,,Right Foot,,"[32.6, 79.5]",,Ground Pass,,8.802273,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Defensive Midfield,5,Liverpool,24,['f587d51b-c963-4749-9ec7-9e860b051dc2'],54,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:54.060,Pass,
,,,,,,,,,,,,,,,,,,1.364834,,,,,,,,,,,,,a8891515-61c7-458e-856e-9a1af32973f5,63,,"[28.6, 76.8]",3753986,0,,,,-0.456072,,Right Foot,,"[39.2, 71.6]",,Ground Pass,,11.806778,,,,,Kevin Linford Stewart,11992.0,,,,,,1,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,5,Liverpool,24,['9b79a40e-6df8-493a-a3e0-ae7a79ac4164'],58,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:58.649,Pass,
,,,,,,,,,,,,,,,,,,0.313324,,,,,,,,,,,,,39f06bc0-e38b-4ef5-9240-e7e1883d6d38,67,,"[40.9, 72.6]",3753986,1,,,,2.819842,,Right Foot,,"[37.6, 73.7]",,Ground Pass,,3.4785054,,,Incomplete,,James Philip Milner,3473.0,,,,,,1,Regular Play,Kevin Linford Stewart,11992.0,Left Defensive Midfield,5,Liverpool,24,"['0430d948-a815-4a07-a5fb-7958339aaebe', 'ac468861-bfdb-46b8-a961-0ca40f97f216']",2,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:02.110,Pass,
,,,,,,,,,,,,,,,,,,0.463975,,,,,,,,,,,,,ab7e05ab-ac7b-4fc3-b91a-cb2e7815c7f1,70,,"[77.0, 8.1]",3753986,1,,,,0.638635,ae8e73ec-0f8b-48f9-a610-577b0af7fdb0,Right Foot,,"[83.6, 13.0]",,Ground Pass,,8.220098,,,,,Bojan Krkíc Pérez,4913.0,True,,,,Recovery,1,Regular Play,Peter Crouch,4040.0,Center Forward,6,Stoke City,30,['9352f9b0-658d-4ba7-ade6-03ccf5fc5d5c'],3,,,,,,,,,,,,,,,,,,Stoke City,30,00:01:03.242,Pass,
,,,,,,,,,,,,,,,,,,2.586733,,,,,,,,,,,,,084d87e2-e0da-453e-a490-d789957c1e4f,75,,"[7.0, 44.1]",3753986,1,,,,0.47677746,,Right Foot,,"[64.5, 73.8]",,High Pass,,64.717384,,,Incomplete,,Oluwaseyi Babajide Ojo,13200.0,,,,,Goal Kick,1,From Goal Kick,Simon Mignolet,3539.0,Goalkeeper,7,Liverpool,24,"['61eb17df-99b6-4b2f-b94b-e470bfec5911', 'cd2d107c-f5c9-4eee-8f3b-f36af603ddd0']",39,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:39.916,Pass,
