ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.500052,,,,,,,,,,,,,69352e3a-ebec-4398-99da-c3317aaa8126,2588,,"[97.4, 75.2]",3754087,59,,,,,-0.9760371,,Left Foot,,,"[99.7, 71.8]",,Ground Pass,,4.104875,,Incomplete,,Heung-Min Son,3083.0,,,,,,,2,From Throw In,Kyle Walker,3205.0,Right Back,137,Tottenham Hotspur,38,"['542f52f1-2fab-4279-94c6-38cc14619b6c', 'c2dc736c-3eb9-4b22-ae03-8d6e3598d476']",42,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:42.967,Pass,
,,,,,,,,,,,,,,,,,1.823701,,,,,,,,,,,,,6bcfc324-31ba-4ba0-81ec-42784255eb54,2591,,"[96.3, 80.0]",3754087,59,,,,,-3.0093052,,,,,"[71.5, 76.7]",,Low Pass,,25.018593,,,,Eric Dier,10956.0,,,,,,Throw-in,2,From Throw In,Kyle Walker,3205.0,Right Back,138,Tottenham Hotspur,38,['1ed2eb61-6167-4cb7-a55f-795c5003b13c'],49,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:49.424,Pass,
,,,,,,,,,,,,,,,,,1.468771,,,,,,,,,,,,,5825ce38-f022-44aa-bf8e-352bec8dd561,2594,,"[71.5, 76.7]",3754087,59,,,,,-1.5251849,,Right Foot,,,"[72.6, 52.6]",,Ground Pass,,24.125092,,,,Mousa Sidi Yaya Dembélé,3037.0,,,,,,,2,From Throw In,Eric Dier,10956.0,Right Defensive Midfield,138,Tottenham Hotspur,38,['99665e11-a71e-4a19-8630-f0a88b0e8e2a'],52,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:52.118,Pass,
,,,,,,,,,,,,,,,,,2.829307,,,,,,,,,,,,,cc90fff3-9f8e-4684-bdcd-d431ab1960fd,2601,,"[85.6, 43.4]",3754087,59,,,,,-2.3791413,,Right Foot,,,"[54.4, 13.6]",,Ground Pass,,43.14487,,,,Kevin Wimmer,3611.0,,,,,,Recovery,2,From Throw In,Bamidele Alli,3094.0,Center Attacking Midfield,138,Tottenham Hotspur,38,"['3128cfab-66e3-4d1c-af91-90f715bf238b', 'e1036a92-1290-492f-886e-fc37e2332615']",58,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:58.836,Pass,True
,,,,,,,,,,,,,,,,,1.662334,,,,,,,,,,,,,c4a5bdb1-693e-4b19-a134-e645511d75ca,2603,,"[54.4, 13.6]",3754087,60,,,,,-0.40426952,,Left Foot,,,"[73.8, 5.3]",,Ground Pass,,21.100948,,,,Danny Rose,3594.0,,,,,,,2,From Throw In,Kevin Wimmer,3611.0,Left Center Back,138,Tottenham Hotspur,38,['0d9bf701-a75e-40e5-88bc-2dc93d969aa7'],1,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:15:01.665,Pass,
,,,,,,,,,,,,,,,,,0.196639,,,,,,,,,,,,,1ec2dbb3-9cfd-460b-8d6d-39d6b85d783b,2606,,"[73.8, 5.3]",3754087,60,,,,,0.77090645,,Left Foot,,,"[77.3, 8.7]",,Ground Pass,,4.879549,,Incomplete,,Bamidele Alli,3094.0,,,,,,,2,From Throw In,Danny Rose,3594.0,Left Back,138,Tottenham Hotspur,38,"['40c2442c-8ce7-4503-82c5-1af346f4aa2e', '5d070047-eecc-44d6-9d8f-441b8a0d3e86']",3,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:15:03.408,Pass,
,,,,,,,,,,,,,,,,,2.03315,,,,,,,,,,,,,430b2a42-3ab5-4550-b1d8-f8eda04c8768,2614,,"[54.8, 72.2]",3754087,60,,,,,-0.39207548,,Right Foot,,,"[99.3, 53.8]",,High Pass,,48.154022,,Incomplete,,,,,,,,,Free Kick,2,From Free Kick,Jordan Brian Henderson,3532.0,Right Center Midfield,139,Liverpool,24,['3d556068-9345-4222-8c7c-576b379dc650'],39,,,,,,,,,,,,,,,,Liverpool,24,00:15:39.765,Pass,
,,,,,,,,,,,,,,,,,1.554586,,,,,,,,,,,,,3d556068-9345-4222-8c7c-576b379dc650,2615,,"[20.8, 26.3]",3754087,60,,,,,-1.0242718,,Head,,,"[28.1, 14.3]",,Low Pass,,14.045996,,,,Danny Rose,3594.0,,,,,,Recovery,2,From Free Kick,Kevin Wimmer,3611.0,Left Center Back,139,Liverpool,24,"['161dd36e-2f88-4e3c-b4b2-83b47024d20b', '430b2a42-3ab5-4550-b1d8-f8eda04c8768']",41,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:15:41.798,Pass,
,,,,,,,,,,,,,,,,,4.088025,,,,,,,,,,,,,f070ed16-4133-47c4-a61c-3234dde1b4e8,2618,,"[30.6, 19.6]",3754087,60,,,,,-0.42077297,,Right Foot,,,"[70.6, 1.7]",,High Pass,,43.822483,,Out,,Harry Kane,10955.0,,,,,,,2,From Free Kick,Danny Rose,3594.0,Left Back,139,Liverpool,24,"['8999fef0-719f-4ae8-8dfb-636e0348c661', 'f772cde2-fdf2-47bc-a947-e7b63f5e8fce']",43,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:15:43.353,Pass,True
,,,,,,,,,,,,,,,,,0.880606,,,,,,,,,,,,,c4742c5c-e617-4f90-b4fb-dc27434e48ed,2620,,"[62.9, 80.0]",3754087,60,,,,,-1.4551852,,,,,"[64.7, 64.5]",,Low Pass,,15.604166,,,,Jordan Brian Henderson,3532.0,,,,,,Throw-in,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,140,Liverpool,24,['c6b84158-5a8e-46ac-9e18-cd8f98ca5dec'],56,,,,,,,,,,,,,,,,Liverpool,24,00:15:56.277,Pass,
,,,,,,,,,,,,,,,,,0.611401,,,,,,,,,,,,,539a46ea-e0e3-4948-89cc-f30ced264f68,2622,,"[64.7, 64.5]",3754087,60,,,,,1.6155425,,Left Foot,,,"[64.4, 71.2]",,Ground Pass,,6.706713,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,2,From Throw In,Jordan Brian Henderson,3532.0,Right Center Midfield,140,Liverpool,24,['8709c771-ac89-4c89-8d3c-ae95aeebe9ac'],57,,,,,,,,,,,,,,,,Liverpool,24,00:15:57.158,Pass,
,,,,,,,,,,,,,,,,,0.858634,,,,,,,,,,,,,792bc2d2-49de-40d1-8aae-a201675effbd,2626,,"[63.8, 71.2]",3754087,60,,,,,-1.2658039,,Right Foot,,,"[65.5, 65.8]",,Ground Pass,,5.661272,,,,Jordan Brian Henderson,3532.0,,,,,,,2,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,140,Liverpool,24,"['c52c6eb4-25a0-439d-8270-36ef89fdfe51', 'e0ec6af5-a834-4791-b7b5-704df83c75fc']",57,,,,,,,,,,,,,,,,Liverpool,24,00:15:57.973,Pass,True
,,,,,,,,,,,,,,,,,0.098758,,,,,,,,,,,,,018c5c90-f98d-47e8-8998-46ffb677b50b,2630,,"[65.5, 65.8]",3754087,60,,,,,1.5997738,,Right Foot,,,"[65.3, 72.7]",,Ground Pass,,6.902898,,Incomplete,,,,,,,,,,2,From Throw In,Jordan Brian Henderson,3532.0,Right Center Midfield,140,Liverpool,24,['879c8d34-4265-40a7-a318-a8b34ff13b5d'],59,,,,,,,,,,,,,,,,Liverpool,24,00:15:59.711,Pass,
,,,,,,,,,,,,,,,,,0.723418,,,,,,,,,,,,,9ef71cdc-98d5-490d-9489-62f8cd94e592,2636,,"[65.3, 10.4]",3754087,61,,,,,1.0278451,,Right Foot,,,"[72.3, 22.0]",,Ground Pass,,13.548431,,,,Heung-Min Son,3083.0,,,,,,,2,Regular Play,Bamidele Alli,3094.0,Center Attacking Midfield,141,Tottenham Hotspur,38,['057ba991-4bdf-45f6-a5d5-161836ed0ff4'],1,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:16:01.793,Pass,
,,,,,,,,,,,,,,,,,3.532719,,,,,,,,,,,,,105a7321-fc0a-4903-8b4c-ddb6d8a4f7a1,2640,,"[88.2, 32.3]",3754087,61,,,,,-0.6149374,,Right Foot,,,"[116.8, 12.1]",,Ground Pass,,35.014282,,,,Christian Dannemann Eriksen,3043.0,,,,,,,2,Regular Play,Heung-Min Son,3083.0,Right Wing,141,Tottenham Hotspur,38,"['2312de2e-6802-4d15-984a-1aa382e4c57d', '4f6e69e2-11c4-4bbb-a562-bd8857d47fab']",5,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:16:05.634,Pass,True
