50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.178501,,,,,,,,,,,,71b072f5-2e22-4976-862a-4cf571db638a,50,,"[17.5, 69.7]",3754143,2,True,,,0.13086249,,Left Foot,,,"[91.2, 79.4]",,High Pass,,74.335594,,,Out,,,,,,,,,Free Kick,1,From Free Kick,Rob Elliot,3096.0,Goalkeeper,7,Newcastle United,37,,6,,,,,,,,,,,,,,,,Newcastle United,37,00:02:06.940,Pass,
,,,,,,,,,,,,,,,,,2.233253,,,,,,,,,,,,60ea8ee6-e294-4d2f-b232-617304061580,51,,"[26.3, 0.1]",3754143,2,,,,1.7890671,,,,,"[20.4, 26.7]",,Low Pass,,27.246468,,,,,Martin Škrtel,18872.0,,,,,,Throw-in,1,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,8,Liverpool,24,['dfc45238-5b45-4c29-982b-ceb24f6872e8'],22,,,,,,,,,,,,,,,,Liverpool,24,00:02:22.738,Pass,
,,,,,,,,,,,,,,,,,3.245594,,,,,,,,,,,,dcff8c88-a9b7-40f6-89f1-83a0b4444f87,54,,"[20.7, 27.4]",3754143,2,,,,1.2490457,,Left Foot,,,"[32.3, 62.2]",,Ground Pass,,36.682423,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,8,Liverpool,24,"['64145419-d7dc-4505-a3c3-e44adf344119', 'ddba7543-1299-4578-974a-fcf20c7fcbd3']",24,,,,,,,,,,,,,,,,Liverpool,24,00:02:24.971,Pass,True
,,,,,,,,,,,,,,,,,1.811672,,,,,,,,,,,,f8501702-1bd7-4c15-9a0a-a9e5a6c32768,57,,"[31.4, 60.9]",3754143,2,,,,-0.21836379,,Right Foot,,,"[66.1, 53.2]",,Ground Pass,,35.544056,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,8,Liverpool,24,"['a3b69235-8f97-4c80-86c7-7444612fc65c', 'a6776b5e-c886-4448-96df-27c300a1bdc7']",28,,,,,,,,,,,,,,,,Liverpool,24,00:02:28.217,Pass,True
,,,,,,,,,,,,,,,,,1.133852,,,,,,,,,,,,d3700fb9-5f55-451d-8121-bbf67c04d052,60,,"[68.6, 61.9]",3754143,2,,,,1.9040406,,Right Foot,,,"[63.2, 77.5]",,Ground Pass,,16.50818,,,,,Jordon Ibe,3635.0,,,,,,,1,From Throw In,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,8,Liverpool,24,['13aa534e-4a3f-4144-8e6f-fcb6fe4ba1dd'],31,,,,,,,,,,,,,,,,Liverpool,24,00:02:31.143,Pass,
,,,,,,,,,,,,,,,,,0.85128,,,,,,,,,,,,82ea5115-2d4a-4836-ac49-6840e65736e4,63,,"[75.1, 76.7]",3754143,2,,,,3.0111895,,Right Foot,,,"[69.0, 77.5]",,Ground Pass,,6.1522355,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,1,From Throw In,Jordon Ibe,3635.0,Right Wing,8,Liverpool,24,['5f437fdf-fc5d-4ec6-b925-45213df40d94'],37,,,,,,,,,,,,,,,,Liverpool,24,00:02:37.984,Pass,
,,,,,,,,,,,,,,,,,0.322528,,,,,,,,,,,,3c7d1228-117d-464f-b2fc-546985ffbbc6,66,,"[69.0, 69.7]",3754143,2,,,,-1.7590178,,Right Foot,,,"[67.8, 63.4]",,Ground Pass,,6.4132676,,,Incomplete,,Joe Allen,10931.0,,,,,,,1,From Throw In,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,8,Liverpool,24,"['04910e80-f6b7-4760-b226-4c99b13aba09', '36771c35-a369-4e2f-89d2-8cb539a50e8f']",39,,,,,,,,,,,,,,,,Liverpool,24,00:02:39.725,Pass,
,,,,,,,,,,,,,,,,,1.098249,,,,,,,,,,,,5e54fbee-faba-4a22-a42e-b20e919378d3,72,,"[53.7, 13.6]",3754143,2,,,,1.9130919,,Left Foot,,,"[50.6, 22.3]",,Ground Pass,,9.2358,,,,,Siem Stefan de Jong,8061.0,,,,,,,1,From Throw In,Georginio Wijnaldum,3567.0,Left Midfield,8,Liverpool,24,['e3e4a5e8-49c3-438d-8edd-b05e15fbd173'],43,,,,,,,,,,,,,,,,Newcastle United,37,00:02:43.737,Pass,
,,,,,,,,,,,,,,,,,1.412621,,,,,,,,,,,,0821e44c-4d70-4ece-9773-c604fd93e7b7,75,,"[50.8, 22.8]",3754143,2,,,,0.22810262,,Right Foot,,,"[67.6, 26.7]",,Ground Pass,,17.246738,,,Incomplete,,Papiss Demba Cissé,30289.0,,,,,,,1,From Throw In,Siem Stefan de Jong,8061.0,Center Attacking Midfield,8,Liverpool,24,"['4de6cbbc-2453-4d7a-82b7-6d787431548c', 'f8c622e7-5614-4f4b-915f-552b99b16e19']",45,,,,,,,,,,,,,,,,Newcastle United,37,00:02:45.081,Pass,
,,,,,,,,,,,,,,,,,0.552235,,,,,,,,,,,,25fe0951-11b1-46f1-8c9a-6d1341bb6481,79,,"[52.0, 53.6]",3754143,2,,,,0.75908846,,Right Foot,,,"[55.9, 57.3]",,Ground Pass,,5.375872,,,,,Lucas Pezzini Leiva,7780.0,,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,8,Liverpool,24,['fb5d7d0e-5fbb-4ce3-a2f3-e896a4dc20a1'],47,,,,,,,,,,,,,,,,Liverpool,24,00:02:47.435,Pass,
,,,,,,,,,,,,,,,,,0.945358,,,,,,,,,,,,af3d9bd6-9d95-4763-a75d-0b0107ec02ba,82,,"[56.4, 57.3]",3754143,2,,,,1.9701388,,Right Foot,,,"[51.8, 68.2]",,Ground Pass,,11.830892,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Throw In,Lucas Pezzini Leiva,7780.0,Right Defensive Midfield,8,Liverpool,24,['60daaef9-563e-4476-8c67-faa7bfbf8288'],48,,,,,,,,,,,,,,,,Liverpool,24,00:02:48.501,Pass,
,,,,,,,,,,,,,,,,,1.515409,,,,,,,,,,,,00c50f0a-6f63-45c2-a199-2763d2b56f03,85,,"[52.8, 71.4]",3754143,2,,,,-2.2310245,,Right Foot,,,"[39.6, 54.4]",,Ground Pass,,21.52301,,,,,Martin Škrtel,18872.0,,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Right Back,8,Liverpool,24,['94e107d6-8e1b-4d94-a645-b0f362dcb5b9'],51,,,,,,,,,,,,,,,,Liverpool,24,00:02:51.146,Pass,
,,,,,,,,,,,,,,,,,1.919931,,,,,,,,,,,,57b9af9e-bd14-4e0b-bc4e-bf2aa654eae5,88,,"[40.1, 54.6]",3754143,2,,,,-1.6437436,,Right Foot,,,"[38.2, 28.6]",,Ground Pass,,26.06933,,,,,Dejan Lovren,3471.0,,,,,,,1,From Throw In,Martin Škrtel,18872.0,Right Center Back,8,Liverpool,24,['1859ad2e-40be-4800-b32e-4d5ff7318671'],53,,,,,,,,,,,,,,,,Liverpool,24,00:02:53.649,Pass,
