50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.309613,,,,,,,,,,,,8237c0d3-7ca4-414f-a0eb-4176380e23d0,51,,,"[77.6, 75.1]",3754154,2,,,,,-1.1317916,,Head,,,"[83.0, 63.6]",,High Pass,,12.704723,,,,,James Philip Milner,3473.0,,,,,,1,From Throw In,Connor Steven Randall,22058.0,Right Back,6,Liverpool,24,"['6fb8243e-64fe-47c7-8275-0a4a8495e675', '82d71a5d-ae2e-418e-b1c9-e5b38b874bd6']",9,,,,,,,,,,,,,,,,,,Liverpool,24,00:02:09.968,Pass,True
,,,,,,,,,,,,,,,,,1.17949,,,,,,,,,,,,171b6b75-f018-45bb-9a03-5ff6482b509b,57,,,"[42.9, 18.3]",3754154,2,,,,,0.5349551,,Left Foot,,,"[48.3, 21.5]",,Ground Pass,,6.276942,,,,,Moussa Sissoko,3091.0,,,,,Recovery,1,Regular Play,Jack Colback,9649.0,Left Center Midfield,7,Newcastle United,37,['8e44c784-5a29-4301-a0a2-ed73c5187808'],12,,,,,,,,,,,,,,,,,,Newcastle United,37,00:02:12.507,Pass,
,,,,,,,,,,,,,,,,,1.111853,,,,,,,,,,,,7c4cbc5f-63b0-4080-b287-385dc7534c3c,62,,,"[60.0, 6.2]",3754154,2,,,,,3.070285,,Right Foot,,,"[44.6, 7.3]",,Ground Pass,,15.439236,,,,,Paul Dummett,3065.0,,,,,,1,Regular Play,Moussa Sissoko,3091.0,Center Attacking Midfield,7,Newcastle United,37,"['23c465cc-f1e4-4693-b3ce-791657d931bd', 'ca46225b-d488-4a4a-b534-ea986610cd9d']",17,,,,,,,,,,,,,,,,,,Newcastle United,37,00:02:17.705,Pass,True
,,,,,,,,,,,,,,,,,1.287763,,,,,,,,,,,,fedd5819-44bb-4715-b472-05dc84640d3b,64,,,"[44.8, 7.1]",3754154,2,,,,,0.09380058,,Left Foot,,,"[73.5, 9.8]",,Low Pass,,28.826723,,,Incomplete,,Ayoze Pérez Gutiérrez,3076.0,,,,,,1,Regular Play,Paul Dummett,3065.0,Left Back,7,Newcastle United,37,"['a0c5afc5-92b8-4ea1-9d0a-69eb445b0223', 'c8eb7cb8-0e48-4997-a325-406529116710']",18,,,,,,,,,,,,,,,,,,Newcastle United,37,00:02:18.817,Pass,
,,,,,,,,,,,,,,,,,1.030624,,,,,,,,,,,,a0c5afc5-92b8-4ea1-9d0a-69eb445b0223,66,,,"[46.6, 70.3]",3754154,2,,,,,-0.04542328,,Head,,,"[55.4, 69.9]",,High Pass,,8.809086,,,,,Kevin Linford Stewart,11992.0,,,,,Recovery,1,Regular Play,Connor Steven Randall,22058.0,Right Back,7,Newcastle United,37,"['1e19dbd4-91dd-4e2a-a7b7-c8ddd830c5de', 'fedd5819-44bb-4715-b472-05dc84640d3b']",20,,,,,,,,,,,,,,,,,,Liverpool,24,00:02:20.105,Pass,
,,,,,,,,,,,,,,,,,2.900192,,,,,,,,,,,,b954b497-f1e0-4dd2-bd96-592dd8d9037b,77,,,"[61.8, 21.7]",3754154,2,,,,,1.5800339,,Right Foot,,,"[61.4, 65.0]",,Low Pass,,43.30185,,,,,Andros Townsend,3297.0,,,True,,,1,Regular Play,Ayoze Pérez Gutiérrez,3076.0,Left Wing,7,Newcastle United,37,"['8fa9fd8b-3cda-4676-b287-813fe1262d8e', 'ef7e0cc9-b06b-42f5-9716-69b9629ded09']",24,,,,,,,,,,,,,,,,,,Newcastle United,37,00:02:24.993,Pass,True
,,,,,,,,,,,,,,,,,0.980506,,,,,,,,,,,,6d1c89a9-cb9d-4526-b95d-34491384e8ba,80,,,"[86.8, 64.8]",3754154,2,,,,,-2.257418,,Left Foot,,,"[81.8, 58.7]",,Ground Pass,,7.8873315,,,,,Jack Colback,9649.0,,,,,,1,Regular Play,Andros Townsend,3297.0,Right Wing,7,Newcastle United,37,['411c101f-7d7e-4362-8beb-cf3631aee8dc'],31,,,,,,,,,,,,,,,,,,Newcastle United,37,00:02:31.361,Pass,
,,,,,,,,,,,,,,,,,1.189832,,,,,,,,,,,,220a71f9-cd4a-49aa-9d8f-e1f25d009bc9,83,,,"[81.8, 58.7]",3754154,2,,,,,0.933653,,Left Foot,,,"[94.9, 76.4]",,Ground Pass,,22.020445,,,,,Vurnon Anita,16072.0,,,,,,1,Regular Play,Jack Colback,9649.0,Left Center Midfield,7,Newcastle United,37,['d7e435c2-e72e-4b09-9f13-32c304952c82'],32,,,,,,,,,,,,,,,,,,Newcastle United,37,00:02:32.382,Pass,
,,,,,,,,,,,,,,,,,2.445938,,,,,,,,,,,,875ee96c-a012-46f9-8ce2-c46938898ee4,90,,,"[3.5, 5.8]",3754154,2,,,,,-0.5546816,,Left Foot,,,"[12.7, 0.1]",,Low Pass,,10.822661,,,Out,,,,,,,,,1,Regular Play,Alberto Moreno Pérez,3515.0,Left Back,7,Newcastle United,37,,37,,,,,,,,,,,,,,,,,,Liverpool,24,00:02:37.627,Pass,
,,,,,,,,,,,,,,,,,0.756574,,,,,,,,,,,,4bd778a0-4640-45f7-9875-8a41e5f06488,91,,,"[108.7, 80.0]",3754154,2,,,,,-0.5220916,,,,,"[116.0, 75.8]",,Low Pass,,8.421995,,,,,Andros Townsend,3297.0,,,,,Throw-in,1,From Throw In,Vurnon Anita,16072.0,Right Back,8,Newcastle United,37,['22ad0f96-4ae6-460d-bc08-93eb9b284ebf'],57,,,,,,,,,,,,,,,,,,Newcastle United,37,00:02:57.539,Pass,
,,,,,,,,,,,,,,,,,0.775188,,,,,,,,,,,,6b7b41f4-4b13-4caf-92cc-979c4e79cff9,101,,,"[88.7, 45.6]",3754154,3,,,,,-1.2197654,,Left Foot,,,"[93.9, 31.4]",,Ground Pass,,15.1221695,,,,,Ayoze Pérez Gutiérrez,3076.0,,,,,,1,From Throw In,Paul Dummett,3065.0,Left Back,8,Newcastle United,37,['059e9ffa-a2ed-431b-a2b2-843d5e78ea26'],4,,,,,,,,,,,,,,,,,,Newcastle United,37,00:03:04.661,Pass,
,,,,,,,,,,,,,,,,,0.926061,,,,,,,,,,,,36bd8f54-2630-40d5-bab9-e5331a6ec271,107,,,"[120.0, 0.1]",3754154,3,,,,,2.5851886,,Right Foot,,,"[111.8, 5.2]",,Ground Pass,,9.656604,,,,,Ayoze Pérez Gutiérrez,3076.0,,,,,Corner,1,From Corner,Andros Townsend,3297.0,Right Wing,9,Newcastle United,37,['8d263ac5-8115-4416-bcaa-dd54f610b1d8'],28,,,,,,,,,,,,,,,,,,Newcastle United,37,00:03:28.426,Pass,
,,,,,,,,,,,,,,,,,1.933398,,,,,,,,,,,,bafa0fd9-b6fb-444c-bd8f-fa8ee3f8faa6,110,,,"[113.7, 4.2]",3754154,3,,,,,2.6114821,,Right Foot,,,"[89.3, 18.5]",,Ground Pass,,28.28162,,,,,Paul Dummett,3065.0,,,,,,1,From Corner,Ayoze Pérez Gutiérrez,3076.0,Left Wing,9,Newcastle United,37,['ef3ab245-45a9-4bbf-a96d-fb7b6100c8e9'],30,,,,,,,,,,,,,,,,,,Newcastle United,37,00:03:30.262,Pass,
,,,,,,,,,,,,,,,,,1.554995,,,,,,,,,,,,fb9ddcd0-20aa-4751-b289-d1d57733ed88,114,,,"[89.1, 19.0]",3754154,3,,,,,0.97953904,,Left Foot,,,"[108.1, 47.3]",,High Pass,,34.086506,,,Incomplete,,Cheik Ismaël Tioté,42900.0,,,,,,1,From Corner,Paul Dummett,3065.0,Left Back,9,Newcastle United,37,"['3a345109-c8a0-4e97-af05-33fa54d0355e', '830ff1a3-9010-4c33-8232-09c5e5d61dc9', 'c31c8244-cc66-4a3b-81a7-a878a859fbea']",32,,,,,,,,,,,,,,,,,,Newcastle United,37,00:03:32.854,Pass,True
,,,,,,,,,,,,,,,,,1.295831,,,,,,,,,,,,098675c3-d61d-41d7-bee7-9c44ae3c8cd9,119,,,"[98.5, 54.6]",3754154,3,,,,True,-1.3917811,,,,,"[100.4, 44.1]",,Low Pass,,10.67052,,,Incomplete,,Moussa Sissoko,3091.0,,,,,Recovery,1,From Corner,Jack Colback,9649.0,Left Center Midfield,9,Newcastle United,37,"['2fb3a526-7424-4e08-9e0a-cc271d6a99ec', 'e3f7da24-36a1-4cc7-b755-1cb3debd74db', 'ee05f56a-f039-4768-90f6-54f0477244fb']",36,,,,,,,,,,,,,,,,,,Newcastle United,37,00:03:36.569,Pass,True
,,,,,,,,,,,,,,,,,2.95757,,,,,,,,,,,,e3f7da24-36a1-4cc7-b755-1cb3debd74db,121,,,"[19.7, 36.0]",3754154,3,,,,,-0.6920374,,Left Foot,,,"[48.9, 11.8]",,High Pass,,37.924664,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,Recovery,1,Regular Play,James Philip Milner,3473.0,Right Center Midfield,10,Liverpool,24,"['098675c3-d61d-41d7-bee7-9c44ae3c8cd9', 'fcfc7cc2-cd64-4dde-8300-8fc5cd1460a4']",37,,,,,,,,,,,,,,,,,,Liverpool,24,00:03:37.865,Pass,
,,,,,,,,,,,,,,,,,1.983946,,,,,,,,,,,,29712c96-dafc-48f3-b927-7fad5a6fded3,127,,,"[61.8, 0.1]",3754154,3,,True,,,2.8816898,,,,,"[35.1, 7.2]",,Low Pass,,27.627884,,,,,Kolo Habib Touré,38412.0,,,,,Throw-in,1,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,11,Liverpool,24,['06347038-bc70-4314-bf7e-b8181ab77a6e'],57,,,,,,,,,,,,,,,,,,Liverpool,24,00:03:57.977,Pass,
,,,,,,,,,,,,,,,,,2.382689,,,,,,,,,,,,0b122437-8618-4e1e-8aac-015b6b3152e9,129,,,"[35.1, 7.2]",3754154,4,,,,,1.5707964,,Right Foot,,,"[35.1, 45.5]",,Ground Pass,,38.3,,,,,Dejan Lovren,3471.0,,,,,,1,From Throw In,Kolo Habib Touré,38412.0,Left Center Back,11,Liverpool,24,['1a837250-8127-4014-8332-4895bc2e6804'],1,,,,,,,,,,,,,,,,,,Liverpool,24,00:04:01.272,Pass,
,,,,,,,,,,,,,,,,,1.955804,,,,,,,,,,,,87a8db50-822c-4afe-8252-de730cf94840,132,,,"[39.3, 52.8]",3754154,4,,,,,-1.459168,,Right Foot,,,"[43.1, 18.9]",,Ground Pass,,34.112316,,,,,Kolo Habib Touré,38412.0,,,,,,1,From Throw In,Dejan Lovren,3471.0,Right Center Back,11,Liverpool,24,['e3a0738b-0e0e-49c6-8396-0bab0311f2d2'],5,,,,,,,,,,,,,,,,,,Liverpool,24,00:04:05.574,Pass,
,,,,,,,,,,,,,,,,,4.085744,,,,,,,,,,,,7d697d9c-c928-439a-a1e2-cf96c4aefdd6,136,,,"[50.8, 8.0]",3754154,4,,,,,-0.0034661905,,Left Foot,,,"[108.5, 7.8]",,Low Pass,,57.700348,,,,,Daniel Andre Sturridge,3529.0,,,,,,1,From Throw In,Kolo Habib Touré,38412.0,Left Center Back,11,Liverpool,24,"['03ffbbb5-f812-4816-bbe2-013f42ac3710', '4bfe07bb-d09d-4a54-bf2e-1dce506d67c4']",10,,,,,,,,,,,,,,,,,,Liverpool,24,00:04:10.233,Pass,True
