50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.830569,,,,,,,,,,,,,a5d71d25-f8a4-4b15-bf13-f4f1f050e70e,3250,,,"[120.0, 80.0]",18245,85,,,,-2.5592396,,Right Foot,,,"[115.9, 77.3]",,Ground Pass,,4.909175,,,,Luka Modrić,5463.0,,,,,,Corner,2,From Corner,Toni Kroos,5574.0,Left Center Midfield,152,Real Madrid,220,['bf613649-d688-450f-a5cd-b300200985ef'],38,,,,,,,,,,,,,,,,,,Real Madrid,220,00:40:38.579,Pass,
,,,,,,,,,,,,,,,,1.123635,,,,,,,,,,,,,6a847172-c9f4-4f52-9e78-bcd26169a4a2,3253,,,"[116.4, 77.0]",18245,85,,,,2.976444,,Right Foot,,,"[108.0, 78.4]",,Low Pass,,8.515867,,,,Toni Kroos,5574.0,,,,,,,2,From Corner,Luka Modrić,5463.0,Right Center Midfield,152,Real Madrid,220,"['5e0d9f61-7bd5-4a9a-b112-ed4cc0792d66', 'd812123b-b5fb-4122-b7a7-3a099b8adc6e']",40,,,,,,,,,,,,,,,,,,Real Madrid,220,00:40:40.409,Pass,True
,,,,,,,,,,,,,,,,1.181947,,,,,,,,,,,,,24cf5549-537f-47f5-8e49-58faa32314c8,3256,,,"[96.8, 73.1]",18245,85,,,,3.076265,,Right Foot,,,"[75.4, 74.5]",,Ground Pass,,21.445745,,,,José Ignacio Fernández Iglesias,5202.0,,,,,,,2,From Corner,Toni Kroos,5574.0,Left Center Midfield,152,Real Madrid,220,['daf29c5c-af1e-4455-80df-73b5a6c0ad7f'],43,,,,,,,,,,,,,,,,,,Real Madrid,220,00:40:43.620,Pass,
,,,,,,,,,,,,,,,,2.747243,,,,,,,,,,,,,87e51e71-14c6-4c2a-bca8-9a7a9477372d,3259,,,"[73.4, 73.8]",18245,85,,,,-2.1228206,,Right Foot,,,"[54.8, 43.6]",,Ground Pass,,35.468296,,,,Carlos Henrique Casimiro,5539.0,,,,,,,2,From Corner,José Ignacio Fernández Iglesias,5202.0,Right Back,152,Real Madrid,220,['1daa22a2-f7bd-43e1-a3b5-18857fef540f'],45,,,,,,,,,,,,,,,,,,Real Madrid,220,00:40:45.533,Pass,
,,,,,,,,,,,,,,,,4.6698,,,,,,,,,,,,,a62c672a-d59e-4ddb-9d2e-d395cd1fe0cb,3262,,,"[54.8, 43.6]",18245,85,,,,0.38951993,,Right Foot,,,"[119.6, 70.2]",,High Pass,,70.04713,,Out,,,,,,,,,,2,From Corner,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,152,Real Madrid,220,,48,,,,,,,,,,,,,,,,,,Real Madrid,220,00:40:48.320,Pass,
,,,,,,,,,,,,,,,,3.692919,,,,,,,,,,,,,173e215b-e358-4c38-9e9d-17c0ce63bdea,3263,,,"[7.0, 36.1]",18245,85,True,,,-0.29579747,,Left Foot,,,"[85.1, 12.3]",,High Pass,,81.64588,,Incomplete,,,,,,,,,Goal Kick,2,From Goal Kick,Loris Karius,3630.0,Goalkeeper,153,Liverpool,24,['49fa20f2-8815-42f9-aa49-be9c60a95267'],59,,,,,,,,,,,,,,,,,,Liverpool,24,00:40:59.754,Pass,
,,,,,,,,,,,,,,,,2.184897,,,,,,,,,,,,,49fa20f2-8815-42f9-aa49-be9c60a95267,3264,,,"[35.0, 67.8]",18245,86,,,,0.80552965,,Other,,,"[42.3, 75.4]",,Low Pass,,10.538027,,,,José Ignacio Fernández Iglesias,5202.0,,,,,,Recovery,2,From Goal Kick,Raphaël Varane,5485.0,Right Center Back,153,Liverpool,24,"['173e215b-e358-4c38-9e9d-17c0ce63bdea', 'd7eca51d-32ef-407b-8bbc-f91abcf312bc']",3,,,,,,,,,,,,,,,,,,Real Madrid,220,00:41:03.447,Pass,
,,,,,,,,,,,,,,,,1.79399,,,,,,,,,,,,,b8d6175a-f8b4-47d9-890d-8f4e79bd5ebb,3267,,,"[42.6, 75.4]",18245,86,,,,-0.19247556,,Right Foot,,,"[73.9, 69.3]",,High Pass,,31.88887,,Incomplete,,,,,,,,,,2,From Goal Kick,José Ignacio Fernández Iglesias,5202.0,Right Back,153,Liverpool,24,['6839e9b3-10e5-416e-999a-66e8256edd95'],5,,,,,,,,,,,,,,,,,,Real Madrid,220,00:41:05.672,Pass,
,,,,,,,,,,,,,,,,2.276967,,,,,,,,,,,,,6839e9b3-10e5-416e-999a-66e8256edd95,3268,,,"[46.2, 10.8]",18245,86,,,,0.1689175,,Head,,,"[72.0, 15.2]",,High Pass,,26.172504,,Incomplete,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Recovery,2,From Goal Kick,Virgil van Dijk,3669.0,Left Center Back,153,Liverpool,24,"['1a402bd0-9d39-4a68-ab50-bb568abb7570', 'b6e3447b-954b-436f-a86b-ec09c977af2a', 'b8d6175a-f8b4-47d9-890d-8f4e79bd5ebb']",7,,,,,,,,,,,,,,,,,,Liverpool,24,00:41:07.466,Pass,
,,,,,,,,,,,,,,,,1.679288,,,,,,,,,,,,,b6e3447b-954b-436f-a86b-ec09c977af2a,3270,,,"[48.1, 64.9]",18245,86,,,True,-0.8681357,,,,,"[57.5, 53.8]",,High Pass,,14.545446,,Incomplete,,,,,,,,,Recovery,2,From Goal Kick,José Ignacio Fernández Iglesias,5202.0,Right Back,153,Liverpool,24,"['6839e9b3-10e5-416e-999a-66e8256edd95', '8e7363f0-b7c0-4ada-9a30-bf9298a3803e', '92f4e139-506a-4221-ab3e-eb6a75c854b3']",9,,,,,,,,,,,,,,,,,,Real Madrid,220,00:41:09.743,Pass,True
,,,,,,,,,,,,,,,,0.872644,,,,,,,,,,,,,287421d3-ce0a-4568-a28a-953acbc825f9,3278,,,"[63.2, 25.7]",18245,86,,,,0.26681608,,Right Foot,,,"[78.2, 29.8]",,Ground Pass,,15.550241,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,2,From Goal Kick,Jordan Brian Henderson,3532.0,Center Defensive Midfield,153,Liverpool,24,['226d941b-78df-4681-804f-9bf17c5f15db'],13,,,,,,,,,,,,,,,,,,Liverpool,24,00:41:13.419,Pass,
,,,,,,,,,,,,,,,,4.386567,,,,,,,,,,,,,c1e30833-11a8-407b-9e5b-e0729cc4b7f9,3286,,,"[50.4, 48.2]",18245,86,,,,-0.9103477,,Right Foot,,,"[86.6, 1.6]",,High Pass,,59.008472,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,True,,,,2,From Goal Kick,Luka Modrić,5463.0,Right Center Midfield,153,Liverpool,24,['071f8324-efce-4881-8606-934c96a6dafc'],15,,,,,,,,,,,,,,,,,,Real Madrid,220,00:41:15.930,Pass,
,,,,,,,,,,,,,,,,1.125926,,,,,,,,,,,,,94a5682d-2dda-45a0-88f5-b5c8de232d47,3293,,,"[20.6, 67.4]",18245,86,,,,0.0,,Right Foot,,,"[36.2, 67.4]",,Ground Pass,,15.6,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,2,From Goal Kick,Trent Alexander-Arnold,3664.0,Right Back,153,Liverpool,24,['b48e65ca-28c7-4b2e-938d-33ba14bbb038'],31,,,,,,,,,,,,,,,,,,Liverpool,24,00:41:31.989,Pass,
