bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.848875,,,,,,,,,,,,e459bff4-aa44-4676-92cd-878d0915e0ec,1900,,"[110.9, 26.6]",3754060,55,,,,,1.0636978,,Left Foot,,,"[117.9, 39.2]",,Low Pass,,14.413882,,Out,,Daniel Andre Sturridge,3529.0,,,,,,,2,From Counter,Alberto Moreno Pérez,3515.0,Left Wing Back,122,Liverpool,24,['111a93fa-d61f-4b50-8843-c3e7f2958c6a'],21,,,,,,,,,,,,,,,,,Liverpool,24,00:10:21.752,Pass,
,,,,,,,,,,,,,,,,,,3.926063,,,,,,,,,,,,5e507c59-9432-494f-9e6b-93818c249ee3,1902,,"[6.0, 44.0]",3754060,55,,,,,-0.17119835,,Right Foot,,,"[78.3, 31.5]",,High Pass,,73.37261,,Incomplete,,Ross Barkley,4275.0,,,,,,Goal Kick,2,From Goal Kick,Tim Howard,13042.0,Goalkeeper,123,Everton,29,"['2af26519-0ac8-4a01-ae3a-b7e5ac8032e8', '3d87a57c-1b68-40e8-bb40-fc73959c050c']",47,,,,,,,,,,,,,,,,,Everton,29,00:10:47.422,Pass,
,,,,,,,,,,,,,,,,,,1.184044,,,,,,,,,,,,3d87a57c-1b68-40e8-bb40-fc73959c050c,1904,,"[41.8, 48.6]",3754060,55,,,,True,0.09450438,,,,,"[62.9, 50.6]",,High Pass,,21.194574,,Incomplete,,,,,,,,,Recovery,2,From Goal Kick,Martin Škrtel,18872.0,Center Back,123,Everton,29,"['45de1f11-08b5-4b18-a44c-1e1e6d2e88ef', '5e507c59-9432-494f-9e6b-93818c249ee3', 'c512ef82-cc83-4840-93ac-f43c4ddfc28f']",51,,,,,,,,,,,,,,,,,Liverpool,24,00:10:51.349,Pass,True
,,,,,,,,,,,,,,,,,,1.79069,,,,,,,,,,,,0607cdc2-8988-416f-a53f-c2f8b03d9aaf,1909,,"[56.6, 26.8]",3754060,55,,,,,-0.11841447,,Left Foot,,,"[87.7, 23.1]",,High Pass,,31.319323,,Incomplete,,,,,,,,,,2,From Goal Kick,Gareth Barry,3633.0,Left Center Midfield,123,Everton,29,"['ce5e3f51-847a-4389-9786-8f1b80466b3d', 'f2141e9c-d07d-44c5-9792-e8c65d9e735f']",53,,,,,,,,,,,,,,,,,Everton,29,00:10:53.288,Pass,True
,,,,,,,,,,,,,,,,,,1.283195,,,,,,,,,,,,ce5e3f51-847a-4389-9786-8f1b80466b3d,1910,,"[32.4, 57.0]",3754060,55,,,,,1.2810498,,Right Foot,,,"[37.2, 73.1]",,High Pass,,16.800297,,,,Nathaniel Edwin Clyne,4590.0,,,,,,Recovery,2,From Goal Kick,Emre Can,3493.0,Right Center Back,123,Everton,29,"['0607cdc2-8988-416f-a53f-c2f8b03d9aaf', '8423d831-58d4-4d53-9063-c43fc7d37fd8']",55,,,,,,,,,,,,,,,,,Liverpool,24,00:10:55.079,Pass,
,,,,,,,,,,,,,,,,,,2.948847,,,,,,,,,,,,b502cb0f-8eb5-49b8-9f4e-aa121c7c1872,1913,,"[44.5, 74.4]",3754060,55,,,,,-0.45595545,,Right Foot,,,"[96.7, 48.8]",,High Pass,,58.13949,,Incomplete,,Daniel William John Ings,3654.0,,,,Through Ball,True,,2,From Goal Kick,Nathaniel Edwin Clyne,4590.0,Right Wing Back,123,Everton,29,"['153ee3b6-2534-4487-aac5-bed1eec52e47', '1bc5aacf-f85a-4f3c-9092-a5ff121c224e']",59,,,,,,,,,,,,,,,,,Liverpool,24,00:10:59.603,Pass,
,,,,,,,,,,,,,,,,,,1.598685,,,,,,,,,,,,5e41b713-d0cc-416a-8073-9082d635a2bc,1916,,"[24.4, 19.0]",3754060,56,,,,,-1.2128143,,Head,,,"[29.6, 5.1]",,Low Pass,,14.840822,,,,Brendan Joel Zibusiso Galloway,30702.0,,,,,,Recovery,2,From Goal Kick,José Ramiro Funes Mori,4629.0,Left Center Back,123,Everton,29,['3a021425-5c5e-4589-869b-58b15d3f33d9'],4,,,,,,,,,,,,,,,,,Everton,29,00:11:04.851,Pass,
,,,,,,,,,,,,,,,,,,0.98028,,,,,,,,,,,,0ee618eb-7fcf-4ed7-a2f7-ba03d864f862,1919,,"[29.6, 5.0]",3754060,56,,,,,0.049710255,,Left Foot,,,"[49.7, 6.0]",,Ground Pass,,20.12486,,,,Steven Naismith,9528.0,,,,,,,2,From Goal Kick,Brendan Joel Zibusiso Galloway,30702.0,Left Back,123,Everton,29,['c36ef7de-4038-44cf-bc28-e924b1079483'],6,,,,,,,,,,,,,,,,,Everton,29,00:11:06.529,Pass,
,,,,,,,,,,,,,,,,,,0.163519,,,,,,,,,,,,ca0f4403-fe8d-477e-856e-eee8ff87acf3,1924,,"[72.8, 7.1]",3754060,56,,,,,0.83414,,Left Foot,,,"[76.7, 11.4]",,Ground Pass,,5.80517,,Unknown,,,,,,,,,,2,From Goal Kick,Steven Naismith,9528.0,Left Wing,123,Everton,29,"['988541d4-f98b-4500-924c-ae499244de7e', 'e465f303-1b2e-4638-8f65-15dffba9e5a6']",10,,,,,,,,,,,,,,,,,Everton,29,00:11:10.122,Pass,True
,,,,,,,,,,,,,,,,,,1.22318,,,,,,,,,,,,0b870385-28f8-4627-89bd-edf1668671df,1927,,"[69.8, 7.1]",3754060,56,,,,,1.092444,,Right Foot,,,"[74.0, 15.2]",,Ground Pass,,9.124144,,,,James McCarthy,3607.0,,,,,,Free Kick,2,From Free Kick,Ross Barkley,4275.0,Center Attacking Midfield,124,Everton,29,['f2f7027a-b46b-478e-aa6b-1bdab72070cc'],53,,,,,,,,,,,,,,,,,Everton,29,00:11:53.174,Pass,
