50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[93.4, 13.5]",,,,,,,,,,,,1.697141,,,,,,,,,,,dc642596-ebdf-4cd0-b89b-8a49690533c8,324,,"[92.8, 16.8]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Emre Can,3493.0,Left Center Midfield,10,Liverpool,24,"['2297796c-9cb8-49ad-bcdd-f2bbac450bba', '8f31cbc7-190c-4787-b450-e74ab65d4c48', 'ed5d9d19-1257-4e88-9b0e-d379c0369c9d']",41,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:41.383,Carry,True
,,,,,,"[112.0, 2.7]",,,,,,,,,,,,4.267211,,,,,,,,,,,5c123459-5f3f-493f-886d-1ecdff6c3e2f,328,,"[95.0, 6.0]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Left Wing,10,Liverpool,24,"['1a4fafdf-965d-4bd7-968a-df4e1006d33e', '30b2b6cc-1270-4a9f-b7d9-927d143708e5', 'bf220464-f370-4337-854a-8a8e09b1105d']",44,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:44.446,Carry,True
,,,,,,"[111.0, 2.7]",,,,,,,,,,,,0.937056,,,,,,,,,,,caafb031-6b57-4c0d-b825-f344e8098c6a,332,,"[112.0, 2.7]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Left Wing,10,Liverpool,24,"['30b2b6cc-1270-4a9f-b7d9-927d143708e5', 'd994e828-28c2-4796-a244-2436cc0dfc1a', 'eda80e6c-dc0c-42c7-800b-cf4849aa2a60']",48,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:48.713,Carry,True
,,,,,,"[98.3, 8.0]",,,,,,,,,,,,0.308486,,,,,,,,,,,78d76c35-aaec-4b17-9849-716c7dee951a,335,,"[99.3, 5.8]",3754208,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,10,Liverpool,24,"['3a778ff1-7c4e-4e30-8f0b-ca7f0eb0b2e5', '54663626-464c-45ad-999b-f154f4c668d8']",51,,,,,,,,,,,,,,,,,,Liverpool,24,00:05:51.037,Carry,
,,,,,,"[49.3, 67.6]",,,,,,,,,,,,1.365597,,,,,,,,,,,376faeee-c91b-47ff-ab3e-a3d3845e0aec,349,,"[49.5, 75.2]",3754208,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,11,Manchester City,36,"['ae82fce4-e3e0-47d7-8021-aae9c59ffb6a', 'd4c58efd-806e-449d-9367-a5edeb02fd78']",30,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:30.253,Carry,
,,,,,,"[56.5, 76.4]",,,,,,,,,,,,0.847776,,,,,,,,,,,dad2c5d4-1e7a-476c-ba24-485a91767398,352,,"[49.8, 68.0]",3754208,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,James Philip Milner,3473.0,Right Center Midfield,11,Manchester City,36,"['41420b48-d292-4a6a-9140-46a66629137a', '4c24b41c-4143-43b0-9da4-67564e6b7066', 'a18fdd29-fc98-48d8-90e1-0fe55f76d064']",32,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:32.355,Carry,True
,,,,,,"[28.5, 1.2]",,,,,,,,,,,,1.274208,,,,,,,,,,,e211fd40-7bf2-48d0-a5ec-b6a8be6c089d,357,,"[29.1, 0.1]",3754208,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Eliaquim Mangala,3389.0,Left Center Back,11,Manchester City,36,"['1180ec3c-4426-41d6-bc61-1924b4897976', 'af3d6fa0-59d6-415d-a6c4-dc01745f8cf9']",36,,,,,,,,,,,,,,,,,,Manchester City,36,00:06:36.465,Carry,
,,,,,,"[9.9, 32.3]",,,,,,,,,,,,3.014307,,,,,,,,,,,e763271a-7154-4c16-9c62-a29f57ef0e10,360,,"[6.4, 24.8]",3754208,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Joe Hart,3291.0,Goalkeeper,11,Manchester City,36,"['02ef7231-0f28-4fd1-84ac-602d3e4e1ebc', '0e28170c-2dae-423e-bb3b-3c76ab60a7a7']",40,,,,,,,,,,,,,,,,,,Manchester City,36,00:06:40.770,Carry,
,,,,,,"[43.5, 75.6]",,,,,,,,,,,,1.215789,,,,,,,,,,,1a7d103d-9180-4eef-aaaa-79d31b90e4b6,364,,"[40.0, 72.7]",3754208,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Bacary Sagna,7110.0,Right Back,11,Manchester City,36,"['dbb624d7-4fc2-4a11-a46e-fa8928413d7c', 'ebb38349-e01d-4564-b2f3-7ff04c88e063', 'f423031a-6898-4c14-b6b4-c3068170e12a']",46,,,,,,,,,,,,,,,,,,Manchester City,36,00:06:46.851,Carry,True
,,,,,,"[76.8, 5.5]",,,,,,,,,,,,1.491652,,,,,,,,,,,b1a65152-bed2-4e96-8373-a42bc8dd9e3c,367,,"[76.6, 4.5]",3754208,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Philippe Coutinho Correia,3501.0,Left Wing,11,Manchester City,36,"['12ec639a-cc1c-48ce-9499-cdb7b55ae90e', '8b2d9a78-024e-48cb-bf47-2ce5ced413b1', '94d36125-4139-4eb4-b9ca-154c3b3f8887']",48,,,,,,,,,,,,,,,,,,Liverpool,24,00:06:48.067,Carry,True
