50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.372389,,,,,,,,,,,,,,2f45d757-3cea-4237-a984-556c10f598f2,60,,"[82.1, 35.0]",3754064,0,,,,-1.7545408,,Right Foot,,,,"[80.0, 23.7]",,Ground Pass,,11.493477,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Throw In,Joe Allen,10931.0,Left Center Midfield,3,Liverpool,24,"['418724d0-0b93-401d-8ffb-f25cb49f9a75', 'ccaeebe6-c8a6-4921-bd82-ccf576e4a5a3']",51,,,,,,,,,,,,,,,,,Liverpool,24,00:00:51.106,Pass,True
,,,,,,,,,,,,,,,,,,,,1.484616,,,,,,,,,,,,,,54f119e8-6965-470e-8285-807759d61e0b,62,,"[80.0, 23.7]",3754064,0,,,,-1.1071488,,Right Foot,,,,"[86.4, 10.9]",,Ground Pass,,14.310835,,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Left Back,3,Liverpool,24,"['418724d0-0b93-401d-8ffb-f25cb49f9a75', '8800ab91-90b8-43c5-b11e-256668c1bd37']",52,,,,,,,,,,,,,,,,,Liverpool,24,00:00:52.478,Pass,True
,,,,,,,,,,,,,,,,,,,,0.972144,,,,,,,,,,,,,,3fe08bf3-db87-487c-b4ff-d85b0a0cc89b,65,,"[85.2, 12.3]",3754064,0,,,,1.427213,,Right Foot,,,,"[86.4, 20.6]",,Ground Pass,,8.386298,,,,,Daniel Andre Sturridge,3529.0,,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Left Midfield,3,Liverpool,24,['11ef07e6-2ecc-4cc4-bc41-b9cd1c9ac482'],57,,,,,,,,,,,,,,,,,Liverpool,24,00:00:57.055,Pass,
,,,,,,,,,,,,,,,,,,,,1.521814,,,,,,,,,,,,,,16c0a4bc-5a59-4ee4-80d5-3aacbe9520ef,68,,"[80.6, 21.2]",3754064,0,,,,3.0848355,,Right Foot,,,,"[63.0, 22.2]",,Ground Pass,,17.628386,,,,,Mamadou Sakho,3483.0,,,,,,,1,From Throw In,Daniel Andre Sturridge,3529.0,Right Center Forward,3,Liverpool,24,['4005bebc-6876-416f-8230-e6819884581b'],59,,,,,,,,,,,,,,,,,Liverpool,24,00:00:59.064,Pass,
,,,,,,,,,,,,,,,,,,,,1.319877,,,,,,,,,,,,,,45baca63-110a-46ee-88ed-79c62a5c99e5,71,,"[67.7, 17.3]",3754064,1,,,,-0.6063281,,Left Foot,,,,"[87.6, 3.5]",,Ground Pass,,24.21673,,,,,Nathaniel Edwin Clyne,4590.0,,,,,,,1,From Throw In,Mamadou Sakho,3483.0,Left Center Back,3,Liverpool,24,['d3cc1927-30fc-42a9-ab21-95901e12a51f'],2,,,,,,,,,,,,,,,,,Liverpool,24,00:01:02.144,Pass,
,,,,,,,,,,,,,,,,,,,,1.284385,,,,,,,,,,,,,,7428898b-b9a7-46b6-a834-3995350cf207,74,,"[87.6, 3.7]",3754064,1,,,,2.1302352,,Right Foot,,,,"[80.9, 14.4]",,Ground Pass,,12.624579,,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Throw In,Nathaniel Edwin Clyne,4590.0,Left Back,3,Liverpool,24,['fab55d2d-22ff-445c-b090-38f51a99a026'],4,,,,,,,,,,,,,,,,,Liverpool,24,00:01:04.942,Pass,
,,,,,,,,,,,,,,,,,,,,0.694069,,,,,,,,,,,,,,fb0c1371-7b5b-467b-9265-bf0090c5d64f,77,,"[80.6, 15.4]",3754064,1,,,,-2.8357139,,Right Foot,,,,"[73.0, 13.0]",,Ground Pass,,7.9699435,,,,,Daniel Andre Sturridge,3529.0,,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Left Midfield,3,Liverpool,24,"['1e1b0ea6-ca4e-4c8f-af63-8a950e515f8a', '7b476a08-d71f-4ffa-bb06-1137605256b8']",6,,,,,,,,,,,,,,,,,Liverpool,24,00:01:06.226,Pass,True
,,,,,,,,,,,,,,,,,,,,0.975093,,,,,,,,,,,,,,e29a412d-afc5-42ba-bf7e-8eed05154082,80,,"[73.5, 13.0]",3754064,1,,,,2.9168816,,Left Foot,,,,"[63.0, 15.4]",,Ground Pass,,10.770794,,,,,Mamadou Sakho,3483.0,,,,,,,1,From Throw In,Daniel Andre Sturridge,3529.0,Right Center Forward,3,Liverpool,24,['5feb3de1-d660-46ab-af62-10e54ff76447'],7,,,,,,,,,,,,,,,,,Liverpool,24,00:01:07.650,Pass,
,,,,,,,,,,,,,,,,,,,,0.961368,,,,,,,,,,,,,,64a5fab2-49d8-47e8-8431-3ffa1b190e04,84,,"[68.7, 11.5]",3754064,1,,,,-0.22923194,,Left Foot,,,,"[74.7, 10.1]",,Ground Pass,,6.1611686,,,,,Daniel Andre Sturridge,3529.0,,,,,,,1,From Throw In,Mamadou Sakho,3483.0,Left Center Back,3,Liverpool,24,"['2c0d7e64-ecd3-4480-89ce-a66f9198bbe8', 'af18e2bb-b840-4d24-bf6f-bb1f56ddff2e']",10,,,,,,,,,,,,,,,,,Liverpool,24,00:01:10.699,Pass,True
,,,,,,,,,,,,,,,,,,,,0.726732,,,,,,,,,,,,,,9e67daa3-5ae6-4e90-8f5c-076758ff3ba8,88,,"[78.0, 10.1]",3754064,1,,,,0.39345065,,Right Foot,,,,"[83.3, 12.3]",,Ground Pass,,5.7384667,,,,,Joe Allen,10931.0,,,,,,,1,From Throw In,Daniel Andre Sturridge,3529.0,Right Center Forward,3,Liverpool,24,"['3f3f7456-f5a4-4c5f-b6d3-81657d5220ff', 'c273b89e-6d92-478c-83b3-37b9d5113635']",11,,,,,,,,,,,,,,,,,Liverpool,24,00:01:11.937,Pass,True
