ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.405961,,,,,,,,,,,,,,acf18a71-796b-4cb7-b1f6-0475a6cb4764,2958,,"[8.4, 0.1]",3754226,89,,,,,0.21253063,,,,,,"[27.4, 4.2]",,High Pass,,19.437336,,,,Yann Gérard M''Vila,4429.0,,,,,,Throw-in,2,From Throw In,Patrick van Aanholt,3321.0,Left Back,179,Sunderland,41,['f831c9b1-b479-4e80-b76c-4aa722303ad4'],20,,,,,,,,,,,,,,,,,Sunderland,41,00:44:20.247,Pass,
,,,,,,,,,,,,,,,,1.775319,,,,,,,,,,,,,,a3e2004f-e039-4ba6-9a3d-4de610bfb429,2961,,"[27.8, 4.2]",3754226,89,,,,True,-0.18534794,,,,,,"[35.8, 2.7]",,High Pass,,8.13941,,,,Jermain Defoe,3337.0,,,,,,,2,From Throw In,Yann Gérard M''Vila,4429.0,Center Defensive Midfield,179,Sunderland,41,"['13e6d446-229a-4493-8bc5-4a609b83a94d', 'd4244176-e5c8-4c21-b4b0-ce5c49fb44ea']",21,,,,,,,,,,,,,,,,,Sunderland,41,00:44:21.692,Pass,True
,,,,,,,,,,,,,,,,1.40459,,,,,,,,,,,,,,eba6c017-d751-43de-9c78-eb4594ca69d3,2963,,"[34.7, 3.6]",3754226,89,,,,,0.7978975,,Head,,,,"[50.5, 19.8]",,High Pass,,22.629185,,Incomplete,,Jeremain Lens,16457.0,,,,,,,2,From Throw In,Jermain Defoe,3337.0,Center Forward,179,Sunderland,41,"['42060eec-8816-47ea-9cce-29b06815e14e', 'a5cfedf6-67fb-4f8c-b0ed-62474ae5357d']",23,,,,,,,,,,,,,,,,,Sunderland,41,00:44:23.528,Pass,
,,,,,,,,,,,,,,,,1.183549,,,,,,,,,,,,,,42060eec-8816-47ea-9cce-29b06815e14e,2966,,"[69.6, 60.3]",3754226,89,,,,True,1.2277724,,,,,,"[75.1, 75.7]",,Low Pass,,16.352676,,,,Nathaniel Edwin Clyne,4590.0,,,,,,Recovery,2,Regular Play,Lucas Pezzini Leiva,7780.0,Right Defensive Midfield,180,Liverpool,24,"['19c8154f-2b85-455d-8a3f-a9792065f969', 'c115d855-4671-4d8d-8f03-524973ac55e0', 'eba6c017-d751-43de-9c78-eb4594ca69d3']",24,,,,,,,,,,,,,,,,,Liverpool,24,00:44:24.933,Pass,True
,,,,,,,,,,,,,,,,3.574054,,,,,,,,,,,,,,196d5228-3cc0-43d6-9b11-8f19a86aae10,2969,,"[75.6, 75.7]",3754226,89,,,,,-0.6501345,,Right Foot,,,,"[85.2, 68.4]",,High Pass,,12.060266,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,,2,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,180,Liverpool,24,['95432643-8289-4f81-a47b-4a4722afe14c'],26,,,,,,,,,,,,,,,,,Liverpool,24,00:44:26.116,Pass,
,,,,,,,,,,,,,,,,1.432973,,,,,,,,,,,,,,cc220c96-4bfb-4a56-a5fc-7d0495cca694,2971,,"[85.2, 68.4]",3754226,89,,,,,-2.691833,,Other,,,,"[73.6, 62.8]",,Low Pass,,12.880994,,,,Adam David Lallana,4090.0,,,,,,,2,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Center Attacking Midfield,180,Liverpool,24,['d38d0441-94bf-4626-84c7-a3023666c325'],29,,,,,,,,,,,,,,,,,Liverpool,24,00:44:29.690,Pass,
,,,,,,,,,,,,,,,,1.589022,,,,,,,,,,,,,,97ed9319-f2fd-4ea1-bb98-72031f8df79f,2976,,"[44.5, 0.1]",3754226,89,,,,,0.6152177,,,,,,"[72.8, 20.1]",,High Pass,,34.65386,,Incomplete,,Duncan Watmore,22281.0,,,,,,Throw-in,2,From Throw In,Patrick van Aanholt,3321.0,Left Back,181,Sunderland,41,"['3124d7bf-f033-474b-96bd-d1ed4ad6a433', '5180418e-6b82-46ce-92a4-ca5a3e04ac1a']",43,,,,,,,,,,,,,,,,,Sunderland,41,00:44:43.824,Pass,
,,,,,,,,,,,,,,,,2.185571,,,,,,,,,,,,,,5180418e-6b82-46ce-92a4-ca5a3e04ac1a,2978,,"[47.3, 60.0]",3754226,89,,,,,0.5413801,,Head,,,,"[77.9, 78.4]",,High Pass,,35.70602,,Out,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Recovery,2,From Throw In,Lucas Pezzini Leiva,7780.0,Right Defensive Midfield,181,Sunderland,41,"['0a87df58-8df9-4f70-ab84-2fd9d9fd7859', '97ed9319-f2fd-4ea1-bb98-72031f8df79f']",45,,,,,,,,,,,,,,,,,Liverpool,24,00:44:45.414,Pass,
,,,,,,,,,,,,,,,,2.503477,,,,,,,,,,,,,,7bbe08d8-2011-4737-8ef9-fe3269ad13e1,2980,,"[50.3, 0.1]",3754226,89,,,,,0.4144153,,,,,,"[86.9, 16.2]",,High Pass,,39.984623,,Incomplete,,Jeremain Lens,16457.0,,,,,,Throw-in,2,From Throw In,Patrick van Aanholt,3321.0,Left Back,182,Sunderland,41,"['76416f90-62a6-4c25-ba78-13da0d76c3e6', 'ab3fdde0-5723-486f-a559-d9b27a7e7e4e']",51,,,,,,,,,,,,,,,,,Sunderland,41,00:44:51.009,Pass,
,,,,,,,,,,,,,,,,2.885058,,,,,,,,,,,,,,ab3fdde0-5723-486f-a559-d9b27a7e7e4e,2982,,"[33.2, 63.9]",3754226,89,,,,,0.7086263,,Head,,,,"[51.4, 79.5]",,High Pass,,23.970816,,Out,,Adam David Lallana,4090.0,,,,,,Recovery,2,From Throw In,Lucas Pezzini Leiva,7780.0,Right Defensive Midfield,182,Sunderland,41,"['3b0d755a-e968-4dcf-93d1-52e84be59840', '7bbe08d8-2011-4737-8ef9-fe3269ad13e1']",53,,,,,,,,,,,,,,,,,Liverpool,24,00:44:53.513,Pass,
