ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[26.7, 20.3]",,,,,,,,,,,,0.053404,,,,,,,,,,,ae0602eb-f72e-4953-8c64-eec2299f9332,2943,,"[26.7, 20.3]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mamadou Sakho,3483.0,Left Center Back,192,Liverpool,24,"['d8ecd105-e12d-4cdb-9201-e5356208801f', 'fa371e5b-f8d6-439d-b522-8c3f5164e3f4']",34,,,,,,,,,,,,,,,,,Liverpool,24,00:28:34.569,Carry,
,,,"[35.5, 32.1]",,,,,,,,,,,,0.725939,,,,,,,,,,,ef13bd73-661b-4a95-9eee-202353192ef0,2946,,"[35.5, 32.1]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lucas Pezzini Leiva,7780.0,Right Center Midfield,192,Liverpool,24,"['01c0b8ef-48a1-4bb3-a0f7-82fe81544c1d', '3e044fa8-a11a-44ee-a5f0-35e48c10be2b']",35,,,,,,,,,,,,,,,,,Liverpool,24,00:28:35.541,Carry,
,,,"[31.9, 49.6]",,,,,,,,,,,,0.982633,,,,,,,,,,,eb57d426-3c27-4902-8563-38fb8ec8d8f6,2949,,"[28.6, 43.7]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Martin Škrtel,18872.0,Right Center Back,192,Liverpool,24,"['357ef877-9f18-45d0-94dd-025f5d2f30b6', '4a57eb3a-ac67-4797-882e-2aaff301b8a3']",37,,,,,,,,,,,,,,,,,Liverpool,24,00:28:37.679,Carry,
,,,"[56.3, 61.9]",,,,,,,,,,,,1.687979,,,,,,,,,,,9b6dbcec-2604-4794-bfa7-81931c2c058d,2952,,"[48.4, 62.4]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lucas Pezzini Leiva,7780.0,Right Center Midfield,192,Liverpool,24,"['8f1865bd-10a7-4d51-8ad3-2ed1823c2b8d', 'ebb3635f-f5e7-471a-a7a1-3d10d83f4179']",39,,,,,,,,,,,,,,,,,Liverpool,24,00:28:39.804,Carry,
,,,"[20.3, 59.1]",,,,,,,,,,,,17.31475,,,,,,,,,,,974e9a71-f952-4f6a-bf3c-39a8ae4545d8,2957,,"[13.4, 59.3]",3754198,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Simon Mignolet,3539.0,Goalkeeper,192,Liverpool,24,"['94354e62-d974-49b3-b108-8baa9497f71e', 'fa3d2a5f-7064-44eb-80fd-5c2364266c46']",49,,,,,,,,,,,,,,,,,Liverpool,24,00:28:49.572,Carry,
,,,"[93.4, 75.8]",,,,,,,,,,,,4.525019,,,,,,,,,,,f8e2df92-acf2-412e-a06d-ee84bfc21656,2969,,"[100.5, 73.5]",3754198,74,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adam David Lallana,4090.0,Center Attacking Midfield,192,Liverpool,24,"['6d97a017-2911-4e13-acc2-32d03706fd96', 'f16daab3-84ca-4303-bcfc-bf493d299709']",19,,,,,,,,,,,,,,,,,Liverpool,24,00:29:19.930,Carry,
,,,"[79.7, 59.5]",,,,,,,,,,,,1.088172,,,,,,,,,,,992ec310-29d1-486b-9f1f-237fa347c2bd,2972,,"[79.9, 62.1]",3754198,74,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lucas Pezzini Leiva,7780.0,Right Center Midfield,192,Liverpool,24,"['595b2612-2872-42af-9333-38a8463fffd5', 'd0b9b0f5-9bb1-4191-8b17-2816422231c5']",25,,,,,,,,,,,,,,,,,Liverpool,24,00:29:25.933,Carry,
,,,"[65.9, 36.4]",,,,,,,,,,,,1.260689,,,,,,,,,,,31e2ad66-dcf9-4e35-a920-70a60dc3e923,2975,,"[64.8, 40.6]",3754198,74,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mamadou Sakho,3483.0,Left Center Back,192,Liverpool,24,"['00828ac0-6ba6-462c-b1dc-7062a9b72aad', '6da2dd1a-ae72-4b3b-a4d8-86e5f817b452']",28,,,,,,,,,,,,,,,,,Liverpool,24,00:29:28.884,Carry,
,,,"[83.0, 13.6]",,,,,,,,,,,,0.405825,,,,,,,,,,,23e6c04c-4510-409a-81f1-cef3890b76fd,2978,,"[83.0, 13.6]",3754198,74,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alberto Moreno Pérez,3515.0,Left Back,192,Liverpool,24,"['64f63caa-ccb9-49cc-935c-e51c6b31536c', '68dd71a1-e318-4f2a-b390-214a19271eeb']",32,,,,,,,,,,,,,,,,,Liverpool,24,00:29:32.042,Carry,
,,,"[90.1, 28.1]",,,,,,,,,,,,3.455742,,,,,,,,,,,4cb598e7-6dde-4775-849d-07e956c37ed9,2981,,"[81.8, 24.1]",3754198,74,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Philippe Coutinho Correia,3501.0,Left Wing,192,Liverpool,24,"['2614db81-9c33-4b4c-9bde-4b12af02fe6f', '507dafc6-cb87-46a7-8263-d6a63cb8dbd3']",33,,,,,,,,,,,,,,,,,Liverpool,24,00:29:33.658,Carry,
