50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.9884,,,,,,,,,,,,,,,337d7535-d90b-41be-a09d-9c180e19b07a,31,,"[75.2, 42.5]",2302764,0,,,,,1.3178576,,Right Foot,,,,"[81.3, 66.1]",,Ground Pass,,24.375603,,,,,Ricardo Izecson dos Santos Leite,26712.0,,,,,,1,Regular Play,Clarence Seedorf,15046.0,Left Center Midfield,3,AC Milan,243,['e56637b2-96c3-471b-818f-8a68f70108ab'],17,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:17.706,Pass,
,,,,,,,,,,,,,,,,,,0.860577,,,,,,,,,,,,,,,0cdab0d4-29f6-48ec-a5a0-21dc85cd268c,38,,"[102.7, 66.8]",2302764,0,,,,,-1.459717,08eb8fb6-02d1-4124-92e7-2fed285e9b81,Right Foot,True,,,"[105.6, 40.8]",True,Low Pass,,26.16123,,,,,Paolo Maldini,15116.0,,,,,Free Kick,1,From Free Kick,Andrea Pirlo,19849.0,Center Defensive Midfield,4,AC Milan,243,['813d4983-64aa-4cbe-922f-71b2d4efa710'],50,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:50.259,Pass,
,,,,,,,,,,,,,,,,,,0.578422,,,,,,,,,,,,,,,7d534f04-ad7e-49a0-a187-f7897ead4aeb,42,,"[61.0, 40.1]",2302764,1,,True,,,-3.0072713,,Right Foot,,,,"[53.6, 39.1]",,Ground Pass,,7.467262,,,,,Harry Kewell,34391.0,,,,,Kick Off,1,From Kick Off,Milan Baroš,19735.0,Center Forward,5,Liverpool,24,['642e9258-e9fe-4ba8-a51c-1618d3a1eb75'],40,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:40.500,Pass,
,,,,,,,,,,,,,,,,,,1.313606,,,,,,,,,,,,,,,d26ac6f6-8384-4d1e-a19d-795fb1df4407,44,,"[44.6, 36.1]",2302764,1,,True,,,-2.8086066,,Left Foot,,,,"[31.3, 31.5]",,Ground Pass,,14.073024,,,,,Sami Hyypiä,34389.0,,,,,,1,From Kick Off,Harry Kewell,34391.0,Center Attacking Midfield,5,Liverpool,24,['c5d9be95-2b9a-41fd-9d25-b52416c2f296'],41,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:41.466,Pass,
,,,,,,,,,,,,,,,,,,1.882249,,,,,,,,,,,,,,,b8fbd74a-32e3-4473-b163-2b719ecaaaf0,46,,"[31.3, 31.3]",2302764,1,,True,,,-1.5558721,,Right Foot,,,,"[31.5, 17.9]",,Ground Pass,,13.401492,,,,,Djimi Traoré,34387.0,,,,,,1,From Kick Off,Sami Hyypiä,34389.0,Left Center Back,5,Liverpool,24,['e673cb80-3a5b-434c-9b1b-2b429b542c6d'],42,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:42.956,Pass,
,,,,,,,,,,,,,,,,,,1.494514,,,,,,,,,,,,,,,b3e1dc08-6f12-4cbe-ad5d-71b08b3ef84b,48,,"[35.9, 13.1]",2302764,1,,,,,1.6434835,,Left Foot,,,,"[34.4, 33.7]",,Ground Pass,,20.65454,,,,,Steven Gerrard,19109.0,,,,,,1,From Kick Off,Djimi Traoré,34387.0,Left Back,5,Liverpool,24,['a5157d30-1f1a-4077-8878-c1b35b8f781a'],47,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:47.178,Pass,
,,,,,,,,,,,,,,,,,,1.768537,,,,,,,,,,,,,,,8dd13064-e935-423d-bf9f-9c1413e8594e,51,,"[36.1, 42.0]",2302764,1,,,,,0.3746812,,Right Foot,,,,"[80.6, 59.5]",,High Pass,,47.81736,,,Incomplete,,Luis Javier García Sanz,26391.0,,,,,,1,From Kick Off,Steven Gerrard,19109.0,Right Center Midfield,5,Liverpool,24,"['28b8aaa0-6937-4ed9-ba67-c08db4696889', '40df2ac8-01d2-4722-9f60-553ab567242e']",51,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:51.236,Pass,
,,,,,,,,,,,,,,,,,,1.020709,,,,,,,,,,,,,,,929af8bb-9261-42ec-98a3-4c9a46b404f7,54,,"[73.3, 80.0]",2302764,1,,True,,,-1.136552,,,,,,"[76.5, 73.1]",,Low Pass,,7.605919,,,,,Xabier Alonso Olano,20133.0,,,,,Throw-in,1,From Throw In,Steve Finnan,34392.0,Right Back,6,Liverpool,24,['5a27a0e7-ee2d-4692-acd5-a1444e5dcd26'],59,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:59.779,Pass,
,,,,,,,,,,,,,,,,,,0.62595,,,,,,,,,,,,,,,f55abc0f-5645-4175-b124-9d9aeb14e285,56,,"[68.4, 79.2]",2302764,2,,True,,,3.1415927,,Right Foot,,,,"[62.9, 79.2]",,Ground Pass,,5.5,,,,,Steve Finnan,34392.0,,,,,,1,From Throw In,Xabier Alonso Olano,20133.0,Left Defensive Midfield,6,Liverpool,24,['2f5a65dc-884d-4004-957a-72581369e790'],1,,,,,,,,,,,,,,,,,,Liverpool,24,00:02:01.077,Pass,
,,,,,,,,,,,,,,,,,,0.551278,,,,,,,,,,,,,,,ff2958a2-5125-4559-8b8c-ce1422e25775,58,,"[63.8, 79.2]",2302764,2,,,,,-0.031045923,,Right Foot,,,,"[79.9, 78.7]",,Ground Pass,,16.107761,,,,,Harry Kewell,34391.0,,,,,,1,From Throw In,Steve Finnan,34392.0,Right Back,6,Liverpool,24,['d6091769-c60d-4f8b-8478-90917e734433'],1,,,,,,,,,,,,,,,,,,Liverpool,24,00:02:01.880,Pass,
