50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.066219,,,,,,,,,,,,f8425160-09f1-49ca-9694-a0eae208c867,67,,,"[25.6, 65.6]",3754098,0,,,,,0.22952735,,Head,,,,"[36.3, 68.1]",,High Pass,,10.988175,,,,,Ramires Santos do Nascimento,28100.0,,,,,,Recovery,1,Regular Play,Gary Cahill,3645.0,Right Center Back,3,Chelsea,33,"['15faef5d-7fd8-411f-9138-fe809aaaff43', 'df8fc561-67b3-41fa-9013-11d453065fec']",59,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:59.360,Pass,
,,,,,,,,,,,,,,,,,1.058069,,,,,,,,,,,,6ae46752-814f-4ad2-b0c3-bc2b545c778d,73,,,"[32.2, 62.9]",3754098,1,,,,,0.31656924,,Right Foot,,,,"[38.0, 64.8]",,Ground Pass,,6.1032777,,,,,Ramires Santos do Nascimento,28100.0,,,,,,Free Kick,1,From Free Kick,Gary Cahill,3645.0,Right Center Back,4,Chelsea,33,['f8b3d531-4512-487b-af11-501e90913298'],25,,,,,,,,,,,,,,,,,,Chelsea,33,00:01:25.121,Pass,
,,,,,,,,,,,,,,,,,1.129882,,,,,,,,,,,,dbc8fea3-6a96-4d39-bfd8-a19d4820baf4,76,,,"[38.0, 64.8]",3754098,1,,,,,-0.5232783,,Right Foot,,,,"[48.4, 58.8]",,Ground Pass,,12.006665,,,,,John Michael Nchekwube Obinna,5475.0,,,,,,,1,From Free Kick,Ramires Santos do Nascimento,28100.0,Right Defensive Midfield,4,Chelsea,33,['9a2fb6bd-d804-48be-97f6-46d0e93674e1'],26,,,,,,,,,,,,,,,,,,Chelsea,33,00:01:26.694,Pass,
,,,,,,,,,,,,,,,,,0.641865,,,,,,,,,,,,17133e5f-aeb4-4dde-a994-87f008f99711,85,,,"[86.8, 29.6]",3754098,1,,,,,0.8897793,,Right Foot,,,,"[96.2, 41.2]",,Ground Pass,,14.930506,,,,,James Philip Milner,3473.0,,,,,,,1,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Center Forward,5,Liverpool,24,['c5ad5373-0bf0-46c2-bdc5-00c66ec67536'],32,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:32.645,Pass,
,,,,,,,,,,,,,,,,,0.248518,,,,,,,,,,,,2a39932e-ce23-4309-8c90-f2ae68436067,88,,,"[104.3, 37.3]",3754098,1,,,,,-2.329174,,Right Foot,,,,"[102.5, 35.4]",,Ground Pass,,2.6172504,,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Center Midfield,5,Liverpool,24,"['8181370f-3ec4-4051-8ccc-8b8e9f773e52', 'c10a4605-c00f-45b1-833b-aabe52ba9f6a']",34,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:34.650,Pass,
,,,,,,,,,,,,,,,,,0.612856,,,,,,,,,,,,7d10c14a-dbe5-4290-a738-cc8f993f57bf,92,,,"[90.6, 42.5]",3754098,1,,,,,0.71323454,f9b89cec-4785-44b4-bbd7-1563ebc349dd,Right Foot,,,,"[99.5, 50.2]",,Ground Pass,,11.768602,,,,,Roberto Firmino Barbosa de Oliveira,3535.0,True,,,,,Recovery,1,Regular Play,Lucas Pezzini Leiva,7780.0,Center Defensive Midfield,5,Liverpool,24,"['1b95b323-a97e-48df-a8cc-11c9b1d5d649', 'ef419f06-6d9b-4fa4-8e62-47817c16141d']",36,,,,,,,,,,,,,,,,,,Liverpool,24,00:01:36.107,Pass,True
,,,,,,,,,,,,,,,,,1.547055,,,,,,,,,,,,707753ea-bc37-401f-9a1b-600c02a95c41,97,,,"[7.0, 44.1]",3754098,1,,True,,,0.7619911,,Left Foot,,,,"[22.3, 58.7]",,Ground Pass,,21.148287,,,,,Gary Cahill,3645.0,,,,,,Goal Kick,1,From Goal Kick,Asmir Begović,3339.0,Goalkeeper,6,Chelsea,33,['3be9ba7b-2c52-4f7e-8bd4-727ce2882ebc'],54,,,,,,,,,,,,,,,,,,Chelsea,33,00:01:54.883,Pass,
,,,,,,,,,,,,,,,,,2.200744,,,,,,,,,,,,632e619c-edf6-4325-9f7e-8c92ab60647e,99,,,"[22.3, 58.7]",3754098,1,,,,,-1.6175249,,Right Foot,,,,"[21.0, 30.9]",,Ground Pass,,27.83038,,,,,John Terry,20287.0,,,,,,,1,From Goal Kick,Gary Cahill,3645.0,Right Center Back,6,Chelsea,33,['9e9224b6-bb52-4f20-91b4-b8e037d7edb5'],58,,,,,,,,,,,,,,,,,,Chelsea,33,00:01:58.924,Pass,
,,,,,,,,,,,,,,,,,2.011298,,,,,,,,,,,,2da6b789-f4fd-4c21-8dac-3183ee097923,102,,,"[21.0, 29.1]",3754098,2,,,,,-0.84941316,,Right Foot,,,,"[42.9, 4.2]",,Ground Pass,,33.16052,,,,,César Azpilicueta Tanco,3957.0,,,,,,,1,From Goal Kick,John Terry,20287.0,Left Center Back,6,Chelsea,33,['6d283f7c-8da2-402b-b033-8580fda86a22'],2,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:02.181,Pass,
,,,,,,,,,,,,,,,,,3.840615,,,,,,,,,,,,16d07093-1642-40c4-bcdc-307ccb6a4393,105,,,"[42.9, 4.2]",3754098,2,,,,,-0.096319385,,Right Foot,,,,"[84.3, 0.2]",,Ground Pass,,41.59279,,,Out,,Oscar dos Santos Emboaba Júnior,40122.0,,,,,,,1,From Goal Kick,César Azpilicueta Tanco,3957.0,Left Back,6,Chelsea,33,['e2367b2a-287d-465d-9e30-6786088532e6'],4,,,,,,,,,,,,,,,,,,Chelsea,33,00:02:04.268,Pass,
