bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.403806,,,,,,,,,,,,,,,2ff62658-7946-49f5-b322-b1901096384f,50,,,"[82.9, 61.2]",3754129,0,,,,-1.0714496,,Left Foot,,,,"[94.3, 40.3]",High Pass,,23.806932,,Incomplete,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,Regular Play,Olivier Giroud,3604.0,Center Forward,4,Arsenal,1,"['0fd4bb70-6db0-447e-9bfe-8a259c451cef', '35685cea-8439-42ba-b24c-82c05a4a639c']",27,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:27.453,Pass,
,,,,,,,,,,,,,,,,,,1.088542,,,,,,,,,,,,,,,15e678ba-0ccb-46e4-952d-a82ec87b4f2b,54,,,"[34.6, 42.8]",3754129,0,,,,0.42544964,,Head,,,,"[41.0, 45.7]",Low Pass,,7.0263786,,,,Roberto Firmino Barbosa de Oliveira,3535.0,,,,,,Recovery,1,Regular Play,James Philip Milner,3473.0,Right Center Midfield,5,Liverpool,24,"['28649ebf-a41b-41b7-b1f4-d054dc9c5c55', '94b3c514-73d1-401c-abc5-058b540634b7']",30,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:30.848,Pass,True
,,,,,,,,,,,,,,,,,,1.441141,,,,,,,,,,,,,,,10147bc6-208d-40e0-8fd3-8e0e28202c83,58,,,"[43.3, 45.7]",3754129,0,,,,-1.1338414,,Right Foot,,,,"[51.1, 29.0]",High Pass,,18.431767,,,,Emre Can,3493.0,,,,,,,1,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Right Wing,5,Liverpool,24,['bc3c9105-e386-4d33-8df8-39c6201f7178'],32,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:32.594,Pass,
,,,,,,,,,,,,,,,,,,1.605765,,,,,,,,,,,,,,,8d5a2408-3aaf-41a7-9530-771058154b69,62,,,"[50.5, 29.4]",3754129,0,,,,1.706324,,Right Foot,,,,"[49.9, 33.8]",High Pass,,4.4407206,,Incomplete,,James Philip Milner,3473.0,,,,,,,1,Regular Play,Emre Can,3493.0,Left Center Midfield,5,Liverpool,24,"['47bad92b-8370-4ad2-a1a5-607ac16a4217', '588a857e-85c2-4db4-9519-29bb104e2065', 'b1e75fa9-c839-440d-a3c4-30b6b093c3d3']",34,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:34.199,Pass,True
,,,,,,,,,,,,True,,,,,,1.438849,,,,,,,,,,,,,,,47bad92b-8370-4ad2-a1a5-607ac16a4217,64,,,"[70.2, 46.3]",3754129,0,,,,-3.041924,,Head,,,,"[62.2, 45.5]",High Pass,,8.039901,,,,Santiago Cazorla González,11386.0,,,,,,Interception,1,Regular Play,Olivier Giroud,3604.0,Center Forward,6,Arsenal,1,"['6eda1a7a-f526-4544-aa1d-1f6ae6d0a3fc', '8d5a2408-3aaf-41a7-9530-771058154b69']",35,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:35.805,Pass,
,,,,,,,,,,,,,,,,,,1.211471,,,,,,,,,,,,,,,3ba4a521-6a44-48fb-9d70-28cdc6e76573,67,,,"[62.2, 45.5]",3754129,0,,,,0.32175055,,Right Foot,,,,"[71.8, 48.7]",Low Pass,,10.119288,,,,Mesut Özil,3496.0,,,,,,,1,Regular Play,Santiago Cazorla González,11386.0,Left Defensive Midfield,6,Arsenal,1,['7a40084a-8454-44af-afb9-07342889f0a2'],37,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:37.283,Pass,
,,,,,,,,,,,,,,,,,,1.232914,,,,,,,,,,,,,,,d8ff114a-9d09-41be-84f7-b22400322e79,69,,,"[71.8, 48.5]",3754129,0,,,,-1.4317003,,Left Foot,,,,"[73.2, 38.5]",Low Pass,,10.097525,,,,Olivier Giroud,3604.0,,,,,,,1,Regular Play,Mesut Özil,3496.0,Center Attacking Midfield,6,Arsenal,1,['7879d696-34a9-424a-b774-7d226303539a'],38,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:38.494,Pass,
,,,,,,,,,,,,,,,,,,1.673286,,,,,,,,,,,,,,,cbcffdd0-9bcf-4534-a98f-595f66e3056b,77,,,"[33.2, 39.2]",3754129,0,,,,-1.3101939,,Right Foot,,,,"[37.6, 22.7]",Ground Pass,,17.076591,,,,Joe Gomez,3495.0,,,,,,,1,Regular Play,James Philip Milner,3473.0,Right Center Midfield,7,Liverpool,24,"['2ae75708-a928-405c-a969-c3265889466b', '328c937a-c7ae-4b96-9753-b562710c419d']",42,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:42.515,Pass,True
,,,,,,,,,,,,,,,,,,0.75025,,,,,,,,,,,,,,,88837816-75ca-4e6a-a129-bc5073738b0d,81,,,"[44.3, 22.5]",3754129,0,,,,0.45066133,,Right Foot,,,,"[50.5, 25.5]",Ground Pass,,6.88767,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,,1,Regular Play,Joe Gomez,3495.0,Left Back,7,Liverpool,24,"['6dbf3e5a-4cad-4d09-8d80-708aa341cf92', '795d1bc3-4afd-457e-bfbd-d37d93eab891', 'e417fb0a-ae2c-4fb0-9416-f2e314a2435c']",45,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:45.241,Pass,True
,,,,,,,,,,,,,,,,,,1.131898,,,,,,,,,,,,,,,92e0c912-8c8b-41e9-a40f-dffd512f1797,87,,,"[57.9, 45.5]",3754129,0,,,,0.83500284,,Right Foot,,,,"[64.6, 52.9]",Ground Pass,,9.982485,,,,James Philip Milner,3473.0,,,,,,,1,Regular Play,Roberto Firmino Barbosa de Oliveira,3535.0,Right Wing,7,Liverpool,24,"['7af50941-5b0b-4d4d-bcb2-4e45ef7bc149', 'c4d7a8f0-2b5f-4e06-801d-a3e02b595864']",49,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:49.385,Pass,True
