50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[92.4, 74.1]",,,,,,,,,,,,0.470661,,,,,,,,,,,,,f0ff39e0-be75-434d-af33-899882b5e656,2867,,"[93.3, 73.5]",3754316,71,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Billy Jones,10503.0,Right Back,132,Sunderland,41,"['14d50295-134c-4907-b475-9bd85e661334', '4c4df6c9-e9ae-4b99-af1c-b5811e6553c6', '6c202a0f-281c-444a-b1de-19e45fdddb1e']",17,,,,,,,,,,,,,,,,,Sunderland,41,00:26:17.718,Carry,True
,,,,"[41.2, 2.6]",,,,,,,,,,,,1.837479,,,,,,,,,,,,,71eb765a-10bb-4314-b7c4-563cdc16711e,2870,,"[27.7, 6.0]",3754316,71,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adam David Lallana,4090.0,Left Wing,132,Sunderland,41,"['1bf963ab-cfb9-4a94-8737-5aa9c12e3d21', 'f37c35ca-f8ab-4af7-a7fa-8532105e0dd1']",18,,,,,,,,,,,,,,,,,Liverpool,24,00:26:18.189,Carry,
,,,,"[67.8, 54.4]",,,,,,,,,,,,2.831433,,,,,,,,,,,,,efd3894e-3ec4-4238-9f28-78fdda59f4a4,2875,,"[48.3, 57.8]",3754316,71,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,John O''Shea,16890.0,Left Center Back,132,Sunderland,41,"['0b2aa75f-057e-4cf3-a8a6-71196106655c', '3c1aad47-8233-4570-9d2b-afab7d4ff755', 'c66dd784-3675-4f4b-b93a-033737a5255b']",23,,,,,,,,,,,,,,,,,Sunderland,41,00:26:23.618,Carry,True
,,,,"[65.0, 23.2]",,,,,,,,,,,,1.599999,,,,,,,,,,,,,465896b6-673a-46fb-8cd3-e165cb8a01e2,2883,,"[65.5, 29.5]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Adam David Lallana,4090.0,Left Wing,133,Liverpool,24,"['413dd2f5-d173-4dd8-8d4c-2d0b64ef985d', 'fce5a224-a5ce-4666-91b2-a353f005e2d2']",0,,,,,,,,,,,,,,,,,Liverpool,24,00:27:00.616,Carry,
,,,,"[73.2, 23.4]",,,,,,,,,,,,1.930286,,,,,,,,,,,,,ac5ae79a-0811-4627-aec0-368c22374e3e,2886,,"[71.5, 18.8]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jordan Brian Henderson,3532.0,Right Center Midfield,133,Liverpool,24,"['6b2b5b7f-8049-4731-8569-b8d3f6f2c6a8', 'b4503c45-3f8b-4c45-b7de-355fe7313558']",2,,,,,,,,,,,,,,,,,Liverpool,24,00:27:02.928,Carry,
,,,,"[51.5, 8.3]",,,,,,,,,,,,0.304011,,,,,,,,,,,,,5b0db36a-d8e4-46a2-97d4-102b1996df76,2893,,"[49.5, 8.0]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adam Johnson,42902.0,Center Attacking Midfield,134,Sunderland,41,"['4001e90b-66c7-4abd-afb2-56e4fb02161f', '5f1555e8-ccfa-40b4-9336-67240fd3e009', 'fe06fbea-6e60-46cd-9af5-8e71d9ddae70']",13,,,,,,,,,,,,,,,,,Sunderland,41,00:27:13.250,Carry,True
,,,,"[60.4, 72.1]",,,,,,,,,,,,0.460635,,,,,,,,,,,,,8a79c338-8555-40f7-b594-e37c40cae2d9,2897,,"[62.1, 74.6]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,James Philip Milner,3473.0,Left Center Midfield,135,Liverpool,24,"['c9bd72c1-93ca-46d2-9f85-a07f6c0f487d', 'cc4bb900-a972-44a1-a95e-96c5ddc7ad66', 'f23f51cf-3c81-4b75-ad96-5f6750b4c71a']",15,,,,,,,,,,,,,,,,,Liverpool,24,00:27:15.240,Carry,True
,,,,"[55.5, 61.7]",,,,,,,,,,,,1.673354,,,,,,,,,,,,,1b2a8281-87c5-4d77-85ea-99bbfa27735e,2901,,"[56.6, 59.7]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jordon Ibe,3635.0,Right Wing,135,Liverpool,24,"['ae039999-7aec-42da-a348-6ddade67ccb1', 'b3b01a4a-8ef5-4772-adf8-56a5414b4202', 'c7a7cd80-0790-4cab-8ad6-6eae2681e89a']",16,,,,,,,,,,,,,,,,,Liverpool,24,00:27:16.891,Carry,True
,,,,"[52.6, 73.0]",,,,,,,,,,,,1.547971,,,,,,,,,,,,,af27be9f-2df2-47fe-a647-785c93bdc78f,2905,,"[55.5, 71.8]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,James Philip Milner,3473.0,Left Center Midfield,135,Liverpool,24,"['25add5bf-77df-431a-b2a7-8fbf83f9f50b', '9d8873f6-d665-43c3-9f47-e017090d39a7']",19,,,,,,,,,,,,,,,,,Liverpool,24,00:27:19.364,Carry,
,,,,"[43.2, 78.0]",,,,,,,,,,,,0.72,,,,,,,,,,,,,41a6e2fb-2009-40d4-bbde-82722813e895,2908,,"[43.2, 78.0]",3754316,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nathaniel Edwin Clyne,4590.0,Right Back,135,Liverpool,24,"['0f091af2-6921-40ed-aee4-151e899aecf7', '4b7f0be5-23da-47fd-9f05-3ce1da294e8c']",22,,,,,,,,,,,,,,,,,Liverpool,24,00:27:22.179,Carry,
